trait,target_island,method,best_k,best_subset_r,full_pool_r,delta_r_raw,use_full_source,oracle_r,delta_r,island_name,trait_label,method_label
body_mass,0,avggrm_diversity_lam1,1000,0.2319781125066085,0.2246453615567894,0.0073327509498190835,False,0.2319781125066085,0.0073327509498190835,Nesøy,Body mass,AvgGRM diversity
body_mass,1,avggrm_diversity_lam1,2000,0.4157932554190859,0.4144714730472916,0.0013217823717943111,False,0.4157932554190859,0.0013217823717943111,Myken,Body mass,AvgGRM diversity
body_mass,2,avggrm_diversity_lam1,2000,0.189923460937527,0.174463778894003,0.015459682043523992,False,0.189923460937527,0.015459682043523992,Træna,Body mass,AvgGRM diversity
body_mass,3,avggrm_diversity_lam1,1000,0.2380995066576136,0.2055484580631074,0.03255104859450619,False,0.2380995066576136,0.03255104859450619,Selvær,Body mass,AvgGRM diversity
body_mass,4,avggrm_diversity_lam1,1000,0.1248091522826287,0.1003555407857431,0.024453611496885602,False,0.1248091522826287,0.024453611496885602,Gjerøy,Body mass,AvgGRM diversity
body_mass,5,avggrm_diversity_lam1,3500,0.1760491336361208,0.1655344090899467,0.010514724546174081,False,0.1760491336361208,0.010514724546174081,Hestmannøy,Body mass,AvgGRM diversity
body_mass,6,avggrm_diversity_lam1,3000,0.2938224896547474,0.293589692465033,0.00023279718971436214,False,0.2938224896547474,0.00023279718971436214,Indre Kvarøy,Body mass,AvgGRM diversity
body_mass,7,avggrm_diversity_lam1,500,0.0636744599873511,-0.0250775074804429,0.08875196746779401,False,0.0636744599873511,0.08875196746779401,Onøy og Lurøy,Body mass,AvgGRM diversity
body_mass,8,avggrm_diversity_lam1,4000,0.3990449832350927,0.3998560521634473,-0.0008110689283545858,True,0.3998560521634473,0.0,Lovund,Body mass,AvgGRM diversity
body_mass,9,avggrm_diversity_lam1,4500,0.2445144768958843,0.2352081010963923,0.009306375799491978,False,0.2445144768958843,0.009306375799491978,Sleneset,Body mass,AvgGRM diversity
body_mass,10,avggrm_diversity_lam1,4500,0.234612969384553,0.2313936283231264,0.0032193410614266005,False,0.234612969384553,0.0032193410614266005,Aldra,Body mass,AvgGRM diversity
body_mass,11,avggrm_diversity_lam1,500,0.2001548698516704,0.1682952073398235,0.03185966251184688,False,0.2001548698516704,0.03185966251184688,Leka,Body mass,AvgGRM diversity
body_mass,12,avggrm_diversity_lam1,1000,0.1319344881398647,0.0971661089264892,0.034768379213375486,False,0.1319344881398647,0.034768379213375486,Vega,Body mass,AvgGRM diversity
body_mass,13,avggrm_diversity_lam1,4000,0.1317064235189111,0.119247803860543,0.0124586196583681,False,0.1317064235189111,0.0124586196583681,Vikna,Body mass,AvgGRM diversity
body_mass,14,avggrm_diversity_lam1,1500,0.1782109598151914,0.0628412292148093,0.1153697306003821,False,0.1782109598151914,0.1153697306003821,Lauvøya,Body mass,AvgGRM diversity
thr_tarsus,0,avggrm_diversity_lam1,500,0.3767216391604779,0.3259454936205287,0.05077614553994919,False,0.3767216391604779,0.05077614553994919,Nesøy,Tarsus length,AvgGRM diversity
thr_tarsus,1,avggrm_diversity_lam1,3500,0.3630209601861097,0.3472872301886113,0.01573372999749839,False,0.3630209601861097,0.01573372999749839,Myken,Tarsus length,AvgGRM diversity
thr_tarsus,2,avggrm_diversity_lam1,3000,0.2573076030883862,0.2325157458316416,0.02479185725674457,False,0.2573076030883862,0.02479185725674457,Træna,Tarsus length,AvgGRM diversity
thr_tarsus,3,avggrm_diversity_lam1,4000,0.2928067488391748,0.2796270122733111,0.013179736565863687,False,0.2928067488391748,0.013179736565863687,Selvær,Tarsus length,AvgGRM diversity
thr_tarsus,4,avggrm_diversity_lam1,4000,0.2528999694347086,0.2528392966539855,6.067278072308113e-05,False,0.2528999694347086,6.067278072308113e-05,Gjerøy,Tarsus length,AvgGRM diversity
thr_tarsus,5,avggrm_diversity_lam1,2000,0.2395884233280859,0.2288817023752304,0.010706720952855492,False,0.2395884233280859,0.010706720952855492,Hestmannøy,Tarsus length,AvgGRM diversity
thr_tarsus,6,avggrm_diversity_lam1,2000,0.3777838341855563,0.3590499921684701,0.018733842017086166,False,0.3777838341855563,0.018733842017086166,Indre Kvarøy,Tarsus length,AvgGRM diversity
thr_tarsus,7,avggrm_diversity_lam1,2000,0.2406954035708338,0.2279606830373497,0.012734720533484095,False,0.2406954035708338,0.012734720533484095,Onøy og Lurøy,Tarsus length,AvgGRM diversity
thr_tarsus,8,avggrm_diversity_lam1,4500,0.4164008597997525,0.4221521601230941,-0.0057513003233415905,True,0.4221521601230941,0.0,Lovund,Tarsus length,AvgGRM diversity
thr_tarsus,9,avggrm_diversity_lam1,4500,0.2551877237610217,0.2596771787277623,-0.00448945496674058,True,0.2596771787277623,0.0,Sleneset,Tarsus length,AvgGRM diversity
thr_tarsus,10,avggrm_diversity_lam1,4000,0.227213540244979,0.2090827719081392,0.018130768336839798,False,0.227213540244979,0.018130768336839798,Aldra,Tarsus length,AvgGRM diversity
thr_tarsus,11,avggrm_diversity_lam1,3000,0.2510211846878729,0.2441909721676904,0.006830212520182483,False,0.2510211846878729,0.006830212520182483,Leka,Tarsus length,AvgGRM diversity
thr_tarsus,12,avggrm_diversity_lam1,1500,0.1841376343445469,0.1388904391845067,0.04524719516004022,False,0.1841376343445469,0.04524719516004022,Vega,Tarsus length,AvgGRM diversity
thr_tarsus,13,avggrm_diversity_lam1,500,0.141640778070754,0.1166764309029313,0.024964347167822712,False,0.141640778070754,0.024964347167822712,Vikna,Tarsus length,AvgGRM diversity
thr_tarsus,14,avggrm_diversity_lam1,2000,0.1825980628512703,0.1556921478375866,0.026905915013683723,False,0.1825980628512703,0.026905915013683723,Lauvøya,Tarsus length,AvgGRM diversity
thr_wing,0,avggrm_diversity_lam1,4500,0.1998351509353776,0.1908267718581572,0.009008379077220408,False,0.1998351509353776,0.009008379077220408,Nesøy,Wing length,AvgGRM diversity
thr_wing,1,avggrm_diversity_lam1,4500,0.2711092031433726,0.2718241968944346,-0.0007149937510619875,True,0.2718241968944346,0.0,Myken,Wing length,AvgGRM diversity
thr_wing,2,avggrm_diversity_lam1,1000,0.3060320691602599,0.2689777141180442,0.03705435504221566,False,0.3060320691602599,0.03705435504221566,Træna,Wing length,AvgGRM diversity
thr_wing,3,avggrm_diversity_lam1,1500,0.4177014056568071,0.3757811863417429,0.04192021931506418,False,0.4177014056568071,0.04192021931506418,Selvær,Wing length,AvgGRM diversity
thr_wing,4,avggrm_diversity_lam1,500,0.1258115812211404,0.1064113631068484,0.01940021811429199,False,0.1258115812211404,0.01940021811429199,Gjerøy,Wing length,AvgGRM diversity
thr_wing,5,avggrm_diversity_lam1,4500,0.1618010733184977,0.16070099449867,0.0011000788198276823,False,0.1618010733184977,0.0011000788198276823,Hestmannøy,Wing length,AvgGRM diversity
thr_wing,6,avggrm_diversity_lam1,500,0.4031670478604307,0.3275227524343246,0.07564429542610612,False,0.4031670478604307,0.07564429542610612,Indre Kvarøy,Wing length,AvgGRM diversity
thr_wing,7,avggrm_diversity_lam1,2000,0.425861363973693,0.3853768256526943,0.040484538320998686,False,0.425861363973693,0.040484538320998686,Onøy og Lurøy,Wing length,AvgGRM diversity
thr_wing,8,avggrm_diversity_lam1,4500,0.1745010740838782,0.2011337803714734,-0.026632706287595204,True,0.2011337803714734,0.0,Lovund,Wing length,AvgGRM diversity
thr_wing,9,avggrm_diversity_lam1,2500,0.2010365055741547,0.1871920144426744,0.013844491131480313,False,0.2010365055741547,0.013844491131480313,Sleneset,Wing length,AvgGRM diversity
thr_wing,10,avggrm_diversity_lam1,3000,0.1587726874430997,0.1673000320638535,-0.008527344620753802,True,0.1673000320638535,0.0,Aldra,Wing length,AvgGRM diversity
thr_wing,11,avggrm_diversity_lam1,500,0.1942822497128384,0.1432561511323564,0.05102609858048199,False,0.1942822497128384,0.05102609858048199,Leka,Wing length,AvgGRM diversity
thr_wing,12,avggrm_diversity_lam1,500,0.0684254304907139,0.0560523617393723,0.012373068751341594,False,0.0684254304907139,0.012373068751341594,Vega,Wing length,AvgGRM diversity
thr_wing,13,avggrm_diversity_lam1,500,0.1388870778985904,0.0977640405726447,0.04112303732594569,False,0.1388870778985904,0.04112303732594569,Vikna,Wing length,AvgGRM diversity
thr_wing,14,avggrm_diversity_lam1,3000,0.1133231168403004,0.1098776880824613,0.0034454287578390974,False,0.1133231168403004,0.0034454287578390974,Lauvøya,Wing length,AvgGRM diversity
