Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388827
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_config.json
[I 2026-05-05 16:35:53,751] Trial 0 finished with value: 0.15963866155516676 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.18584155530312246, 'batch_norm': False, 'lr': 0.0007461243578022468, 'weight_decay': 3.677761493113531e-06, 'epochs': 129, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0028019443363010753, 'iw_n_components': 30, 'iw_logistic_c': 1.1501102218860025e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.15963866155516676.
[I 2026-05-05 16:49:03,642] Trial 1 finished with value: 0.20726379639223805 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.43888867594363706, 'batch_norm': False, 'lr': 0.0001688628306103078, 'weight_decay': 1.0954159676483666e-06, 'epochs': 298, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004193356127903791, 'iw_n_components': 80, 'iw_logistic_c': 9.400839873988708e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 1 with value: 0.20726379639223805.
[I 2026-05-05 16:58:41,850] Trial 2 finished with value: 0.19327234827137757 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07220834610702047, 'batch_norm': False, 'lr': 2.8779057444450007e-06, 'weight_decay': 1.7819387991359787e-06, 'epochs': 157, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004291393761611641, 'iw_n_components': 50, 'iw_logistic_c': 0.00104963762254145, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 1 with value: 0.20726379639223805.
[I 2026-05-05 17:07:00,385] Trial 3 finished with value: 0.16936580385402525 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.2634942084194019, 'batch_norm': False, 'lr': 0.00021210339966830114, 'weight_decay': 1.3914035081483236e-05, 'epochs': 74, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.001798445948735291, 'iw_n_components': 40, 'iw_logistic_c': 0.016036064051887917, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.20726379639223805.
[I 2026-05-05 17:15:43,252] Trial 4 finished with value: 0.2146552817776012 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.12270659908726697, 'batch_norm': False, 'lr': 1.0984849271139017e-05, 'weight_decay': 1.150786103361015e-06, 'epochs': 239, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006357173651119782, 'iw_n_components': 40, 'iw_logistic_c': 1.7003213055010015e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 4 with value: 0.2146552817776012.
[I 2026-05-05 17:26:29,909] Trial 5 finished with value: 0.2062035296753863 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.5892302145348649, 'batch_norm': False, 'lr': 2.284394477470403e-05, 'weight_decay': 0.0006214766931628508, 'epochs': 274, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0006691263773515672, 'iw_n_components': 50, 'iw_logistic_c': 0.0021034642571551997, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 4 with value: 0.2146552817776012.
[I 2026-05-05 17:32:51,553] Trial 6 finished with value: 0.21907537314613174 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2844516162253578, 'batch_norm': False, 'lr': 0.0009693901791430116, 'weight_decay': 1.3395807063514938e-07, 'epochs': 164, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0006852641422012713, 'iw_n_components': 10, 'iw_logistic_c': 0.00012076695820926545, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 17:39:11,624] Trial 7 finished with value: 0.21190759147188737 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.48183940726588204, 'batch_norm': False, 'lr': 1.0225627290166225e-05, 'weight_decay': 4.2678340497322e-07, 'epochs': 78, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.006840499604398374, 'iw_n_components': 10, 'iw_logistic_c': 3.554720142111015e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 17:49:32,114] Trial 8 finished with value: 0.204223140338636 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.2666459845075265, 'batch_norm': False, 'lr': 0.00010361831667819088, 'weight_decay': 1.7087611111883968e-07, 'epochs': 292, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.004248705754606285, 'iw_n_components': 60, 'iw_logistic_c': 4.781340524379907, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 17:58:52,550] Trial 9 finished with value: 0.21076740155167287 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.20846365759393828, 'batch_norm': False, 'lr': 7.2099687912175235e-06, 'weight_decay': 6.910731913659973e-07, 'epochs': 258, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0034964173772503537, 'iw_n_components': 50, 'iw_logistic_c': 7.851534018520599e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:05:28,465] Trial 10 finished with value: 0.1966015846411333 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.3938620828116578, 'batch_norm': False, 'lr': 0.0008410216700545532, 'weight_decay': 2.1597274347164086e-08, 'epochs': 207, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.044358629012086724, 'iw_n_components': 10, 'iw_logistic_c': 0.18376958890298303, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:14:03,231] Trial 11 finished with value: 0.19176613267674045 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.005563890172643332, 'batch_norm': False, 'lr': 1.0078363414000347e-06, 'weight_decay': 3.1864429481677046e-08, 'epochs': 211, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.015500441496835675, 'iw_n_components': 40, 'iw_logistic_c': 2.4542464334883696e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:21:24,951] Trial 12 finished with value: 0.20079703303528898 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.12752313585942954, 'batch_norm': False, 'lr': 4.7886210622600444e-05, 'weight_decay': 2.5679392498114498e-05, 'epochs': 224, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0005103709750208036, 'iw_n_components': 20, 'iw_logistic_c': 6.888845177530558e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:27:42,473] Trial 13 finished with value: 0.21098507324032237 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.3403177192896327, 'batch_norm': False, 'lr': 2.3828252158948347e-05, 'weight_decay': 1.1334540878655563e-07, 'epochs': 160, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0012670350027268334, 'iw_n_components': 10, 'iw_logistic_c': 0.0002552466802241512, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:35:51,116] Trial 14 finished with value: 0.2085013874046333 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.1219362798233219, 'batch_norm': False, 'lr': 4.109588651551821e-06, 'weight_decay': 1.3192399270273795e-05, 'epochs': 127, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.013173186624561744, 'iw_n_components': 40, 'iw_logistic_c': 2.063732159726973e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:45:57,535] Trial 15 finished with value: 0.20875375519553008 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.33212095680251, 'batch_norm': False, 'lr': 5.738912830927339e-05, 'weight_decay': 1.0605177897200763e-08, 'epochs': 243, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.008963534535169203, 'iw_n_components': 60, 'iw_logistic_c': 0.019185676773417124, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 18:53:41,753] Trial 16 finished with value: 0.21512927815995636 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.0042019672727627855, 'batch_norm': False, 'lr': 0.00043146821315945456, 'weight_decay': 9.060908264176197e-08, 'epochs': 188, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.027862258866127573, 'iw_n_components': 30, 'iw_logistic_c': 0.000226884236077139, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 19:01:22,932] Trial 17 finished with value: 0.1805331974523642 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.5872386687667455, 'batch_norm': False, 'lr': 0.00041211826977630606, 'weight_decay': 9.492416580764128e-08, 'epochs': 179, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.04373822324695018, 'iw_n_components': 30, 'iw_logistic_c': 0.00023894879918119228, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.21907537314613174.
[I 2026-05-05 19:09:15,113] Trial 18 finished with value: 0.2230515263576185 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.02167652115129237, 'batch_norm': False, 'lr': 0.0004166918709993577, 'weight_decay': 2.408603846266562e-07, 'epochs': 107, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.024088326659554012, 'iw_n_components': 30, 'iw_logistic_c': 0.008001289684220888, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 19:16:05,988] Trial 19 finished with value: 0.10248609962266249 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.510298513480651, 'batch_norm': False, 'lr': 0.0002971350029067992, 'weight_decay': 0.00011251137147735838, 'epochs': 51, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0012020150318379909, 'iw_n_components': 20, 'iw_logistic_c': 0.20532443677689632, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 19:27:28,746] Trial 20 finished with value: 0.22238079755217668 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.214852204528668, 'batch_norm': False, 'lr': 0.00010947732261769908, 'weight_decay': 2.629993896815318e-07, 'epochs': 117, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.021343217209249397, 'iw_n_components': 80, 'iw_logistic_c': 0.007128061702451308, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 19:38:55,708] Trial 21 finished with value: 0.22151291093777373 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.20901886271841014, 'batch_norm': False, 'lr': 9.982163341940448e-05, 'weight_decay': 2.5569355463678683e-07, 'epochs': 124, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0215499956998074, 'iw_n_components': 80, 'iw_logistic_c': 0.006106264672290966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 19:50:17,162] Trial 22 finished with value: 0.2152721545480758 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.19622543866073883, 'batch_norm': False, 'lr': 0.00011632171980477915, 'weight_decay': 3.4182071628099633e-07, 'epochs': 114, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.021714376031128215, 'iw_n_components': 80, 'iw_logistic_c': 0.007363090840534335, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 20:01:29,653] Trial 23 finished with value: 0.2213311675699156 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0865047569748433, 'batch_norm': False, 'lr': 6.442666041040454e-05, 'weight_decay': 4.263078651223345e-06, 'epochs': 99, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.026895076325024303, 'iw_n_components': 80, 'iw_logistic_c': 0.07507902692809561, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 20:13:04,911] Trial 24 finished with value: 0.2229534014566891 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.22239395614615462, 'batch_norm': False, 'lr': 0.00010592957308888499, 'weight_decay': 3.537862751308833e-08, 'epochs': 138, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.012706575872040703, 'iw_n_components': 80, 'iw_logistic_c': 1.0132578852150067, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 20:24:15,386] Trial 25 finished with value: 0.2199651495774365 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.059948865609065996, 'batch_norm': False, 'lr': 0.00019677325932994987, 'weight_decay': 3.825901450308385e-08, 'epochs': 96, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.012121548901804852, 'iw_n_components': 80, 'iw_logistic_c': 4.096061116084299, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 18 with value: 0.2230515263576185.
[I 2026-05-05 20:35:50,783] Trial 26 finished with value: 0.227084801647612 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.15536660332137836, 'batch_norm': False, 'lr': 3.3986769718850645e-05, 'weight_decay': 1.0326143131581116e-08, 'epochs': 138, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.009030999832934004, 'iw_n_components': 80, 'iw_logistic_c': 0.7191022658420886, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 20:44:01,727] Trial 27 finished with value: 0.19574210757709964 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.1539350670352385, 'batch_norm': False, 'lr': 0.0004669621114912808, 'weight_decay': 1.1761983195247807e-08, 'epochs': 139, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.009765190172504254, 'iw_n_components': 30, 'iw_logistic_c': 0.8925563925548103, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 26 with value: 0.227084801647612.
[I 2026-05-05 20:55:42,055] Trial 28 finished with value: 0.19871766464675067 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.038080177539157975, 'batch_norm': False, 'lr': 3.623151510735825e-05, 'weight_decay': 5.616951775049004e-08, 'epochs': 146, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.007394998567735085, 'iw_n_components': 80, 'iw_logistic_c': 1.2542003834922977, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 26 with value: 0.227084801647612.
