Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388830
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_uniform_config.json
[I 2026-05-05 16:35:30,938] Trial 0 finished with value: 0.15543481152761685 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.18584155530312246, 'batch_norm': False, 'lr': 0.0007461243578022468, 'weight_decay': 3.677761493113531e-06, 'epochs': 129, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 0 with value: 0.15543481152761685.
[I 2026-05-05 16:36:52,403] Trial 1 finished with value: 0.21233028035022156 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.5595345557272271, 'batch_norm': False, 'lr': 1.3265824528578217e-05, 'weight_decay': 5.782219985187962e-05, 'epochs': 241, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 1 with value: 0.21233028035022156.
[I 2026-05-05 16:37:22,837] Trial 2 finished with value: 0.20932461170814892 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.10920465462713655, 'batch_norm': False, 'lr': 9.251006337777395e-06, 'weight_decay': 0.0002739600801554822, 'epochs': 70, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 1 with value: 0.21233028035022156.
[I 2026-05-05 16:38:10,723] Trial 3 finished with value: 0.18535326951701464 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.21097588325962954, 'batch_norm': False, 'lr': 0.00013945529197043052, 'weight_decay': 6.125997514421991e-07, 'epochs': 62, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 1 with value: 0.21233028035022156.
[I 2026-05-05 16:39:26,946] Trial 4 finished with value: 0.22230829425989077 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07948656777033702, 'batch_norm': False, 'lr': 4.227110266060512e-06, 'weight_decay': 0.0009515677674579354, 'epochs': 111, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:41:10,614] Trial 5 finished with value: 0.20353919927459319 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07220834610702047, 'batch_norm': False, 'lr': 2.8779057444450007e-06, 'weight_decay': 1.7819387991359787e-06, 'epochs': 157, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:42:17,752] Trial 6 finished with value: 0.20215356215501767 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2505465890537582, 'batch_norm': False, 'lr': 2.5144473235736295e-05, 'weight_decay': 2.6022323891275268e-08, 'epochs': 193, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:45:25,317] Trial 7 finished with value: 0.19468917202197683 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.26053077688769005, 'batch_norm': False, 'lr': 4.4060479596036606e-05, 'weight_decay': 0.0004731892192938172, 'epochs': 299, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:46:51,432] Trial 8 finished with value: 0.19753300547384275 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.14217118023780909, 'batch_norm': False, 'lr': 1.5072012341348237e-05, 'weight_decay': 2.5901569052680897e-08, 'epochs': 256, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:48:04,406] Trial 9 finished with value: 0.20329330616624222 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.18128694708490736, 'batch_norm': False, 'lr': 2.644789330745559e-05, 'weight_decay': 5.030108342609318e-05, 'epochs': 213, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:49:24,856] Trial 10 finished with value: 0.18585757986612056 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3938620828116577, 'batch_norm': False, 'lr': 1.754019878913446e-06, 'weight_decay': 1.7181525161124372e-05, 'epochs': 118, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:51:56,409] Trial 11 finished with value: 0.2177894462706773 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.584402433195127, 'batch_norm': False, 'lr': 4.390805107803812e-06, 'weight_decay': 0.0005486058615380661, 'epochs': 238, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:52:41,632] Trial 12 pruned. 
[I 2026-05-05 16:54:29,467] Trial 13 finished with value: 0.20562922951215779 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.5839700237872605, 'batch_norm': False, 'lr': 3.890202288134033e-06, 'weight_decay': 0.0001592260894871643, 'epochs': 164, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:57:33,037] Trial 14 finished with value: 0.20908654181989855 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.35552009770735504, 'batch_norm': False, 'lr': 5.312498972918806e-06, 'weight_decay': 1.4656814272338477e-05, 'epochs': 292, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 16:59:57,817] Trial 15 finished with value: 0.2138991844772619 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.4980555007405065, 'batch_norm': False, 'lr': 0.0001071350552358348, 'weight_decay': 0.0009399086985141015, 'epochs': 227, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:01:05,336] Trial 16 finished with value: 0.20640167988455738 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.06000135667192001, 'batch_norm': False, 'lr': 7.055616325475806e-06, 'weight_decay': 2.2426502366345458e-07, 'epochs': 96, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:03:51,954] Trial 17 finished with value: 0.21585564499563184 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.02110667597661109, 'batch_norm': False, 'lr': 2.1378800137654058e-06, 'weight_decay': 0.00011746952886405773, 'epochs': 264, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:04:59,589] Trial 18 finished with value: 0.2084086140541493 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.4918637495099607, 'batch_norm': False, 'lr': 5.034918165142005e-05, 'weight_decay': 1.4066080819923217e-05, 'epochs': 195, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:06:37,089] Trial 19 finished with value: 0.1703424497957318 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.3423958107202608, 'batch_norm': False, 'lr': 1.302294910860255e-06, 'weight_decay': 5.690836360932578e-05, 'epochs': 147, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:07:40,460] Trial 20 finished with value: 0.1957044194339384 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.49720019884855926, 'batch_norm': False, 'lr': 0.0006391401029609942, 'weight_decay': 1.5587772677943032e-07, 'epochs': 89, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:10:12,298] Trial 21 finished with value: 0.1978189683235298 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0032381689172097834, 'batch_norm': False, 'lr': 2.278630299723864e-06, 'weight_decay': 0.00017227825411246658, 'epochs': 239, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 4 with value: 0.22230829425989077.
[I 2026-05-05 17:12:58,962] Trial 22 finished with value: 0.2285486169827562 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.03329713879710783, 'batch_norm': False, 'lr': 4.4656696114418025e-06, 'weight_decay': 0.00015252380547665033, 'epochs': 264, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:15:51,437] Trial 23 finished with value: 0.21109924087419016 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.1208561423357392, 'batch_norm': False, 'lr': 5.32470011916953e-06, 'weight_decay': 0.0003626625640897904, 'epochs': 274, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:17:53,782] Trial 24 finished with value: 0.22232025963249855 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07383283701909603, 'batch_norm': False, 'lr': 1.2065700781555336e-05, 'weight_decay': 0.0007319693529658588, 'epochs': 189, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:19:54,469] Trial 25 finished with value: 0.21997035085221822 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.0506754174466852, 'batch_norm': False, 'lr': 1.2054364339755185e-05, 'weight_decay': 0.0009107263819896565, 'epochs': 186, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
