Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378209
Array task ID: 10
The job was run on these nodes: idun-04-06
[I 2026-05-04 00:17:04,703] Trial 0 finished with value: 0.2064843059155766 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.2064843059155766.
[I 2026-05-04 00:19:37,582] Trial 1 finished with value: 0.1980441553923097 and parameters: {'alpha': 145427.84270397192, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022034134189735897, 'iw_n_components': 10, 'iw_logistic_c': 8.53225823447423, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.2064843059155766.
[I 2026-05-04 00:22:19,141] Trial 2 finished with value: 0.20888216271351623 and parameters: {'alpha': 337268.1824826383, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0011214380556681478, 'iw_n_components': 40, 'iw_logistic_c': 0.0004456301044046966, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:24:57,843] Trial 3 finished with value: 0.20345679634908748 and parameters: {'alpha': 623873.8362358484, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0010704282286164728, 'iw_n_components': 30, 'iw_logistic_c': 0.003649078989687946, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:25:27,331] Trial 4 finished with value: 0.1977715777713605 and parameters: {'alpha': 1199521.094898443, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:28:12,108] Trial 5 finished with value: 0.2085419831760904 and parameters: {'alpha': 594205.5826125565, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.017782866059784724, 'iw_n_components': 40, 'iw_logistic_c': 0.3876202021284575, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:30:43,314] Trial 6 finished with value: 0.20286591295468578 and parameters: {'alpha': 102431.18633356069, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0017147683107745938, 'iw_n_components': 20, 'iw_logistic_c': 4.32601466983518e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:33:22,458] Trial 7 finished with value: 0.1987286530545253 and parameters: {'alpha': 1830941.3950631474, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006357173651119782, 'iw_n_components': 40, 'iw_logistic_c': 1.7003213055010015e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:33:51,876] Trial 8 finished with value: 0.19765185213420497 and parameters: {'alpha': 1221444.8156569519, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:34:21,321] Trial 9 finished with value: 0.20641918654180835 and parameters: {'alpha': 201218.30977627521, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 2 with value: 0.20888216271351623.
[I 2026-05-04 00:34:50,737] Trial 10 finished with value: 0.2060596452810468 and parameters: {'alpha': 299360.6349531665, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 2 with value: 0.20888216271351623.
