trait,model_type,target_island,target_island_name,analysis,method,selection_method,lambda_label,lambda_div,n_components,n_individuals,corr_mean,corr_std,mse_mean,avg_grm_target_mean,avg_grm_train_train_mean,objective_mean,n_rows
body_mass,ridge,0,Nesøy,full_baseline,full_source_unweighted,none,none,,,5578,0.2076969325772398,,1.2786235809326172,-0.0012997164876513,2.9192186068518697e-05,,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,500,0.2104200651919493,,1.261770725250244,0.0133964518112434,0.01358360397746,0.0120380914134974,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,1000,0.1980912869407375,,1.277387619018555,0.0093559187163575,0.0090941009494364,0.0084465086214139,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,1500,0.2081826068940504,,1.2867695093154907,0.0073920640150781,0.0074790035831615,0.0066441636567619,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,2000,0.2238013806631822,,1.283272624015808,0.0060583890638717,0.0065203431748283,0.0054063547463889,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,2500,0.2207572366262567,,1.2860857248306274,0.0049914428863904,0.0058561208418832,0.0044058308022021,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,3000,0.2067463502917955,,1.290491223335266,0.0040262317501284,0.005189554962662,0.0035072762538622,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,3500,0.202214190754844,,1.2928367853164673,0.0030630240571561,0.0041827457397316,0.0026447494831829,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,4000,0.2055714227603226,,1.2909084558486938,0.0020155133553519,0.0026382655856155,0.0017516867967903,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p1,0.1,,4500,0.2056717481264244,,1.2884036302566528,0.0009385615067308,0.0012156751191196,0.0008169939948188,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,500,0.2078516217568446,,1.2728564739227295,0.0130721131910762,0.0116853571758721,0.0101507738971082,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1000,0.2154783036011782,,1.2746347188949585,0.0091444171676674,0.0078875549929709,0.0071725284194246,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,1500,0.2111081511815216,,1.2846888303756714,0.0071957053634374,0.0063869065429665,0.0055989787276958,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2000,0.2144193534080035,,1.2866276502609253,0.0058444526309561,0.0053809072410658,0.0044992258206896,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,2500,0.2020149998342733,,1.289292335510254,0.0047458910904264,0.0045105033450336,0.003618265254168,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3000,0.1920301794035389,,1.2914952039718628,0.003771529639244,0.0037267792827025,0.0028398348185684,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,3500,0.1980059817679343,,1.288930058479309,0.0028451091232311,0.0029270399164548,0.0021133491441174,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,4000,0.2047144845062748,,1.2900547981262207,0.0019122132096966,0.0020475030563117,0.0014003374456186,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p25,0.25,,4500,0.2010951571832314,,1.2895114421844482,0.0009093631747727,0.001057330541645,0.0006450305393614,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,500,0.252988283930152,,1.253870964050293,0.0116191738540661,0.007924078215788,0.0076571347461721,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1000,0.2169064982559639,,1.2749357223510742,0.0080735521240251,0.0050313292858345,0.0055578874811078,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,1500,0.2239502584392327,,1.2735711336135864,0.0062415743685742,0.0037929572999955,0.0043450957185764,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2000,0.20125152878379,,1.2857205867767334,0.0050061157572079,0.0030726062460319,0.0034698126341919,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,2500,0.2042856681579933,,1.2867326736450195,0.0040185345407085,0.002506777475575,0.002765145802921,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3000,0.1925099602503448,,1.2917875051498413,0.0031603052482876,0.0020198841840126,0.0021503631562813,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,3500,0.1846159696724761,,1.2932026386260986,0.0023658719954821,0.0015860027635165,0.0015728706137238,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4000,0.1943821242138928,,1.286049246788025,0.0016021543793319,0.0011909041364757,0.0010067023110941,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_0p5,0.5,,4500,0.2197533277964743,,1.275062084197998,0.0007974086304198,0.0007557801342951,0.0004195185632722,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,500,0.2163266857951886,,1.29315447807312,0.0087516597954002,0.0040654274372774,0.0046862323581227,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,1000,0.2267738105004852,,1.2673155069351196,0.00623192607449,0.0024221725053367,0.0038097535691533,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,1500,0.2108199647568195,,1.2799617052078247,0.0048112875160237,0.0017592922009958,0.0030519953150278,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,2000,0.1931374470067233,,1.2866946458816528,0.0038182038750683,0.0013724535692754,0.0024457503057928,1
body_mass,ridge,0,Nesøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,2500,0.1780975626653332,,1.295547604560852,0.0030470557327478,0.0011135473616213,0.0019335083711265,1
