trait,model_type,target_island,target_island_name,analysis,method,selection_method,lambda_label,lambda_div,n_components,n_individuals,corr_mean,corr_std,mse_mean,avg_grm_target_mean,avg_grm_train_train_mean,objective_mean,n_rows
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,500,0.172331144949328,,1.2093422412872314,0.0098923901051488,0.0052846545268713,0.0046077355782774,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,1000,0.1767921838490595,,1.207858920097351,0.0075633842803485,0.0034065361404613,0.0041568481398871,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,1500,0.1604558769250021,,1.209955096244812,0.0056837795240463,0.0022846255552515,0.0033991539687948,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,2000,0.1711991004383488,,1.2042295932769775,0.0043135816068974,0.001635563417179,0.0026780181897184,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,2500,0.1486102192792197,,1.2127652168273926,0.0031863432759331,0.0011681480721926,0.0020181952037405,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,3000,0.1523959945102921,,1.2120530605316162,0.0022243350684418,0.0008221838116284,0.0014021512568133,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,3500,0.1460701928091504,,1.214742660522461,0.0013703937220115,0.0005595794125749,0.0008108143094365,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,4000,0.1360242971066226,,1.2181426286697388,0.0005890479856785,0.0003592384349491,0.0002298095507293,1
body_mass,ridge,2,Træna,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,4500,0.1437715486429287,,1.214992880821228,-0.0001507492793283,0.0002108294316001,-0.0003615787109285,1
body_mass,ridge,7,Onøy og Lurøy,full_baseline,full_source_unweighted,none,none,,,5438,-0.0025006118935128,,1.374911189079285,-0.0019440042733724,9.720582503297898e-05,,1
body_mass,ridge,7,Onøy og Lurøy,ranked_subset,ridge_avggrm_diversity_greedy,avggrm_diversity_greedy,lambda_1,1.0,,500,0.023946231217735,,1.3460896015167236,0.0072728406660339,0.0036098002541087,0.0036630404119252,1
