trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,6,Indre Kvarøy,full_baseline,full_source_unweighted,5341,0.3187624679350735,,1.4793716669082642,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,50,-0.0207814278147989,,1.619521975517273,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,100,0.0457909599742494,,1.5921510457992554,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,250,0.1220203339720023,,1.579784274101257,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,500,0.1221664974585936,,1.573235034942627,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,1000,0.197580695882673,,1.5474570989608765,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,1500,0.2018443103018324,,1.5397717952728271,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,2000,0.2757396211094106,,1.51524817943573,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,2500,0.2753198698788003,,1.5127497911453247,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,3000,0.3124059996962895,,1.4958245754241943,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,3500,0.310768564151765,,1.4936792850494385,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,4000,0.3157627064831839,,1.489189386367798,1
body_mass,6,Indre Kvarøy,ranked_subset,avggrm_topk,4500,0.3128528134752304,,1.4879451990127563,1
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,50,0.08528616878019032,0.07486861472625969,1.6225329160690307,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,100,0.09460078236545932,0.08291646271442199,1.600246000289917,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,250,0.11327280542355236,0.10028335988276467,1.591462242603302,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,500,0.1227864286587329,0.09418354095466655,1.5829725742340088,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,1000,0.18081449986091883,0.0836469880832414,1.565046751499176,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,1500,0.19692570509255017,0.05278684554682846,1.5535199880599975,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,2000,0.22465597633488188,0.04090715175000025,1.541379725933075,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,2500,0.24637578416943082,0.03865936912211857,1.5296634912490845,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,3000,0.27011318158615705,0.03239822417066863,1.5176788687705993,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,3500,0.2912054589195855,0.022297039559623744,1.505140745639801,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,4000,0.2931731306807182,0.026792946691006233,1.5006583094596864,10
body_mass,6,Indre Kvarøy,ranked_subset,random_individual,4500,0.31034575585470614,0.013651101928779096,1.4899402618408204,10
body_mass,6,Indre Kvarøy,weighted_full,avggrm_weight_exponential,5341,0.3054341959533624,,1.4733948707580566,1
body_mass,6,Indre Kvarøy,weighted_full,avggrm_weight_linear,5341,0.3070156781556223,,1.471828818321228,1
body_mass,6,Indre Kvarøy,weighted_full,avggrm_weight_minmax,5341,0.3011774868646241,,1.4692845344543457,1
body_mass,6,Indre Kvarøy,weighted_full,avggrm_weight_top-heavy,5341,0.2877268372974869,,1.4759790897369385,1
body_mass,6,Indre Kvarøy,weighted_full,avggrm_weight_uniform,5341,0.3187624679350735,,1.4793716669082642,1
