trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19505,8L19505,3,Selvær,2184,-0.0001343015847978268,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19506,8L19506,3,Selvær,2316,-0.0005236544708777435,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19540,8L19540,3,Selvær,421,0.006805846985025673,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19549,8L19549,8,Lovund,193,0.012556704193977853,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19556,8L19556,8,Lovund,2149,-1.7628079096748195e-05,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19559,8L19559,8,Lovund,1842,0.0008060723384282113,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19568,8L19568,3,Selvær,320,0.008528545334583191,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19569,8L19569,3,Selvær,1601,0.0015092186653754061,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19578,8L19578,8,Lovund,2109,7.686755654593517e-05,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19595,8L19595,3,Selvær,2362,-0.0006544563731832497,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19596,8L19596,2,Træna,2431,-0.0009142108512615694,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19610,8L19610,9,Sleneset,889,0.0038148392214228293,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19624,8L19624,9,Sleneset,1456,0.001888234751452709,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19633,8L19633,2,Træna,3210,-0.005660338806297235,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19656,8L19656,3,Selvær,2803,-0.0023727159000582775,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19661,8L19661,2,Træna,481,0.006100052340439324,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19663,8L19663,7,Onøy og Lurøy,1418,0.001968347791963962,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19666,8L19666,7,Onøy og Lurøy,2141,5.886267158184126e-06,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19688,8L19688,3,Selvær,3156,-0.0052193392024159945,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19693,8L19693,2,Træna,264,0.010328917550393656,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19728,8L19728,4,Gjerøy,2753,-0.0020732068264945128,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19729,8L19729,4,Gjerøy,88,0.02074062201074387,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19813,8L19813,5,Hestmannøy,2342,-0.0005969702085000065,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19825,8L19825,4,Gjerøy,2465,-0.0010171046755304103,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19830,8L19830,5,Hestmannøy,1261,0.0023455488047491074,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19835,8L19835,5,Hestmannøy,2165,-7.630403015712804e-05,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19839,8L19839,5,Hestmannøy,2215,-0.00021786564348136243,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19856,8L19856,4,Gjerøy,2111,7.338726368308612e-05,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19858,8L19858,10,Aldra,1990,0.0004163174552737344,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19860,8L19860,10,Aldra,2213,-0.00021555112246256493,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19877,8L19877,5,Hestmannøy,637,0.004997563740554486,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19912,8L19912,5,Hestmannøy,1030,0.003186874204226208,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19917,8L19917,5,Hestmannøy,1686,0.0012765090485390958,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19919,8L19919,5,Hestmannøy,2062,0.00019874870246954055,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19920,8L19920,5,Hestmannøy,296,0.009283825904833962,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19921,8L19921,5,Hestmannøy,1167,0.0026310063482518262,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19922,8L19922,10,Aldra,3505,-0.007890183029041353,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19928,8L19928,10,Aldra,3237,-0.005909965621315129,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19926,8L19926,10,Aldra,3132,-0.004976806812149769,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19930,8L19930,10,Aldra,2622,-0.0015937430340477717,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19931,8L19931,10,Aldra,2897,-0.003036580821627579,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19932,8L19932,10,Aldra,908,0.003730826510907391,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19934,8L19934,5,Hestmannøy,760,0.004383660422655946,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19936,8L19936,5,Hestmannøy,2640,-0.001649333977286331,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19937,8L19937,5,Hestmannøy,3036,-0.004186602936191497,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19944,8L19944,7,Onøy og Lurøy,1308,0.0022291664993114974,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19951,8L19951,7,Onøy og Lurøy,1233,0.0024227453467025543,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19952,8L19952,7,Onøy og Lurøy,1079,0.0029743067343512403,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19953,8L19953,7,Onøy og Lurøy,1614,0.00145744792889449,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19958,8L19958,10,Aldra,2799,-0.0023443393950084383,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19960,8L19960,10,Aldra,2953,-0.003508439036231886,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19961,8L19961,10,Aldra,3318,-0.006581059834465062,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19969,8L19969,5,Hestmannøy,1521,0.0016960732849871194,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19974,8L19974,5,Hestmannøy,533,0.005619357833819083,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19977,8L19977,5,Hestmannøy,711,0.004603702745141974,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19979,8L19979,5,Hestmannøy,2917,-0.003193186317551744,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19987,8L19987,4,Gjerøy,1104,0.002829805766671177,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19988,8L19988,4,Gjerøy,2233,-0.0002812882382744767,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19991,8L19991,0,Nesøy,2405,-0.0008102838109664369,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19992,8L19992,4,Gjerøy,1797,0.000961904784744732,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19995,8L19995,0,Nesøy,1925,0.0005671204171368805,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L19998,8L19998,5,Hestmannøy,1730,0.001154812825879147,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26526,8L26526,9,Sleneset,155,0.015281953950640095,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26538,8L26538,10,Aldra,3321,-0.006591242148202906,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26579,8L26579,5,Hestmannøy,41,0.03167475405283212,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26586,8L26586,5,Hestmannøy,1757,0.001072769669050494,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26587,8L26587,5,Hestmannøy,2034,0.0002865813313292789,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L26591,8L26591,5,Hestmannøy,1610,0.00147635138722043,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30001,8L30001,10,Aldra,2495,-0.0011421707467419058,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30059,8L30059,13,Southern 3,3424,-0.007322834977872299,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30090,8L30090,13,Southern 3,3192,-0.005510182764354341,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30154,8L30154,11,Southern 1,3426,-0.0073411122042830014,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30162,8L30162,12,Southern 2,3101,-0.004706746093696968,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30164,8L30164,12,Southern 2,3484,-0.007701958910551777,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30167,8L30167,12,Southern 2,3030,-0.004150813429553276,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30168,8L30168,12,Southern 2,3826,-0.009384693997418666,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30180,8L30180,12,Southern 2,3401,-0.00720151065175063,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30185,8L30185,12,Southern 2,3467,-0.007605303051131461,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30249,8L30249,10,Aldra,2993,-0.003812463418929063,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30260,8L30260,5,Hestmannøy,1289,0.00227114170073133,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30286,8L30286,5,Hestmannøy,2866,-0.0028503049518754787,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30289,8L30289,5,Hestmannøy,2205,-0.00019936304336607626,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30298,8L30298,5,Hestmannøy,1853,0.0007717144055001572,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30300,8L30300,5,Hestmannøy,1867,0.0007324708331344101,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30320,8L30320,5,Hestmannøy,936,0.003636533861918857,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30352,8L30352,7,Onøy og Lurøy,1109,0.0028112041435651254,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30354,8L30354,7,Onøy og Lurøy,197,0.012430799822643283,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30355,8L30355,7,Onøy og Lurøy,541,0.005550235783037044,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30363,8L30363,10,Aldra,2001,0.0003689083741823557,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30372,8L30372,2,Træna,3125,-0.0049379575517143,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30388,8L30388,3,Selvær,1918,0.0006007911558176164,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30396,8L30396,2,Træna,2237,-0.0002916796522267243,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30416,8L30416,8,Lovund,2285,-0.0004243345566031582,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30444,8L30444,4,Gjerøy,2354,-0.0006290424025275338,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30445,8L30445,4,Gjerøy,595,0.0052297258728735314,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30446,8L30446,4,Gjerøy,1160,0.002645438898990649,1.0
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_uniform,uniform,8L30449,8L30449,4,Gjerøy,284,0.009762000849330758,1.0
