trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,3,Selvær,full_baseline,full_source_unweighted,5503,0.2186571317942432,,0.8971801400184631,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,50,0.091253769317686,,1.1815017461776731,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,100,0.1673041151106815,,0.9720353484153748,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,250,0.2054718475176382,,0.9341071844100952,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,500,0.2457546351328268,,0.8940232992172241,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,1000,0.2504383607152148,,0.8752200603485107,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,1500,0.2213364710379617,,0.8885254859924316,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,2000,0.211666417736256,,0.8917002081871033,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,2500,0.1852768319202346,,0.9044005274772644,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,3000,0.1886712884931961,,0.9034407138824464,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,3500,0.1974287211508129,,0.9004911184310913,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,4000,0.1998234907674814,,0.901512086391449,1
body_mass,3,Selvær,ranked_subset,avggrm_topk,4500,0.2100309353543505,,0.9005352854728699,1
body_mass,3,Selvær,ranked_subset,random_individual,50,0.01583924803959908,0.07423823919609113,0.9466357171535492,10
body_mass,3,Selvær,ranked_subset,random_individual,100,0.02640650098952028,0.10389965045554303,0.9325837075710297,10
body_mass,3,Selvær,ranked_subset,random_individual,250,0.059659922676530495,0.0955616546327655,0.9257392466068268,10
body_mass,3,Selvær,ranked_subset,random_individual,500,0.125422332658067,0.090417469095644,0.9122442126274108,10
body_mass,3,Selvær,ranked_subset,random_individual,1000,0.14997063472994188,0.04960727212095979,0.9053866386413574,10
body_mass,3,Selvær,ranked_subset,random_individual,1500,0.1510484206337408,0.05111335412336167,0.9041754007339478,10
body_mass,3,Selvær,ranked_subset,random_individual,2000,0.15824454872974014,0.04793300093429855,0.9033069670200348,10
body_mass,3,Selvær,ranked_subset,random_individual,2500,0.15929624793238767,0.04482997034368592,0.9042679607868195,10
body_mass,3,Selvær,ranked_subset,random_individual,3000,0.1723700028969073,0.0392461583929033,0.9038098990917206,10
body_mass,3,Selvær,ranked_subset,random_individual,3500,0.1890423890870904,0.02711217452454481,0.901158082485199,10
body_mass,3,Selvær,ranked_subset,random_individual,4000,0.19922283047256983,0.03043724371322287,0.8990719258785248,10
body_mass,3,Selvær,ranked_subset,random_individual,4500,0.20626787125373877,0.021330838998327325,0.8982601940631867,10
body_mass,3,Selvær,weighted_full,avggrm_weight_exponential,5503,0.2410231858822259,,0.8996970653533936,1
body_mass,3,Selvær,weighted_full,avggrm_weight_linear,5503,0.2387707121178391,,0.898531436920166,1
body_mass,3,Selvær,weighted_full,avggrm_weight_minmax,5503,0.2409370386549917,,0.9007699489593506,1
body_mass,3,Selvær,weighted_full,avggrm_weight_top-heavy,5503,0.2511266015610922,,0.8870896100997925,1
body_mass,3,Selvær,weighted_full,avggrm_weight_uniform,5503,0.2186571317942432,,0.8971801400184631,1
