trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19549,8L19549,8,Lovund,686,0.00582098588316473,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19556,8L19556,8,Lovund,1010,0.003295952282484818,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19559,8L19559,8,Lovund,637,0.006408825999104492,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19578,8L19578,8,Lovund,393,0.012716512832993595,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19596,8L19596,2,Træna,24,0.03814731881733908,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19610,8L19610,9,Sleneset,454,0.010161452593490886,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19624,8L19624,9,Sleneset,532,0.008066430168737085,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19633,8L19633,2,Træna,190,0.022804415394447924,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19661,8L19661,2,Træna,28,0.03637041946596588,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19663,8L19663,7,Onøy og Lurøy,1673,0.0004959834633921558,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19666,8L19666,7,Onøy og Lurøy,1559,0.0008670150500807519,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19693,8L19693,2,Træna,176,0.023332420430919022,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19722,8L19722,6,Indre Kvarøy,1147,0.002490810918465283,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19728,8L19728,4,Gjerøy,3419,-0.005145767582339928,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19729,8L19729,4,Gjerøy,2111,-0.0007641161374382101,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19813,8L19813,5,Hestmannøy,1752,0.0002630828312765436,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19825,8L19825,4,Gjerøy,1605,0.000739751246596333,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19830,8L19830,5,Hestmannøy,1907,-0.00016489539242274908,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19835,8L19835,5,Hestmannøy,2663,-0.002494243545707962,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19839,8L19839,5,Hestmannøy,2680,-0.0025505476879136273,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19856,8L19856,4,Gjerøy,1514,0.0010267108058422607,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19858,8L19858,10,Aldra,3300,-0.004777338271445391,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19860,8L19860,10,Aldra,2960,-0.0035123031959483435,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19862,8L19862,6,Indre Kvarøy,2368,-0.0015774220914672305,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19877,8L19877,5,Hestmannøy,2267,-0.001285306988413275,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19899,8L19899,6,Indre Kvarøy,3063,-0.003895005457595664,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19900,8L19900,6,Indre Kvarøy,519,0.00846954663725795,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19912,8L19912,5,Hestmannøy,565,0.00750970666881466,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19917,8L19917,5,Hestmannøy,38,0.03383280442300974,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8L19919,8L19919,5,Hestmannøy,2012,-0.0004511804183968514,1.0
