trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,full_baseline,full_source_unweighted,5578,0.2076969719422934,,1.2786235809326172,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,50,0.1893668296960132,,1.4349260330200195,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,100,0.0845650582381948,,1.3877755403518677,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,250,0.1653816275603628,,1.3235632181167605,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,500,0.2014188746754687,,1.279096245765686,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,1000,0.1660567559666462,,1.2957741022109983,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,1500,0.1998401126115894,,1.287347435951233,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,2000,0.2134802779781939,,1.2843776941299438,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,2500,0.2209069135938413,,1.2835032939910889,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,3000,0.2105382912662842,,1.2925461530685425,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,3500,0.2018073602886308,,1.2957258224487305,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,4000,0.2088464385396138,,1.29008686542511,1
body_mass,0,Nesøy,ranked_subset,avggrm_topk,4500,0.2013935732860361,,1.290386199951172,1
body_mass,0,Nesøy,ranked_subset,random_individual,50,0.022710789261497423,0.1460706903987137,1.3634230136871337,10
body_mass,0,Nesøy,ranked_subset,random_individual,100,0.012108632677799977,0.15159570384149237,1.3282697439193725,10
body_mass,0,Nesøy,ranked_subset,random_individual,250,0.03611234412403414,0.17447542811494132,1.315833568572998,10
body_mass,0,Nesøy,ranked_subset,random_individual,500,0.1051693564218894,0.08390529103451357,1.3073588609695435,10
body_mass,0,Nesøy,ranked_subset,random_individual,1000,0.173388132353666,0.06885198810216217,1.29151109457016,10
body_mass,0,Nesøy,ranked_subset,random_individual,1500,0.1766730711015485,0.07216627712479094,1.287095844745636,10
body_mass,0,Nesøy,ranked_subset,random_individual,2000,0.19657242384759507,0.046167112685402356,1.2852882385253905,10
body_mass,0,Nesøy,ranked_subset,random_individual,2500,0.21269927285851295,0.036492097565586516,1.2816774010658265,10
body_mass,0,Nesøy,ranked_subset,random_individual,3000,0.23059164137371377,0.027691393881705155,1.2764939785003662,10
body_mass,0,Nesøy,ranked_subset,random_individual,3500,0.2312148252967113,0.03387692025706684,1.2761126279830932,10
body_mass,0,Nesøy,ranked_subset,random_individual,4000,0.21827481001496563,0.03115412662289537,1.2785075426101684,10
body_mass,0,Nesøy,ranked_subset,random_individual,4500,0.2111055297205297,0.02746015148964666,1.279100513458252,10
body_mass,0,Nesøy,weighted_full,avggrm_weight_exponential,5578,0.2194673949233137,,1.2948256731033323,1
body_mass,0,Nesøy,weighted_full,avggrm_weight_linear,5578,0.2138375410799063,,1.2957475185394287,1
body_mass,0,Nesøy,weighted_full,avggrm_weight_minmax,5578,0.2094985321105645,,1.308066487312317,1
body_mass,0,Nesøy,weighted_full,avggrm_weight_top-heavy,5578,0.1914792030268334,,1.3048804998397827,1
body_mass,0,Nesøy,weighted_full,avggrm_weight_uniform,5578,0.2076969719422934,,1.2786235809326172,1
body_mass,1,Myken,full_baseline,full_source_unweighted,5605,0.3372727985153307,,1.6275830268859863,1
body_mass,1,Myken,ranked_subset,avggrm_topk,50,0.1421425071300008,,1.77802836894989,1
body_mass,1,Myken,ranked_subset,avggrm_topk,100,0.0479900898876384,,1.776391625404358,1
body_mass,1,Myken,ranked_subset,avggrm_topk,250,0.1578202387435182,,1.741877555847168,1
body_mass,1,Myken,ranked_subset,avggrm_topk,500,0.2540789551577628,,1.7005538940429688,1
body_mass,1,Myken,ranked_subset,avggrm_topk,1000,0.299842227264283,,1.6568695306777954,1
body_mass,1,Myken,ranked_subset,avggrm_topk,1500,0.3073612748887036,,1.6524001359939575,1
body_mass,1,Myken,ranked_subset,avggrm_topk,2000,0.3233596241644281,,1.6421458721160889,1
body_mass,1,Myken,ranked_subset,avggrm_topk,2500,0.3600293098276422,,1.617361307144165,1
body_mass,1,Myken,ranked_subset,avggrm_topk,3000,0.3686287262650022,,1.608859896659851,1
body_mass,1,Myken,ranked_subset,avggrm_topk,3500,0.3763372719725971,,1.6080214977264404,1
body_mass,1,Myken,ranked_subset,avggrm_topk,4000,0.370946964056137,,1.6119502782821655,1
body_mass,1,Myken,ranked_subset,avggrm_topk,4500,0.3527961072832297,,1.6188355684280396,1
body_mass,1,Myken,ranked_subset,random_individual,50,-0.008131807351164902,0.11347532761908927,1.7943170547485352,10
body_mass,1,Myken,ranked_subset,random_individual,100,0.06652226149859633,0.1376917088920546,1.7727880358695984,10
body_mass,1,Myken,ranked_subset,random_individual,250,0.06681295279409799,0.12284487065804893,1.7681617856025695,10
body_mass,1,Myken,ranked_subset,random_individual,500,0.13796274638915967,0.10230024124069949,1.7493533968925477,10
body_mass,1,Myken,ranked_subset,random_individual,1000,0.17746988175654216,0.10170098001815492,1.727957308292389,10
body_mass,1,Myken,ranked_subset,random_individual,1500,0.20680389187602727,0.0812879563550121,1.7123789548873902,10
body_mass,1,Myken,ranked_subset,random_individual,2000,0.23357902578153258,0.0765396135403243,1.698674249649048,10
body_mass,1,Myken,ranked_subset,random_individual,2500,0.24780690272483352,0.07925708507444494,1.6935685515403747,10
body_mass,1,Myken,ranked_subset,random_individual,3000,0.27098156531697193,0.07763333229951898,1.6804836750030518,10
body_mass,1,Myken,ranked_subset,random_individual,3500,0.30514219176883534,0.05946378378380251,1.6604794621467591,10
body_mass,1,Myken,ranked_subset,random_individual,4000,0.3117684190847754,0.05443234013502603,1.654366934299469,10
body_mass,1,Myken,ranked_subset,random_individual,4500,0.3271644805629087,0.04876241703183716,1.6402474761009216,10
body_mass,1,Myken,weighted_full,avggrm_weight_exponential,5605,0.2887842518060968,,1.6397651433944702,1
body_mass,1,Myken,weighted_full,avggrm_weight_linear,5605,0.2998437074324265,,1.6296608448028564,1
body_mass,1,Myken,weighted_full,avggrm_weight_minmax,5605,0.2845202813837349,,1.6304529905319214,1
body_mass,1,Myken,weighted_full,avggrm_weight_top-heavy,5605,0.3142076072298705,,1.6059070825576782,1
body_mass,1,Myken,weighted_full,avggrm_weight_uniform,5605,0.3372727985153307,,1.6275830268859863,1
body_mass,2,Træna,full_baseline,full_source_unweighted,5405,0.1564406188905595,,1.2109627723693848,1
body_mass,2,Træna,ranked_subset,avggrm_topk,50,0.1616712421623467,,1.2907414436340332,1
body_mass,2,Træna,ranked_subset,avggrm_topk,100,0.2380528536627297,,1.2554023265838623,1
body_mass,2,Træna,ranked_subset,avggrm_topk,250,0.2236449736827092,,1.2174519300460815,1
body_mass,2,Træna,ranked_subset,avggrm_topk,500,0.1998021152863336,,1.2046895027160645,1
body_mass,2,Træna,ranked_subset,avggrm_topk,1000,0.1792848434114647,,1.2066254615783691,1
body_mass,2,Træna,ranked_subset,avggrm_topk,1500,0.1581982003928327,,1.21019446849823,1
body_mass,2,Træna,ranked_subset,avggrm_topk,2000,0.1376228592893056,,1.2183091640472412,1
body_mass,2,Træna,ranked_subset,avggrm_topk,2500,0.1356844633966076,,1.2198262214660645,1
body_mass,2,Træna,ranked_subset,avggrm_topk,3000,0.1521938019264867,,1.2141907215118408,1
body_mass,2,Træna,ranked_subset,avggrm_topk,3500,0.1513032016867835,,1.2131450176239014,1
body_mass,2,Træna,ranked_subset,avggrm_topk,4000,0.1544170760049852,,1.211340308189392,1
body_mass,2,Træna,ranked_subset,avggrm_topk,4500,0.1514779424014497,,1.2133870124816897,1
