target_island,target_island_name,method,n_individuals,corr_eval_mean
0,Nesøy,avggrm_topk,50,0.1893668296960132
0,Nesøy,avggrm_topk,100,0.0845650582381948
0,Nesøy,avggrm_topk,250,0.1653816275603628
0,Nesøy,avggrm_topk,500,0.2014188746754687
0,Nesøy,avggrm_topk,1000,0.1660567559666462
0,Nesøy,avggrm_topk,1500,0.1998401126115894
0,Nesøy,avggrm_topk,2000,0.2134802779781939
0,Nesøy,avggrm_topk,2500,0.2209069135938413
0,Nesøy,avggrm_topk,3000,0.2105382912662842
0,Nesøy,avggrm_topk,3500,0.2018073602886308
0,Nesøy,avggrm_topk,4000,0.2088464385396138
0,Nesøy,avggrm_topk,4500,0.2013935732860361
0,Nesøy,random_individual,50,0.022710789261497423
0,Nesøy,random_individual,100,0.012108632677799977
0,Nesøy,random_individual,250,0.03611234412403414
0,Nesøy,random_individual,500,0.1051693564218894
0,Nesøy,random_individual,1000,0.173388132353666
0,Nesøy,random_individual,1500,0.1766730711015485
0,Nesøy,random_individual,2000,0.19657242384759507
0,Nesøy,random_individual,2500,0.21269927285851295
0,Nesøy,random_individual,3000,0.23059164137371377
0,Nesøy,random_individual,3500,0.2312148252967113
0,Nesøy,random_individual,4000,0.21827481001496563
0,Nesøy,random_individual,4500,0.2111055297205297
1,Myken,avggrm_topk,50,0.1421425071300008
1,Myken,avggrm_topk,100,0.0479900898876384
1,Myken,avggrm_topk,250,0.1578202387435182
1,Myken,avggrm_topk,500,0.2540789551577628
1,Myken,avggrm_topk,1000,0.299842227264283
1,Myken,avggrm_topk,1500,0.3073612748887036
1,Myken,avggrm_topk,2000,0.3233596241644281
1,Myken,avggrm_topk,2500,0.3600293098276422
1,Myken,avggrm_topk,3000,0.3686287262650022
1,Myken,avggrm_topk,3500,0.3763372719725971
1,Myken,avggrm_topk,4000,0.370946964056137
1,Myken,avggrm_topk,4500,0.3527961072832297
1,Myken,random_individual,50,-0.008131807351164902
1,Myken,random_individual,100,0.06652226149859633
1,Myken,random_individual,250,0.06681295279409799
1,Myken,random_individual,500,0.13796274638915967
1,Myken,random_individual,1000,0.17746988175654216
1,Myken,random_individual,1500,0.20680389187602727
1,Myken,random_individual,2000,0.23357902578153258
1,Myken,random_individual,2500,0.24780690272483352
1,Myken,random_individual,3000,0.27098156531697193
1,Myken,random_individual,3500,0.30514219176883534
1,Myken,random_individual,4000,0.3117684190847754
1,Myken,random_individual,4500,0.3271644805629087
2,Træna,avggrm_topk,50,0.1616712421623467
2,Træna,avggrm_topk,100,0.2380528536627297
2,Træna,avggrm_topk,250,0.2236449736827092
2,Træna,avggrm_topk,500,0.1998021152863336
2,Træna,avggrm_topk,1000,0.1792848434114647
2,Træna,avggrm_topk,1500,0.1581982003928327
2,Træna,avggrm_topk,2000,0.1376228592893056
2,Træna,avggrm_topk,2500,0.1356844633966076
2,Træna,avggrm_topk,3000,0.1521938019264867
2,Træna,avggrm_topk,3500,0.1513032016867835
2,Træna,avggrm_topk,4000,0.1544170760049852
2,Træna,avggrm_topk,4500,0.1514779424014497
2,Træna,random_individual,50,0.01344837493647701
2,Træna,random_individual,100,0.01537233428407495
2,Træna,random_individual,250,0.03693934126265609
2,Træna,random_individual,500,0.05965308812638219
2,Træna,random_individual,1000,0.07984619916027633
2,Træna,random_individual,1500,0.11241628540914701
2,Træna,random_individual,2000,0.1265831351926814
2,Træna,random_individual,2500,0.13023946645719894
2,Træna,random_individual,3000,0.1455006548601622
2,Træna,random_individual,3500,0.149234661694775
2,Træna,random_individual,4000,0.15905575906189778
2,Træna,random_individual,4500,0.15254157675200297
3,Selvær,avggrm_topk,50,0.091253769317686
3,Selvær,avggrm_topk,100,0.1673041151106815
3,Selvær,avggrm_topk,250,0.2054718475176382
3,Selvær,avggrm_topk,500,0.2457546351328268
3,Selvær,avggrm_topk,1000,0.2504383607152148
3,Selvær,avggrm_topk,1500,0.2213364710379617
3,Selvær,avggrm_topk,2000,0.211666417736256
3,Selvær,avggrm_topk,2500,0.1852768319202346
3,Selvær,avggrm_topk,3000,0.1886712884931961
3,Selvær,avggrm_topk,3500,0.1974287211508129
3,Selvær,avggrm_topk,4000,0.1998234907674814
3,Selvær,avggrm_topk,4500,0.2100309353543505
3,Selvær,random_individual,50,0.01583924803959908
3,Selvær,random_individual,100,0.02640650098952028
3,Selvær,random_individual,250,0.059659922676530495
3,Selvær,random_individual,500,0.125422332658067
3,Selvær,random_individual,1000,0.14997063472994188
3,Selvær,random_individual,1500,0.1510484206337408
3,Selvær,random_individual,2000,0.15824454872974014
3,Selvær,random_individual,2500,0.15929624793238767
3,Selvær,random_individual,3000,0.1723700028969073
3,Selvær,random_individual,3500,0.1890423890870904
3,Selvær,random_individual,4000,0.19922283047256983
3,Selvær,random_individual,4500,0.20626787125373877
4,Gjerøy,avggrm_topk,50,0.0739847020267071
4,Gjerøy,avggrm_topk,100,0.0604115140838603
4,Gjerøy,avggrm_topk,250,0.1027656455631706
4,Gjerøy,avggrm_topk,500,0.0945779318135457
4,Gjerøy,avggrm_topk,1000,0.0932911432560226
4,Gjerøy,avggrm_topk,1500,0.1002672152476922
4,Gjerøy,avggrm_topk,2000,0.080415779727614
4,Gjerøy,avggrm_topk,2500,0.0924700513094091
4,Gjerøy,avggrm_topk,3000,0.1012228883847713
4,Gjerøy,avggrm_topk,3500,0.0998650628498449
4,Gjerøy,avggrm_topk,4000,0.1054970747213558
4,Gjerøy,avggrm_topk,4500,0.0921029641074345
4,Gjerøy,random_individual,50,0.0352334092631274
4,Gjerøy,random_individual,100,0.0275803222580507
4,Gjerøy,random_individual,250,0.04013619477133304
4,Gjerøy,random_individual,500,0.03593042879678473
4,Gjerøy,random_individual,1000,0.051214499607294406
4,Gjerøy,random_individual,1500,0.060040606719173606
4,Gjerøy,random_individual,2000,0.061068226384474865
4,Gjerøy,random_individual,2500,0.07664107949457918
4,Gjerøy,random_individual,3000,0.08508876618254865
4,Gjerøy,random_individual,3500,0.0865847335629396
4,Gjerøy,random_individual,4000,0.08669284751991627
4,Gjerøy,random_individual,4500,0.08993411298367433
5,Hestmannøy,avggrm_topk,50,0.1047485525499008
5,Hestmannøy,avggrm_topk,100,0.0912228721653718
5,Hestmannøy,avggrm_topk,250,0.1175005942100667
5,Hestmannøy,avggrm_topk,500,0.1301439987202036
5,Hestmannøy,avggrm_topk,1000,0.1246298385083789
5,Hestmannøy,avggrm_topk,1500,0.1317861489066626
5,Hestmannøy,avggrm_topk,2000,0.1391116849756707
5,Hestmannøy,avggrm_topk,2500,0.1458327890497398
5,Hestmannøy,avggrm_topk,3000,0.1445981118174132
5,Hestmannøy,avggrm_topk,3500,0.1456991084340888
5,Hestmannøy,avggrm_topk,4000,0.1397755407555394
5,Hestmannøy,avggrm_topk,4500,0.1397133990774147
5,Hestmannøy,random_individual,50,0.02431028505109391
5,Hestmannøy,random_individual,100,0.036329835897515775
5,Hestmannøy,random_individual,250,0.04722368857301584
5,Hestmannøy,random_individual,500,0.0648599054818986
5,Hestmannøy,random_individual,1000,0.07840087286606434
5,Hestmannøy,random_individual,1500,0.0984289040509472
5,Hestmannøy,random_individual,2000,0.09976199263295846
5,Hestmannøy,random_individual,2500,0.10972721356473063
