trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
tarsus,0,Nesøy,full_baseline,full_source_unweighted,5533,0.3256690655975037,,0.5117034316062927,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,50,-0.0415544345584159,,0.566886305809021,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,100,0.0876690421039231,,0.5651556849479675,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,250,0.119566122050792,,0.5533031821250916,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,500,0.0767162129789874,,0.5481248497962952,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,1000,0.2251216718775799,,0.5286746621131897,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,1500,0.2923314881154379,,0.5190751552581787,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,2000,0.2536975254633055,,0.5245317220687866,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,2500,0.2587080951207162,,0.522224485874176,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,3000,0.2550168659000916,,0.5236321687698364,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,3500,0.2652179764158321,,0.5234509110450745,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,4000,0.2827879093043823,,0.5194190144538879,1
tarsus,0,Nesøy,ranked_subset,avggrm_topk,4500,0.2525615230076443,,0.5245802998542786,1
tarsus,0,Nesøy,ranked_subset,random_individual,50,0.1520978563777141,0.13088674917076215,0.5594479322433472,10
tarsus,0,Nesøy,ranked_subset,random_individual,100,0.14429405656509792,0.1295749197191228,0.5540129125118256,10
tarsus,0,Nesøy,ranked_subset,random_individual,250,0.17560576185541063,0.09440475792828361,0.5468622744083405,10
tarsus,0,Nesøy,ranked_subset,random_individual,500,0.20545059942116323,0.0946757645711692,0.5411972641944885,10
tarsus,0,Nesøy,ranked_subset,random_individual,1000,0.23513680029524645,0.09849498527148717,0.5362733662128448,10
tarsus,0,Nesøy,ranked_subset,random_individual,1500,0.2651589821820099,0.09534177963889476,0.5317382037639617,10
tarsus,0,Nesøy,ranked_subset,random_individual,2000,0.29000470403456824,0.11737528027677242,0.5269092202186585,10
tarsus,0,Nesøy,ranked_subset,random_individual,2500,0.2704142777810062,0.12749051052308824,0.5266189694404602,10
tarsus,0,Nesøy,ranked_subset,random_individual,3000,0.28511650524051185,0.10118235000586867,0.5230932593345642,10
