trait,target_island,target_island_name,analysis,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
wing,0,Nesøy,full_baseline,full_source_unweighted,5515,0.1812719937871053,,1.173866868019104,1
wing,0,Nesøy,ranked_subset,avggrm_topk,50,0.1241865000819684,,1.2359408140182495,1
wing,0,Nesøy,ranked_subset,avggrm_topk,100,0.0708879905355184,,1.2468358278274536,1
wing,0,Nesøy,ranked_subset,avggrm_topk,250,0.0621371059049051,,1.2457009553909302,1
wing,0,Nesøy,ranked_subset,avggrm_topk,500,0.0566031298713013,,1.249210238456726,1
wing,0,Nesøy,ranked_subset,avggrm_topk,1000,0.0904453124401749,,1.228712797164917,1
wing,0,Nesøy,ranked_subset,avggrm_topk,1500,0.1477059992058017,,1.199980616569519,1
wing,0,Nesøy,ranked_subset,avggrm_topk,2000,0.1342484159362541,,1.1964051723480225,1
wing,0,Nesøy,ranked_subset,avggrm_topk,2500,0.1354995143864967,,1.1973097324371338,1
wing,0,Nesøy,ranked_subset,avggrm_topk,3000,0.1615063860455476,,1.1895055770874023,1
wing,0,Nesøy,ranked_subset,avggrm_topk,3500,0.1462025552528758,,1.190520167350769,1
wing,0,Nesøy,ranked_subset,avggrm_topk,4000,0.1576095924133471,,1.1815016269683838,1
wing,0,Nesøy,ranked_subset,avggrm_topk,4500,0.1654563947399326,,1.1783344745635986,1
wing,0,Nesøy,ranked_subset,random_individual,50,-0.002224492640736711,0.09040669997984287,1.2393428325653075,10
wing,0,Nesøy,ranked_subset,random_individual,100,0.04635689467686553,0.14931168227352018,1.25018652677536,10
wing,0,Nesøy,ranked_subset,random_individual,250,0.05108399561182506,0.11836997411984188,1.2359443664550782,10
wing,0,Nesøy,ranked_subset,random_individual,500,0.08707212761886493,0.1373251277561437,1.2246324300765992,10
wing,0,Nesøy,ranked_subset,random_individual,1000,0.11013931343571741,0.08091745811734342,1.2105774879455566,10
wing,0,Nesøy,ranked_subset,random_individual,1500,0.13936092898468755,0.10471119241452359,1.2015737056732179,10
