target_island,target_island_name,method,n_individuals,corr_eval_mean
0,Nesøy,avggrm_topk,50,0.1241865000819684
0,Nesøy,avggrm_topk,100,0.0708879905355184
0,Nesøy,avggrm_topk,250,0.0621371059049051
0,Nesøy,avggrm_topk,500,0.0566031298713013
0,Nesøy,avggrm_topk,1000,0.0904453124401749
0,Nesøy,avggrm_topk,1500,0.1477059992058017
0,Nesøy,avggrm_topk,2000,0.1342484159362541
0,Nesøy,avggrm_topk,2500,0.1354995143864967
0,Nesøy,avggrm_topk,3000,0.1615063860455476
0,Nesøy,avggrm_topk,3500,0.1462025552528758
0,Nesøy,avggrm_topk,4000,0.1576095924133471
0,Nesøy,avggrm_topk,4500,0.1654563947399326
0,Nesøy,random_individual,50,-0.002224492640736711
0,Nesøy,random_individual,100,0.04635689467686553
0,Nesøy,random_individual,250,0.05108399561182506
0,Nesøy,random_individual,500,0.08707212761886493
0,Nesøy,random_individual,1000,0.11013931343571741
0,Nesøy,random_individual,1500,0.13936092898468755
0,Nesøy,random_individual,2000,0.13460590952543877
0,Nesøy,random_individual,2500,0.1653973010104114
0,Nesøy,random_individual,3000,0.17991048300672802
0,Nesøy,random_individual,3500,0.16769236218613937
0,Nesøy,random_individual,4000,0.15630762528399755
0,Nesøy,random_individual,4500,0.16758228440762085
1,Myken,avggrm_topk,50,0.1763070309719256
1,Myken,avggrm_topk,100,0.1911189837935185
1,Myken,avggrm_topk,250,0.2270124634685776
1,Myken,avggrm_topk,500,0.2240052588202531
1,Myken,avggrm_topk,1000,0.2237466944276815
1,Myken,avggrm_topk,1500,0.2309298612611243
1,Myken,avggrm_topk,2000,0.2244275357608577
1,Myken,avggrm_topk,2500,0.2277963729070631
1,Myken,avggrm_topk,3000,0.2401840908667265
1,Myken,avggrm_topk,3500,0.2349158558820296
1,Myken,avggrm_topk,4000,0.2498301124074687
1,Myken,avggrm_topk,4500,0.2631861701003782
1,Myken,random_individual,50,0.015481194522511529
1,Myken,random_individual,100,-0.004024001707501118
1,Myken,random_individual,250,-2.672594677883798e-05
1,Myken,random_individual,500,0.037263220070857264
1,Myken,random_individual,1000,0.10777787576280325
1,Myken,random_individual,1500,0.12947930837191463
1,Myken,random_individual,2000,0.16808203727309007
1,Myken,random_individual,2500,0.17722864318204473
1,Myken,random_individual,3000,0.20719776951883673
1,Myken,random_individual,3500,0.22074493297669967
1,Myken,random_individual,4000,0.23971787660453486
1,Myken,random_individual,4500,0.2556555599479652
2,Træna,avggrm_topk,50,0.1874261179177656
2,Træna,avggrm_topk,100,0.2292375798370552
2,Træna,avggrm_topk,250,0.2505993372385677
2,Træna,avggrm_topk,500,0.2979142428233567
2,Træna,avggrm_topk,1000,0.325953552870575
2,Træna,avggrm_topk,1500,0.3122543327570928
2,Træna,avggrm_topk,2000,0.2938079090900953
2,Træna,avggrm_topk,2500,0.2793675692678103
2,Træna,avggrm_topk,3000,0.2783003427653574
2,Træna,avggrm_topk,3500,0.2843510667833848
2,Træna,avggrm_topk,4000,0.2743910628002792
2,Træna,avggrm_topk,4500,0.2794411309913078
2,Træna,random_individual,50,0.06336922064895145
2,Træna,random_individual,100,0.10522301864325687
2,Træna,random_individual,250,0.10049184382938026
2,Træna,random_individual,500,0.13232320197332237
2,Træna,random_individual,1000,0.19111715438840277
2,Træna,random_individual,1500,0.19658077530028187
2,Træna,random_individual,2000,0.23040879417194712
2,Træna,random_individual,2500,0.23251562533661882
2,Træna,random_individual,3000,0.2412773987706962
2,Træna,random_individual,3500,0.25593324469387396
2,Træna,random_individual,4000,0.2677307678276419
2,Træna,random_individual,4500,0.2746095139526318
3,Selvær,avggrm_topk,50,0.2162036256614572
3,Selvær,avggrm_topk,100,0.3096655907842503
3,Selvær,avggrm_topk,250,0.3070189731495646
3,Selvær,avggrm_topk,500,0.3671723108340975
3,Selvær,avggrm_topk,1000,0.3518684148024846
3,Selvær,avggrm_topk,1500,0.3295500489536305
3,Selvær,avggrm_topk,2000,0.331040874606847
3,Selvær,avggrm_topk,2500,0.3291171931877246
3,Selvær,avggrm_topk,3000,0.3340275500910528
3,Selvær,avggrm_topk,3500,0.3498521254315043
3,Selvær,avggrm_topk,4000,0.312922188766965
3,Selvær,avggrm_topk,4500,0.2960724591664254
3,Selvær,random_individual,50,-0.003634164628103421
3,Selvær,random_individual,100,0.053426243505592316
3,Selvær,random_individual,250,0.05426515384283479
3,Selvær,random_individual,500,0.06589261400253424
3,Selvær,random_individual,1000,0.1479143004826461
3,Selvær,random_individual,1500,0.1864775560021539
3,Selvær,random_individual,2000,0.22047309588587244
3,Selvær,random_individual,2500,0.23856442414536155
3,Selvær,random_individual,3000,0.24925846197764628
3,Selvær,random_individual,3500,0.26811340734573086
3,Selvær,random_individual,4000,0.30761153725003154
3,Selvær,random_individual,4500,0.3092397361506304
4,Gjerøy,avggrm_topk,50,0.10945939124548
4,Gjerøy,avggrm_topk,100,0.1081515443212781
4,Gjerøy,avggrm_topk,250,0.1335559063704781
4,Gjerøy,avggrm_topk,500,0.1383567431592043
4,Gjerøy,avggrm_topk,1000,0.1257718674364727
4,Gjerøy,avggrm_topk,1500,0.0994488113620643
4,Gjerøy,avggrm_topk,2000,0.0990600299360108
4,Gjerøy,avggrm_topk,2500,0.0948995340939973
4,Gjerøy,avggrm_topk,3000,0.1018549829127625
4,Gjerøy,avggrm_topk,3500,0.1132264884157123
4,Gjerøy,avggrm_topk,4000,0.1044004302516742
4,Gjerøy,avggrm_topk,4500,0.1027019078294878
4,Gjerøy,random_individual,50,0.004252853385943131
4,Gjerøy,random_individual,100,0.007217018959281718
4,Gjerøy,random_individual,250,0.05168234271751976
4,Gjerøy,random_individual,500,0.07078520855182234
4,Gjerøy,random_individual,1000,0.07551022128355982
4,Gjerøy,random_individual,1500,0.07645112148766185
4,Gjerøy,random_individual,2000,0.08695462151975127
4,Gjerøy,random_individual,2500,0.09170641496963988
4,Gjerøy,random_individual,3000,0.0993773243808114
4,Gjerøy,random_individual,3500,0.09236654315065326
4,Gjerøy,random_individual,4000,0.09062813168554355
4,Gjerøy,random_individual,4500,0.09096483218722726
5,Hestmannøy,avggrm_topk,50,0.1066931793981268
5,Hestmannøy,avggrm_topk,100,0.0971411575421909
5,Hestmannøy,avggrm_topk,250,0.1245413661012272
5,Hestmannøy,avggrm_topk,500,0.122888214671127
5,Hestmannøy,avggrm_topk,1000,0.1396305854224117
5,Hestmannøy,avggrm_topk,1500,0.1353357894105399
5,Hestmannøy,avggrm_topk,2000,0.1494590706916203
5,Hestmannøy,avggrm_topk,2500,0.1598704456572377
5,Hestmannøy,avggrm_topk,3000,0.1644267276368867
5,Hestmannøy,avggrm_topk,3500,0.1520607793734796
5,Hestmannøy,avggrm_topk,4000,0.150135028229412
5,Hestmannøy,avggrm_topk,4500,0.154146686892928
5,Hestmannøy,random_individual,50,0.03800327828017795
5,Hestmannøy,random_individual,100,0.05166679567642167
5,Hestmannøy,random_individual,250,0.0715880196624086
5,Hestmannøy,random_individual,500,0.08073188845636257
5,Hestmannøy,random_individual,1000,0.11336166092451998
5,Hestmannøy,random_individual,1500,0.12406207849570831
5,Hestmannøy,random_individual,2000,0.13275179001175877
5,Hestmannøy,random_individual,2500,0.13938998000726655
5,Hestmannøy,random_individual,3000,0.14367093543751647
5,Hestmannøy,random_individual,3500,0.1499940700211944
5,Hestmannøy,random_individual,4000,0.15071186325946945
5,Hestmannøy,random_individual,4500,0.15220209724930975
6,Indre Kvarøy,avggrm_topk,50,0.255089095443952
6,Indre Kvarøy,avggrm_topk,100,0.4162124380210495
6,Indre Kvarøy,avggrm_topk,250,0.4382235717545601
6,Indre Kvarøy,avggrm_topk,500,0.4271634177986022
6,Indre Kvarøy,avggrm_topk,1000,0.4104558272243115
6,Indre Kvarøy,avggrm_topk,1500,0.413715516298644
6,Indre Kvarøy,avggrm_topk,2000,0.4023067068036436
6,Indre Kvarøy,avggrm_topk,2500,0.3994699307751693
6,Indre Kvarøy,avggrm_topk,3000,0.3896534859338014
6,Indre Kvarøy,avggrm_topk,3500,0.3867380386913541
6,Indre Kvarøy,avggrm_topk,4000,0.378208393450395
6,Indre Kvarøy,avggrm_topk,4500,0.3713186354130822
6,Indre Kvarøy,random_individual,50,0.06713238866180864
6,Indre Kvarøy,random_individual,100,0.08795608556932291
6,Indre Kvarøy,random_individual,250,0.16928755201711346
6,Indre Kvarøy,random_individual,500,0.1981738656199119
6,Indre Kvarøy,random_individual,1000,0.2542846669471714
6,Indre Kvarøy,random_individual,1500,0.2876024722796669
6,Indre Kvarøy,random_individual,2000,0.3184160206848158
6,Indre Kvarøy,random_individual,2500,0.330490290750743
6,Indre Kvarøy,random_individual,3000,0.3386929267567925
6,Indre Kvarøy,random_individual,3500,0.34842369680189994
6,Indre Kvarøy,random_individual,4000,0.3573725244502849
6,Indre Kvarøy,random_individual,4500,0.36128829958944264
7,Onøy og Lurøy,avggrm_topk,50,0.3049764866334478
7,Onøy og Lurøy,avggrm_topk,100,0.325779478477282
7,Onøy og Lurøy,avggrm_topk,250,0.3067304902752398
7,Onøy og Lurøy,avggrm_topk,500,0.3345061505916221
7,Onøy og Lurøy,avggrm_topk,1000,0.391263987482362
7,Onøy og Lurøy,avggrm_topk,1500,0.399505460817908
7,Onøy og Lurøy,avggrm_topk,2000,0.39121403580777
7,Onøy og Lurøy,avggrm_topk,2500,0.3857010836074324
7,Onøy og Lurøy,avggrm_topk,3000,0.3834685917636746
7,Onøy og Lurøy,avggrm_topk,3500,0.3818888025055009
7,Onøy og Lurøy,avggrm_topk,4000,0.3641941381249123
7,Onøy og Lurøy,avggrm_topk,4500,0.3675009987820299
7,Onøy og Lurøy,random_individual,50,0.0497292164488854
7,Onøy og Lurøy,random_individual,100,0.07028432544875379
7,Onøy og Lurøy,random_individual,250,0.1146209137014454
7,Onøy og Lurøy,random_individual,500,0.18358882099118565
7,Onøy og Lurøy,random_individual,1000,0.2496834777690944
7,Onøy og Lurøy,random_individual,1500,0.2746313675139934
7,Onøy og Lurøy,random_individual,2000,0.2974705840308568
7,Onøy og Lurøy,random_individual,2500,0.30391755265292586
7,Onøy og Lurøy,random_individual,3000,0.3119556068663112
7,Onøy og Lurøy,random_individual,3500,0.3209111124553869
7,Onøy og Lurøy,random_individual,4000,0.32809352091435495
7,Onøy og Lurøy,random_individual,4500,0.3395792204283539
8,Lovund,avggrm_topk,50,0.0838119204603156
8,Lovund,avggrm_topk,100,0.0357175888690052
8,Lovund,avggrm_topk,250,0.1582858579149722
8,Lovund,avggrm_topk,500,0.1669370480341813
8,Lovund,avggrm_topk,1000,0.149084005905985
8,Lovund,avggrm_topk,1500,0.1327787200659181
8,Lovund,avggrm_topk,2000,0.136037129176813
8,Lovund,avggrm_topk,2500,0.1246255711803993
8,Lovund,avggrm_topk,3000,0.1309755873842574
8,Lovund,avggrm_topk,3500,0.1136775762122304
8,Lovund,avggrm_topk,4000,0.1320863009428004
8,Lovund,avggrm_topk,4500,0.1291294258665653
8,Lovund,random_individual,50,-0.02113414884912816
8,Lovund,random_individual,100,-0.02670551911100049
8,Lovund,random_individual,250,0.012542030978649121
8,Lovund,random_individual,500,0.033647612579788974
8,Lovund,random_individual,1000,0.0654198688212336
8,Lovund,random_individual,1500,0.06325574338082238
8,Lovund,random_individual,2000,0.07883379955298342
8,Lovund,random_individual,2500,0.09306758285396224
8,Lovund,random_individual,3000,0.10367235941223829
8,Lovund,random_individual,3500,0.11394448396755981
8,Lovund,random_individual,4000,0.11342420869354033
8,Lovund,random_individual,4500,0.1242301584430949
9,Sleneset,avggrm_topk,50,0.0857966279273039
9,Sleneset,avggrm_topk,100,0.1215676054155076
9,Sleneset,avggrm_topk,250,0.1455530103635946
9,Sleneset,avggrm_topk,500,0.1515643220252691
9,Sleneset,avggrm_topk,1000,0.1663615590955884
9,Sleneset,avggrm_topk,1500,0.1370415254893381
9,Sleneset,avggrm_topk,2000,0.1297362169152341
9,Sleneset,avggrm_topk,2500,0.1421533433231318
9,Sleneset,avggrm_topk,3000,0.1573898619708589
9,Sleneset,avggrm_topk,3500,0.154499463581525
9,Sleneset,avggrm_topk,4000,0.1768567711430105
9,Sleneset,avggrm_topk,4500,0.1641572811771622
9,Sleneset,random_individual,50,0.05662075129263355
9,Sleneset,random_individual,100,0.04270972940226124
9,Sleneset,random_individual,250,0.05932856563782117
9,Sleneset,random_individual,500,0.10085901528113235
9,Sleneset,random_individual,1000,0.122517877694715
9,Sleneset,random_individual,1500,0.14318753045964627
9,Sleneset,random_individual,2000,0.16872839177582294
9,Sleneset,random_individual,2500,0.17401322419637916
9,Sleneset,random_individual,3000,0.1848910914899103
9,Sleneset,random_individual,3500,0.183306113183351
9,Sleneset,random_individual,4000,0.17448400241095743
9,Sleneset,random_individual,4500,0.18156703371332064
10,Aldra,avggrm_topk,50,0.0870780774113073
10,Aldra,avggrm_topk,100,0.1166363395552292
10,Aldra,avggrm_topk,250,0.0848497736193002
10,Aldra,avggrm_topk,500,0.1274553579805581
10,Aldra,avggrm_topk,1000,0.1686915463718632
10,Aldra,avggrm_topk,1500,0.1554159699064321
10,Aldra,avggrm_topk,2000,0.1436748708234523
10,Aldra,avggrm_topk,2500,0.1450737954943713
10,Aldra,avggrm_topk,3000,0.1275108061056986
10,Aldra,avggrm_topk,3500,0.1220824265347234
10,Aldra,avggrm_topk,4000,0.134011658347424
10,Aldra,avggrm_topk,4500,0.1319126829628636
10,Aldra,random_individual,50,0.028993430659641772
10,Aldra,random_individual,100,0.03258097015158641
10,Aldra,random_individual,250,0.0644008909944304
10,Aldra,random_individual,500,0.08385687259181064
10,Aldra,random_individual,1000,0.10057991681159695
10,Aldra,random_individual,1500,0.11076679035982429
10,Aldra,random_individual,2000,0.11552440840253204
10,Aldra,random_individual,2500,0.11969514017163205
10,Aldra,random_individual,3000,0.13374693498716436
10,Aldra,random_individual,3500,0.13047221297707154
10,Aldra,random_individual,4000,0.13673283171245867
10,Aldra,random_individual,4500,0.13299610433813597
11,Southern 1,avggrm_topk,50,0.0840222805710105
11,Southern 1,avggrm_topk,100,0.1013291259119787
11,Southern 1,avggrm_topk,250,0.1663547706180574
11,Southern 1,avggrm_topk,500,0.1671191298072975
11,Southern 1,avggrm_topk,1000,0.1599570903975191
11,Southern 1,avggrm_topk,1500,0.1662853987381755
11,Southern 1,avggrm_topk,2000,0.1727496977603447
11,Southern 1,avggrm_topk,2500,0.1823837995980588
11,Southern 1,avggrm_topk,3000,0.1767751791724756
11,Southern 1,avggrm_topk,3500,0.1809098779995781
11,Southern 1,avggrm_topk,4000,0.1989029380804366
11,Southern 1,avggrm_topk,4500,0.2052481316054408
11,Southern 1,random_individual,50,0.016020607917688886
11,Southern 1,random_individual,100,0.02572348223430953
11,Southern 1,random_individual,250,0.05807351527042888
11,Southern 1,random_individual,500,0.09458253241342625
11,Southern 1,random_individual,1000,0.12440856297068181
11,Southern 1,random_individual,1500,0.13973292698405218
11,Southern 1,random_individual,2000,0.1593764216693213
11,Southern 1,random_individual,2500,0.17637707015664236
11,Southern 1,random_individual,3000,0.1871448759466638
11,Southern 1,random_individual,3500,0.19164799550674547
11,Southern 1,random_individual,4000,0.1904085965210045
11,Southern 1,random_individual,4500,0.19505605565804607
12,Southern 2,avggrm_topk,50,0.0434548682848504
12,Southern 2,avggrm_topk,100,0.0204667369770096
12,Southern 2,avggrm_topk,250,0.0230214295054851
12,Southern 2,avggrm_topk,500,0.0025099591559256
12,Southern 2,avggrm_topk,1000,0.0095328055480721
12,Southern 2,avggrm_topk,1500,0.0259405320962538
12,Southern 2,avggrm_topk,2000,0.0209344303745426
12,Southern 2,avggrm_topk,2500,0.0392129553970367
12,Southern 2,avggrm_topk,3000,0.032342369268396
12,Southern 2,avggrm_topk,3500,0.0190271878975537
12,Southern 2,avggrm_topk,4000,0.0237888273493566
12,Southern 2,avggrm_topk,4500,0.0364179583936504
12,Southern 2,random_individual,50,0.00035943002066871863
12,Southern 2,random_individual,100,0.00628969061062227
12,Southern 2,random_individual,250,-0.005637186291174939
12,Southern 2,random_individual,500,0.02215185630721397
12,Southern 2,random_individual,1000,0.01886467028649893
12,Southern 2,random_individual,1500,0.02451635172310412
12,Southern 2,random_individual,2000,0.02126581738137987
12,Southern 2,random_individual,2500,0.01854818605496261
12,Southern 2,random_individual,3000,0.01507180068724919
12,Southern 2,random_individual,3500,0.02354669950692054
12,Southern 2,random_individual,4000,0.02721226782231413
12,Southern 2,random_individual,4500,0.024759481573589308
13,Southern 3,avggrm_topk,50,0.0435970557085993
13,Southern 3,avggrm_topk,100,0.0978367763424635
13,Southern 3,avggrm_topk,250,0.1374351835836865
13,Southern 3,avggrm_topk,500,0.1043348884269115
13,Southern 3,avggrm_topk,1000,0.06308456911561
13,Southern 3,avggrm_topk,1500,0.0088120473388336
13,Southern 3,avggrm_topk,2000,0.0308603914001096
13,Southern 3,avggrm_topk,2500,0.040198553214477
13,Southern 3,avggrm_topk,3000,0.0246977615018338
13,Southern 3,avggrm_topk,3500,0.0233650800200807
13,Southern 3,avggrm_topk,4000,0.0401106324356697
