trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,full_baseline,full_source_unweighted,none,500,,5578,0.1824919336827234,,1.3005687971008966,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,500,0.1776349902278918,,1.30851843673963,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1000,0.1780593465912664,,1.298421332903636,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1500,0.2160288117309809,,1.277543696392425,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2000,0.2059260322288291,,1.2916303230733024,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2500,0.195068683545072,,1.298247002013406,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3000,0.18214281076372,,1.310458891805517,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3500,0.1923540611045549,,1.3011887057796665,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4000,0.1927470196411669,,1.2993263766421093,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4500,0.1808279480459421,,1.3064018570789455,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,500,0.2621077227434726,,1.2497188993220378,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1000,0.2082001712222902,,1.2756098770230513,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1500,0.2202862836229599,,1.2774845795478675,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2000,0.1939752757770532,,1.300436016707265,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2500,0.1852630698729145,,1.30488861834451,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3000,0.1732396673246606,,1.3053913148056828,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3500,0.171763321201648,,1.3041176602502549,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4000,0.1678311301521398,,1.306917531451032,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4500,0.1772878564813784,,1.3018677241441026,1
body_mass,0,Nesøy,ranked_subset,random_individual,random,500,,500,0.1042416194650094,0.10716520967528703,1.3082053239393068,5
body_mass,0,Nesøy,ranked_subset,random_individual,random,500,,1000,0.047816718416041175,0.13645746037782977,1.3288045532665667,5
body_mass,0,Nesøy,ranked_subset,random_individual,random,500,,1500,0.08605431349922556,0.10448589621871222,1.3151013811515235,5
body_mass,0,Nesøy,ranked_subset,random_individual,random,500,,2000,0.11229592385073654,0.057604573816325326,1.3139744133791043,5
body_mass,0,Nesøy,ranked_subset,random_individual,random,500,,2500,0.09053749896388912,0.05260199219746064,1.3247504641030732,5
