analysis,method,selection_method,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,target_island,target_island_name,repeat,repeat_seed,trait,n_components,selection_n_components,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,False,5438,0.0006208953660804397,1.371653479770445,7,Onøy og Lurøy,0,324992130,body_mass,500,,-0.001944004273372419,
ranked_subset,random_individual,random,0,False,500,0.002753468527418293,1.357245792995692,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1000,-0.045508056765024,1.3753753251835819,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,1500,0.004947524239139776,1.3598653997385728,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2000,0.003698607427508533,1.3638272067322932,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,2500,-0.03639549771689423,1.3738140122798468,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3000,-0.046153719457036696,1.383449307803999,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,3500,-0.023363603933777528,1.3752476053059137,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4000,-0.008199404122438369,1.3693037438276325,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,0,False,4500,-0.006676733351988248,1.3717543669851513,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,500,-0.06096071037810995,1.3673303337732157,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1000,-0.01186910272973142,1.3490284169807483,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,1500,0.04555384178555455,1.3426995392866208,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
