trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,12,Southern 2,full_baseline,full_source_unweighted,none,500,,5300,0.0778196647046199,,1.2339115242456913,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,500,0.0723977348017247,,1.2499345806507949,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1000,0.0553536586648971,,1.2489021995580991,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1500,0.0578814181571922,,1.2443679603932674,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2000,0.0687923201788938,,1.2433094259351307,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2500,0.0510418894109171,,1.2407969741496172,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3000,0.0483761943902959,,1.2414791709263555,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3500,0.0552713472345866,,1.2397482811951586,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4000,0.0831421563849975,,1.2323490549820808,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4500,0.1035326407236917,,1.2259980153614911,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,500,0.078386932130877,,1.2439426249556855,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1000,0.0343062189263522,,1.2425302556447804,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1500,0.0388094970256352,,1.2437030864210938,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2000,0.0568319692551879,,1.2369876786233551,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2500,0.0840185494819852,,1.2285462628857355,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3000,0.1100868498291892,,1.2248348623282572,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3500,0.1185627400902751,,1.2219457350535965,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4000,0.1186884087329578,,1.2226965687611346,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4500,0.1139428494095911,,1.225726717052659,1
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,500,0.01496613360111278,0.06213737477654464,1.23796035028105,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,1000,0.06950674340745866,0.06282498971192008,1.2290805377556553,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,1500,0.04100401547778696,0.08026192203582673,1.2296992268737916,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,2000,0.045744743509787376,0.054059487149222894,1.2327836965967305,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,2500,0.07156983743800845,0.03727515153744599,1.2291691286420015,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,3000,0.06593053771098963,0.037281682184971354,1.2331361251235151,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,3500,0.062454101759546576,0.03118202379155076,1.2336897269528675,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,4000,0.06650779546656904,0.022365759441971993,1.234206254761211,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,4500,0.07298235684509184,0.01652277213106842,1.2323509233925634,5
