trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,12,Southern 2,full_baseline,full_source_unweighted,none,500,,5300,0.0407520687679126,,3.543746569972876,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,500,0.0513649290470964,,3.611606519275837,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1000,0.0565505518556145,,3.558378197137687,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,1500,0.0564187799328682,,3.5240792045114,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2000,0.0587666612997555,,3.5353865147648382,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,2500,0.0524547502316275,,3.5164987968324817,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3000,0.0404927736661616,,3.5377721728979177,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,3500,0.0295209007268353,,3.5699178184085287,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4000,0.0466348259332689,,3.531223876155293,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_avggrm,avggrm,500,,4500,0.0538590882057026,,3.5220248142733204,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,500,-0.0031343027767161,,3.5941979121931382,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1000,0.026578130244725,,3.6112349934814008,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,1500,0.0113356524070486,,3.631514523380203,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2000,0.0370200835061863,,3.5798684560503444,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,2500,0.0443177942961125,,3.5739520964086005,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3000,0.053384412466031,,3.539050051181484,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,3500,0.0468440316448521,,3.5249630448944016,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4000,0.0427000125602788,,3.545749859589337,1
body_mass,12,Southern 2,ranked_subset,bpcrr_topk_pc_distance,pc_distance,500,10.0,4500,0.0467412285845121,,3.5236460291104703,1
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,500,-0.012674191564104159,0.02135800872027613,3.5888511084234382,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,1000,0.0394412344451335,0.022838443917186535,3.485521546342644,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,1500,0.0319954733613201,0.0453798805596679,3.516124882398688,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,2000,0.037292414225132284,0.0447363250378659,3.5092072647559043,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,2500,0.037914710362427564,0.025292344768735434,3.5157762505560797,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,3000,0.0369026129391455,0.02596383247123757,3.5288748591246817,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,3500,0.03570119484404148,0.01787491926313587,3.5469312554823516,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,4000,0.03895418741681424,0.0029495220619888776,3.5374615944655643,5
body_mass,12,Southern 2,ranked_subset,random_individual,random,500,,4500,0.042788885219169084,0.00523999237353637,3.5346414518202742,5
