trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,full_baseline,full_source_unweighted,none,500,,5578,0.3031411819304304,,4.2101072662507,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,500,0.0379680853374257,,4.38846410170421,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,1000,0.2029126592633691,,4.804099753135216,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,1500,0.2642572569673225,,4.773502562886189,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,2000,0.3232954006365741,,4.272157744870338,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,2500,0.2623226281957109,,4.29576195675083,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,3000,0.3356021857961049,,4.205307312638262,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,3500,0.2892760267628798,,4.430441291541178,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,4000,0.2565509281249874,,4.409438276433385,1
body_mass,0,Nesøy,ranked_subset,bpcrr_topk_bpcrr_pev_ga,bpcrr_pev_ga,500,500.0,4500,0.3023543267504084,,4.232952999900646,1
