trait,target_island,target_island_name,analysis,method,weight_scheme,n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,full_baseline,full_source_unweighted,none,500,5578,0.3038648692234217,,4.203912849573054,1
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5578,0.3043934766037671,,4.201121717838333,1
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5578,0.3037428561408687,,4.2066728796116095,1
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5578,0.3040438736542474,,4.199910768813226,1
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5578,0.3035801721502603,,4.20616407019001,1
body_mass,0,Nesøy,weighted_full,bpcrr_weight_uniform,uniform,500,5578,0.3047193341655165,,4.198172181370188,1
body_mass,1,Myken,full_baseline,full_source_unweighted,none,500,5605,0.1845821543353816,,5.699916897430866,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5605,0.185511633730769,,5.691504929507548,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5605,0.1877476404691002,,5.687797753911494,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5605,0.1885526557498337,,5.684333166384303,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5605,0.1865100480093071,,5.68896076223034,1
body_mass,1,Myken,weighted_full,bpcrr_weight_uniform,uniform,500,5605,0.1859248361364217,,5.694560346062304,1
body_mass,2,Træna,full_baseline,full_source_unweighted,none,500,5405,0.2273599584979636,,4.819280362647444,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5405,0.2409618235197412,,4.782751647629902,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_1p0,exp_beta_1p0,500,5405,0.240670916922736,,4.78329986764238,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_2p0,exp_beta_2p0,500,5405,0.2406596753578523,,4.783621503674807,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_4p0,exp_beta_4p0,500,5405,0.2428522253781409,,4.775705019512931,1
body_mass,2,Træna,weighted_full,bpcrr_weight_uniform,uniform,500,5405,0.2404942811685662,,4.783886504589276,1
body_mass,3,Selvær,full_baseline,full_source_unweighted,none,500,5503,0.1994278498062419,,3.545442469941652,1
body_mass,3,Selvær,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5503,0.2005935764603476,,3.555714844218548,1
