trait,target_island,target_island_name,analysis,method,weight_scheme,n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5578,0.3043934766037671,,4.201121717838333,1
body_mass,1,Myken,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5605,0.185511633730769,,5.691504929507548,1
body_mass,2,Træna,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5405,0.2409618235197412,,4.782751647629902,1
body_mass,3,Selvær,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5503,0.2005935764603476,,3.555714844218548,1
body_mass,4,Gjerøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5139,0.0934099681800815,,3.96066956172853,1
body_mass,5,Hestmannøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,4619,0.1387819330952774,,4.536876234843702,1
body_mass,6,Indre Kvarøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5341,0.253094491841944,,4.115197074129408,1
body_mass,7,Onøy og Lurøy,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5438,0.2155931174352929,,3.903402304500136,1
body_mass,8,Lovund,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5539,0.3919193469968361,,3.4543024479394537,1
body_mass,9,Sleneset,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5531,0.1746847958824855,,3.79490522394802,1
body_mass,10,Aldra,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5524,0.1618306067643427,,3.4160053561856745,1
body_mass,11,Southern 1,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5114,0.1281807715818368,,3.040624803459514,1
body_mass,12,Southern 2,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5300,0.0440818416077217,,3.56693742545985,1
body_mass,13,Southern 3,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5113,0.157777599585945,,3.137822321657348,1
body_mass,14,Southern 4,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5211,0.035439893946716,,3.049077169328779,1
body_mass,15,Southern 5,weighted_full,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,5495,0.1074778218517918,,2.990415235814367,1
