source_island,source_island_name,delta_ld,n_source_island,island_rank,trait,target_island,target_island_name
5,Hestmannøy,0.14492291443128535,1078,1,body_mass,0,Nesøy
14,Southern 4,0.14848997359497368,486,2,body_mass,0,Nesøy
13,Southern 3,0.15265304287780024,584,3,body_mass,0,Nesøy
11,Southern 1,0.1535674803306121,583,4,body_mass,0,Nesøy
4,Gjerøy,0.15587768026058943,558,5,body_mass,0,Nesøy
12,Southern 2,0.15603716068273527,397,6,body_mass,0,Nesøy
2,Træna,0.15776218906360312,292,7,body_mass,0,Nesøy
3,Selvær,0.1627128232239359,194,8,body_mass,0,Nesøy
6,Indre Kvarøy,0.16320482209151138,356,9,body_mass,0,Nesøy
8,Lovund,0.16398006968146137,158,10,body_mass,0,Nesøy
7,Onøy og Lurøy,0.16699845843742983,259,11,body_mass,0,Nesøy
9,Sleneset,0.16740310277049356,166,12,body_mass,0,Nesøy
15,Southern 5,0.1699007926504767,202,13,body_mass,0,Nesøy
10,Aldra,0.19050415602676476,173,14,body_mass,0,Nesøy
1,Myken,0.1927063351978624,92,15,body_mass,0,Nesøy
5,Hestmannøy,0.09241475341751419,1078,1,body_mass,2,Træna
14,Southern 4,0.09637134950970072,486,2,body_mass,2,Træna
13,Southern 3,0.09934927196816334,584,3,body_mass,2,Træna
11,Southern 1,0.10394221431428366,583,4,body_mass,2,Træna
4,Gjerøy,0.10457015211700554,558,5,body_mass,2,Træna
3,Selvær,0.10614320827667226,194,6,body_mass,2,Træna
12,Southern 2,0.1073354244111833,397,7,body_mass,2,Træna
8,Lovund,0.1130974332449223,158,8,body_mass,2,Træna
6,Indre Kvarøy,0.11393438877191898,356,9,body_mass,2,Træna
9,Sleneset,0.11996804741886907,166,10,body_mass,2,Træna
7,Onøy og Lurøy,0.12184686384194483,259,11,body_mass,2,Træna
15,Southern 5,0.128059360089607,202,12,body_mass,2,Træna
10,Aldra,0.1508417513490761,173,13,body_mass,2,Træna
1,Myken,0.1543815955628166,92,14,body_mass,2,Træna
0,Nesøy,0.15776218906360312,119,15,body_mass,2,Træna
5,Hestmannøy,0.14642085859243364,1078,1,body_mass,1,Myken
14,Southern 4,0.14947427157964627,486,2,body_mass,1,Myken
13,Southern 3,0.15086188420968938,584,3,body_mass,1,Myken
2,Træna,0.1543815955628166,292,4,body_mass,1,Myken
12,Southern 2,0.15490263814075628,397,5,body_mass,1,Myken
4,Gjerøy,0.15541520906515408,558,6,body_mass,1,Myken
3,Selvær,0.15666048718262282,194,7,body_mass,1,Myken
11,Southern 1,0.15724249393521839,583,8,body_mass,1,Myken
6,Indre Kvarøy,0.1610551867345172,356,9,body_mass,1,Myken
8,Lovund,0.16363021180097953,158,10,body_mass,1,Myken
7,Onøy og Lurøy,0.16614285864968428,259,11,body_mass,1,Myken
9,Sleneset,0.1686797493915961,166,12,body_mass,1,Myken
15,Southern 5,0.1690213463301735,202,13,body_mass,1,Myken
10,Aldra,0.19003665635517508,173,14,body_mass,1,Myken
0,Nesøy,0.1927063351978624,119,15,body_mass,1,Myken
5,Hestmannøy,0.10264295321569057,1078,1,body_mass,3,Selvær
2,Træna,0.10614320827667226,292,2,body_mass,3,Selvær
14,Southern 4,0.10910917024760157,486,3,body_mass,3,Selvær
13,Southern 3,0.11053507993772589,584,4,body_mass,3,Selvær
11,Southern 1,0.11503426514437125,583,5,body_mass,3,Selvær
4,Gjerøy,0.11614401069676633,558,6,body_mass,3,Selvær
12,Southern 2,0.11683987022248847,397,7,body_mass,3,Selvær
8,Lovund,0.12306567653903007,158,8,body_mass,3,Selvær
6,Indre Kvarøy,0.12520656626006263,356,9,body_mass,3,Selvær
7,Onøy og Lurøy,0.13031983706350905,259,10,body_mass,3,Selvær
9,Sleneset,0.13072976306388315,166,11,body_mass,3,Selvær
15,Southern 5,0.1334118576741326,202,12,body_mass,3,Selvær
1,Myken,0.15666048718262282,92,13,body_mass,3,Selvær
10,Aldra,0.15933348549494872,173,14,body_mass,3,Selvær
0,Nesøy,0.1627128232239359,119,15,body_mass,3,Selvær
5,Hestmannøy,0.09241475341751419,1078,1,body_mass,2,Træna
14,Southern 4,0.09637134950970072,486,2,body_mass,2,Træna
13,Southern 3,0.09934927196816334,584,3,body_mass,2,Træna
11,Southern 1,0.10394221431428366,583,4,body_mass,2,Træna
4,Gjerøy,0.10457015211700554,558,5,body_mass,2,Træna
3,Selvær,0.10614320827667226,194,6,body_mass,2,Træna
12,Southern 2,0.1073354244111833,397,7,body_mass,2,Træna
8,Lovund,0.1130974332449223,158,8,body_mass,2,Træna
6,Indre Kvarøy,0.11393438877191898,356,9,body_mass,2,Træna
9,Sleneset,0.11996804741886907,166,10,body_mass,2,Træna
7,Onøy og Lurøy,0.12184686384194483,259,11,body_mass,2,Træna
15,Southern 5,0.128059360089607,202,12,body_mass,2,Træna
10,Aldra,0.1508417513490761,173,13,body_mass,2,Træna
1,Myken,0.1543815955628166,92,14,body_mass,2,Træna
0,Nesøy,0.15776218906360312,119,15,body_mass,2,Træna
5,Hestmannøy,0.08674085454526685,1078,1,body_mass,4,Gjerøy
14,Southern 4,0.09426432315668659,486,2,body_mass,4,Gjerøy
13,Southern 3,0.09674972070819786,584,3,body_mass,4,Gjerøy
11,Southern 1,0.10311098093497548,583,4,body_mass,4,Gjerøy
2,Træna,0.10457015211700554,292,5,body_mass,4,Gjerøy
12,Southern 2,0.10700305211460479,397,6,body_mass,4,Gjerøy
6,Indre Kvarøy,0.1101590166935162,356,7,body_mass,4,Gjerøy
3,Selvær,0.11614401069676633,194,8,body_mass,4,Gjerøy
8,Lovund,0.11642759958625395,158,9,body_mass,4,Gjerøy
7,Onøy og Lurøy,0.11773542404996597,259,10,body_mass,4,Gjerøy
9,Sleneset,0.12043647530681381,166,11,body_mass,4,Gjerøy
15,Southern 5,0.12447539424149606,202,12,body_mass,4,Gjerøy
10,Aldra,0.15042628468842872,173,13,body_mass,4,Gjerøy
1,Myken,0.15541520906515408,92,14,body_mass,4,Gjerøy
0,Nesøy,0.15587768026058943,119,15,body_mass,4,Gjerøy
