repeat,target_code,target_label,n_candidates,k,lambda_div,q_greedy,q_ga,q_ga_minus_greedy,q_relative_gain,ga_jaccard_greedy,ga_overlap_frac_greedy,greedy_time_sec,ga_time_sec
0,9,35,1800,600,0.1,0.006568,0.006568,0.0,0.0,1.0,,0.0201,136.6
0,9,35,1800,600,0.25,0.005551,0.005551,5.01e-07,0.0001,0.993,,0.0195,142.19
0,9,35,1800,600,0.5,0.004362,0.004364,1.568e-06,0.0004,0.98,,0.015099999999999999,134.26
0,9,35,1800,600,1.0,0.002791,0.002847,5.578e-05,0.02,0.846,,0.0158,125.49
0,9,35,1800,600,1.5,0.00167,0.001809,0.0001383,0.0828,0.719,,0.0145,129.19
1,9,35,1800,600,0.1,0.007647,0.007647,1.735e-18,0.0,1.0,,0.013900000000000001,137.62
1,9,35,1800,600,0.25,0.006542,0.006542,4.601e-08,0.0,0.997,,0.0134,153.39
1,9,35,1800,600,0.5,0.005224,0.005227,2.75e-06,0.0005,0.964,,0.016399999999999998,158.48
1,9,35,1800,600,1.0,0.003482,0.003557,7.539e-05,0.0217,0.835,,0.0174,142.42
1,9,35,1800,600,1.5,0.002267,0.002401,0.0001337,0.059,0.765,,0.0127,144.34
2,9,35,1800,600,0.1,0.007381,0.007381,0.0,0.0,1.0,,0.0198,153.58
2,9,35,1800,600,0.25,0.006359,0.006359,0.0,0.0,1.0,,0.0172,149.85
2,9,35,1800,600,0.5,0.005128,0.005129,1.584e-06,0.0003,0.977,,0.026600000000000002,140.64
2,9,35,1800,600,1.0,0.003483,0.003568,8.523e-05,0.0245,0.813,,0.0179,147.86
2,9,35,1800,600,1.5,0.002321,0.002476,0.0001541,0.0664,0.702,,0.018600000000000002,146.62
3,9,35,1800,600,0.1,0.007198,0.007198,0.0,0.0,1.0,,0.019899999999999998,132.79
3,9,35,1800,600,0.25,0.00613,0.00613,-1.735e-18,-0.0,1.0,,0.019600000000000003,139.74
3,9,35,1800,600,0.5,0.004829,0.00483,4.558e-07,0.0001,0.977,,0.0195,136.47
3,9,35,1800,600,1.0,0.00314,0.003186,4.562e-05,0.0145,0.863,,0.02,132.01
3,9,35,1800,600,1.5,0.001944,0.002057,0.0001131,0.0582,0.727,,0.028,139.06
4,9,35,1800,600,0.1,0.007351,0.007351,0.0,0.0,1.0,,0.0134,119.53
4,9,35,1800,600,0.25,0.006346,0.006346,0.0,0.0,1.0,,0.016399999999999998,119.93
4,9,35,1800,600,0.5,0.005125,0.005138,1.271e-05,0.0025,0.98,,0.0128,119.9
4,9,35,1800,600,1.0,0.003436,0.003539,0.0001028,0.0299,0.802,,0.0192,132.17
4,9,35,1800,600,1.5,0.002269,0.002419,0.0001501,0.0662,0.709,,0.013900000000000001,120.56
