trait,result_set,n_folds,folds,mean,median,sd,q1,q3
body_mass,bpcrr_inla_full_source_1000pc,8,"0,1,2,3,4,5,6,7",0.17005685832834125,0.1776164321047044,0.1149457465376654,0.12952375765793245,0.2008069976245842
body_mass,bpcrr_inla_loio_v2,8,"0,1,2,3,4,5,6,7",0.1768351087204047,0.18249923276644764,0.12409161609949612,0.09389413802590793,0.23491214975954053
body_mass,bpcrr_inla_loio_v3,8,"0,1,2,3,4,5,6,7",0.18443370954465385,0.1853672595523413,0.1280270629566405,0.11033001635671355,0.23342064988524408
body_mass,bpcrr_inla_loio_v4,8,"0,1,2,3,4,5,6,7",0.18736604808979157,0.1738615820870183,0.11333158210352741,0.13510511519635962,0.2602794065483547
thr_tarsus,bpcrr_inla_full_source_1000pc,7,"0,1,2,3,4,5,6",0.2560741191188539,0.226920578456057,0.05901398147010274,0.21717200696298528,0.2938410791814984
thr_tarsus,bpcrr_inla_loio_v2,7,"0,1,2,3,4,5,6",0.2620993011063922,0.22625320232074073,0.0638705290085571,0.21186790829392482,0.32372413203950057
thr_tarsus,bpcrr_inla_loio_v3,7,"0,1,2,3,4,5,6",0.27213782380833856,0.23356117453483607,0.06301185010684086,0.22280747891092406,0.33573653138774595
thr_tarsus,bpcrr_inla_loio_v4,7,"0,1,2,3,4,5,6",0.2641961293649597,0.26829594108435967,0.058362232084905076,0.21829981941718984,0.28460835063855006
thr_wing,bpcrr_inla_full_source_1000pc,9,"0,1,2,3,4,5,6,7,8",0.21545702164182604,0.20399829002888978,0.08503495008940239,0.14494116054278477,0.25727685187654936
thr_wing,bpcrr_inla_loio_v2,9,"0,1,2,3,4,5,6,7,8",0.22825678497877178,0.25469973541797136,0.10315998186089738,0.12436286315140788,0.2900949069527748
thr_wing,bpcrr_inla_loio_v3,9,"0,1,2,3,4,5,6,7,8",0.24064996883461554,0.24577378383544365,0.09939763536190815,0.148690569628649,0.32178375332309267
thr_wing,bpcrr_inla_loio_v4,9,"0,1,2,3,4,5,6,7,8",0.21973040123797205,0.22747778937304852,0.09559297120707089,0.13560470210746478,0.2779892714205819
