analysis,method,selection_method,order_seed,n_individuals,target_island,repeat,trait,n_components,selection_n_components,weighted_fit_used,fit_time_seconds,corr_eval,mse_adj,target_island_name,repeat_seed,bpcrr_prior_mode,bpcrr_va_apriori,avg_grm_obj,pca_dist_obj
full_baseline,full_source_unweighted,none,-2,5578,0,0,body_mass,1000,,False,11419.456970591098,0.19439520738015983,1071.7407442136234,Nesøy,2076391374,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5605,1,0,body_mass,1000,,False,11932.14685802022,0.3766635184689426,1034.4691085768816,Myken,2041129560,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5405,2,0,body_mass,1000,,False,10792.099597153254,0.1634413614520761,981.3735024909589,Træna,691795168,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5503,3,0,body_mass,1000,,False,7201.002147900872,0.1917915027573327,1020.6942635756595,Selvær,1712667889,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5139,4,0,body_mass,1000,,False,10807.668256635312,0.11359987586658794,997.7175458459026,Gjerøy,31823479,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,4619,5,0,body_mass,1000,,False,8897.025532197207,0.13483171825504728,1007.2817713546996,Hestmannøy,639053116,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5341,6,0,body_mass,1000,,False,9588.991036369,0.22004236835785732,1012.6312222560784,Indre Kvarøy,159331124,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5438,7,0,body_mass,1000,,False,9119.881983538158,-0.034310685911274015,989.2283595751912,Onøy og Lurøy,324992130,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5539,8,0,body_mass,1000,,False,10401.165464137215,0.310759497303625,1007.0715744005369,Lovund,904772756,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5531,9,0,body_mass,1000,,False,10917.140531548765,0.15590488685024817,1018.1231677735828,Sleneset,698402219,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5524,10,0,body_mass,1000,,False,8131.51519222511,0.06905182856496993,988.5006236215725,Aldra,859124446,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5114,11,0,body_mass,1000,,False,10266.724244731013,0.07354210758852754,963.4572423929396,Leka,1584512352,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5300,12,0,body_mass,1000,,False,8583.440212429035,0.07457782454357668,954.8377781068401,Vega,1695995065,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5113,13,0,body_mass,1000,,False,8925.072189311031,0.0955988078992359,943.1862156644828,Vikna,33537373,fixed_va,1.35,,
full_baseline,full_source_unweighted,none,-2,5009,14,0,body_mass,1000,,False,10826.535617044661,0.0891685963713437,962.8292263558241,Lauvøya,631883636,fixed_va,1.35,,
