trait,target_island,target_island_name,analysis,method,selection_method,n_components,selection_n_components,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,0,Nesøy,full_baseline,full_source_unweighted,none,1000,,5578,0.2275504156852402,,1071.133326042345,1
body_mass,1,Myken,full_baseline,full_source_unweighted,none,1000,,5605,0.424088545734073,,1036.8288917815084,1
body_mass,2,Træna,full_baseline,full_source_unweighted,none,1000,,5405,0.1128904430247541,,982.6280040467126,1
body_mass,3,Selvær,full_baseline,full_source_unweighted,none,1000,,5503,0.1893173661309247,,1017.99186828836,1
body_mass,4,Gjerøy,full_baseline,full_source_unweighted,none,1000,,5139,0.1026487363525918,,1006.0251177108686,1
body_mass,5,Hestmannøy,full_baseline,full_source_unweighted,none,1000,,4619,0.1814171529737578,,1015.5269992277708,1
body_mass,6,Indre Kvarøy,full_baseline,full_source_unweighted,none,1000,,5341,0.2510313524852556,,1014.5809651025104,1
body_mass,7,Onøy og Lurøy,full_baseline,full_source_unweighted,none,1000,,5438,-0.0134743360293664,,996.4606030830506,1
body_mass,8,Lovund,full_baseline,full_source_unweighted,none,1000,,5539,0.338754180543216,,1007.875360202752,1
body_mass,9,Sleneset,full_baseline,full_source_unweighted,none,1000,,5531,0.1095647689417282,,1018.818001106924,1
body_mass,10,Aldra,full_baseline,full_source_unweighted,none,1000,,5524,0.2526719830134295,,1001.1072995195124,1
body_mass,11,Leka,full_baseline,full_source_unweighted,none,1000,,5114,0.1228285903175241,,965.9329965737325,1
body_mass,12,Vega,full_baseline,full_source_unweighted,none,1000,,5300,0.0527999095441152,,954.5932059997848,1
body_mass,13,Vikna,full_baseline,full_source_unweighted,none,1000,,5113,0.1067545484062488,,936.5352461093528,1
body_mass,14,Lauvøya,full_baseline,full_source_unweighted,none,1000,,5009,0.0187009938640353,,952.6170455900442,1
