trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
thr_wing,1,0,Nesøy,20,5515,118,65344,4500,37923.26,0.19214291025713875,0.9729491472244263,0.619653900000003
thr_wing,2,1,Myken,22,5541,92,65344,4500,37923.26,0.2661541656154931,0.9729491472244263,0.5892969999999877
thr_wing,3,2,Træna,23,5347,286,65344,4500,37923.26,0.2667869059885534,0.9729491472244263,0.5739763000001403
thr_wing,4,3,Selvær,24,5442,191,65344,4500,37923.26,0.3750131277115894,0.9729491472244263,0.5676875999999993
thr_wing,5,4,Gjerøy,26,5080,553,65344,4500,37923.26,0.10843576555318767,0.9729491472244263,0.5321387999999843
thr_wing,6,5,Hestmannøy,27,4578,1055,65344,4500,37923.26,0.16168724726405242,0.9729491472244263,0.5386465000001408
thr_wing,7,6,Indre Kvarøy,28,5284,349,65344,4500,37923.26,0.3340047385828447,0.9729491472244263,0.5443055000000641
thr_wing,8,7,Onøy og Lurøy,33,5377,256,65344,4500,37923.26,0.3897072066799708,0.9729491472244263,0.5718979999999192
thr_wing,9,8,Lovund,34,5482,151,65344,4500,37923.26,0.20047960181449762,0.9729491472244263,0.5936004000000139
thr_wing,10,9,Sleneset,35,5473,160,65344,4500,37923.26,0.18210398521334445,0.9729491472244263,0.5491228000000774
thr_wing,11,10,Aldra,38,5460,173,65344,4500,37923.26,0.1651948939305946,0.9729491472244263,0.562201499999901
thr_wing,12,11,Leka,60,5052,581,65344,4500,37923.26,0.1478488979677574,0.9729491472244263,0.5404667000000245
thr_wing,13,12,Vega,61,5236,397,65344,4500,37923.26,0.05267452398456297,0.9729491472244263,0.5534861999999521
thr_wing,14,13,Vikna,63,5050,583,65344,4500,37923.26,0.09576654278748396,0.9729491472244263,0.5344681999999921
thr_wing,15,14,Lauvøya,67,4945,688,65344,4500,37923.26,0.11200767473113393,0.9729491472244263,0.5371844999999666
