trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
body_mass,1,0,Nesøy,20,5578,119,65344,2500,89093.2,0.22464536155678946,0.8414833545684814,0.22704690000045957
body_mass,2,1,Myken,22,5605,92,65344,2500,89093.2,0.4144714730472916,0.8414833545684814,0.18888060000062978
body_mass,3,2,Træna,23,5405,292,65344,2500,89093.2,0.174463778894003,0.8414833545684814,0.19535869999981514
body_mass,4,3,Selvær,24,5503,194,65344,2500,89093.2,0.20554845806310745,0.8414833545684814,0.2470895999995264
body_mass,5,4,Gjerøy,26,5139,558,65344,2500,89093.2,0.10035554078574313,0.8414833545684814,0.18745379999927536
body_mass,6,5,Hestmannøy,27,4619,1078,65344,2500,89093.2,0.16553440908994677,0.8414833545684814,0.2429855000000316
body_mass,7,6,Indre Kvarøy,28,5341,356,65344,2500,89093.2,0.293589692465033,0.8414833545684814,0.21067630000015924
body_mass,8,7,Onøy og Lurøy,33,5438,259,65344,2500,89093.2,-0.02507750748044296,0.8414833545684814,0.221119799999542
body_mass,9,8,Lovund,34,5539,158,65344,2500,89093.2,0.3998560521634473,0.8414833545684814,0.1964201000000685
body_mass,10,9,Sleneset,35,5531,166,65344,2500,89093.2,0.23520810109639234,0.8414833545684814,0.18773770000007062
body_mass,11,10,Aldra,38,5524,173,65344,2500,89093.2,0.23139362832312643,0.8414833545684814,0.23210959999960323
body_mass,12,11,Leka,60,5114,583,65344,2500,89093.2,0.1682952073398235,0.8414833545684814,0.18245070000011765
body_mass,13,12,Vega,61,5300,397,65344,2500,89093.2,0.09716610892648926,0.8414833545684814,0.18812179999986256
body_mass,14,13,Vikna,63,5113,584,65344,2500,89093.2,0.11924780386054305,0.8414833545684814,0.2724563000001581
body_mass,15,14,Lauvøya,67,5009,688,65344,2500,89093.2,0.06284122921480939,0.8414833545684814,0.18422890000056213
