trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
body_mass,1,0,Nesøy,20,5578,119,65344,2500,89093.2,0.22464536155678946,0.8414833545684814,0.22704690000045957
body_mass,2,1,Myken,22,5605,92,65344,2500,89093.2,0.4144714730472916,0.8414833545684814,0.18888060000062978
body_mass,3,2,Træna,23,5405,292,65344,2500,89093.2,0.174463778894003,0.8414833545684814,0.19535869999981514
body_mass,4,3,Selvær,24,5503,194,65344,2500,89093.2,0.20554845806310745,0.8414833545684814,0.2470895999995264
body_mass,5,4,Gjerøy,26,5139,558,65344,2500,89093.2,0.10035554078574313,0.8414833545684814,0.18745379999927536
body_mass,6,5,Hestmannøy,27,4619,1078,65344,2500,89093.2,0.16553440908994677,0.8414833545684814,0.2429855000000316
body_mass,7,6,Indre Kvarøy,28,5341,356,65344,2500,89093.2,0.293589692465033,0.8414833545684814,0.21067630000015924
body_mass,8,7,Onøy og Lurøy,33,5438,259,65344,2500,89093.2,-0.02507750748044296,0.8414833545684814,0.221119799999542
body_mass,9,8,Lovund,34,5539,158,65344,2500,89093.2,0.3998560521634473,0.8414833545684814,0.1964201000000685
body_mass,10,9,Sleneset,35,5531,166,65344,2500,89093.2,0.23520810109639234,0.8414833545684814,0.18773770000007062
body_mass,11,10,Aldra,38,5524,173,65344,2500,89093.2,0.23139362832312643,0.8414833545684814,0.23210959999960323
body_mass,12,11,Leka,60,5114,583,65344,2500,89093.2,0.1682952073398235,0.8414833545684814,0.18245070000011765
body_mass,13,12,Vega,61,5300,397,65344,2500,89093.2,0.09716610892648926,0.8414833545684814,0.18812179999986256
body_mass,14,13,Vikna,63,5113,584,65344,2500,89093.2,0.11924780386054305,0.8414833545684814,0.2724563000001581
body_mass,15,14,Lauvøya,67,5009,688,65344,2500,89093.2,0.06284122921480939,0.8414833545684814,0.18422890000056213
thr_tarsus,1,0,Nesøy,20,5533,117,65344,3500,156026.34,0.32594549362052877,0.924309253692627,0.34869329999946785
thr_tarsus,2,1,Myken,22,5558,92,65344,3500,156026.34,0.34728723018861135,0.924309253692627,0.4424619999999777
thr_tarsus,3,2,Træna,23,5364,286,65344,3500,156026.34,0.23251574583164167,0.924309253692627,0.3414794999998776
thr_tarsus,4,3,Selvær,24,5456,194,65344,3500,156026.34,0.27962701227331116,0.924309253692627,0.438035399999535
thr_tarsus,5,4,Gjerøy,26,5095,555,65344,3500,156026.34,0.2528392966539855,0.924309253692627,0.3413000999998985
thr_tarsus,6,5,Hestmannøy,27,4587,1063,65344,3500,156026.34,0.22888170237523042,0.924309253692627,0.3490740999995978
thr_tarsus,7,6,Indre Kvarøy,28,5302,348,65344,3500,156026.34,0.3590499921684701,0.924309253692627,0.4218905999996423
thr_tarsus,8,7,Onøy og Lurøy,33,5393,257,65344,3500,156026.34,0.2279606830373497,0.924309253692627,0.34337109999978566
thr_tarsus,9,8,Lovund,34,5498,152,65344,3500,156026.34,0.42215216012309414,0.924309253692627,0.3241618000001836
thr_tarsus,10,9,Sleneset,35,5487,163,65344,3500,156026.34,0.2596771787277623,0.924309253692627,0.359372799999619
thr_tarsus,11,10,Aldra,38,5477,173,65344,3500,156026.34,0.2090827719081392,0.924309253692627,0.36428020000039396
thr_tarsus,12,11,Leka,60,5067,583,65344,3500,156026.34,0.2441909721676904,0.924309253692627,0.36142279999967286
thr_tarsus,13,12,Vega,61,5254,396,65344,3500,156026.34,0.13889043918450672,0.924309253692627,0.3306979999997566
thr_tarsus,14,13,Vikna,63,5067,583,65344,3500,156026.34,0.11667643090293131,0.924309253692627,0.33334130000002915
thr_tarsus,15,14,Lauvøya,67,4962,688,65344,3500,156026.34,0.15569214783758661,0.924309253692627,0.3223366000001988
thr_wing,1,0,Nesøy,20,5515,118,65344,4500,32010.23,0.19082677185815727,0.9729491472244263,0.668917899999542
thr_wing,2,1,Myken,22,5541,92,65344,4500,32010.23,0.2718241968944346,0.9729491472244263,0.6001953000004505
thr_wing,3,2,Træna,23,5347,286,65344,4500,32010.23,0.2689777141180442,0.9729491472244263,0.6178368999999293
thr_wing,4,3,Selvær,24,5442,191,65344,4500,32010.23,0.37578118634174296,0.9729491472244263,0.5704003000000739
thr_wing,5,4,Gjerøy,26,5080,553,65344,4500,32010.23,0.10641136310684841,0.9729491472244263,0.5482164999993984
thr_wing,6,5,Hestmannøy,27,4578,1055,65344,4500,32010.23,0.16070099449867,0.9729491472244263,0.5324854000000414
thr_wing,7,6,Indre Kvarøy,28,5284,349,65344,4500,32010.23,0.3275227524343246,0.9729491472244263,0.567371699999967
thr_wing,8,7,Onøy og Lurøy,33,5377,256,65344,4500,32010.23,0.3853768256526943,0.9729491472244263,0.5639152999992803
thr_wing,9,8,Lovund,34,5482,151,65344,4500,32010.23,0.20113378037147345,0.9729491472244263,0.6321543000003658
thr_wing,10,9,Sleneset,35,5473,160,65344,4500,32010.23,0.18719201444267447,0.9729491472244263,0.6035492999999406
thr_wing,11,10,Aldra,38,5460,173,65344,4500,32010.23,0.16730003206385355,0.9729491472244263,0.6041682999994009
thr_wing,12,11,Leka,60,5052,581,65344,4500,32010.23,0.14325615113235646,0.9729491472244263,0.6671729999998206
thr_wing,13,12,Vega,61,5236,397,65344,4500,32010.23,0.056052361739372315,0.9729491472244263,0.5572605999996085
thr_wing,14,13,Vikna,63,5050,583,65344,4500,32010.23,0.0977640405726447,0.9729491472244263,0.5519304999997985
thr_wing,15,14,Lauvøya,67,4945,688,65344,4500,32010.23,0.10987768808246137,0.9729491472244263,0.5598794999996244
