trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,n_pcs,alpha,pearson_r,outer_pca_cumvar,fit_time_seconds
thr_wing,1,0,Nesøy,20,5515,118,65344,4500,32010.23,0.19082677185815727,0.9729491472244263,0.668917899999542
thr_wing,2,1,Myken,22,5541,92,65344,4500,32010.23,0.2718241968944346,0.9729491472244263,0.6001953000004505
thr_wing,3,2,Træna,23,5347,286,65344,4500,32010.23,0.2689777141180442,0.9729491472244263,0.6178368999999293
thr_wing,4,3,Selvær,24,5442,191,65344,4500,32010.23,0.37578118634174296,0.9729491472244263,0.5704003000000739
thr_wing,5,4,Gjerøy,26,5080,553,65344,4500,32010.23,0.10641136310684841,0.9729491472244263,0.5482164999993984
thr_wing,6,5,Hestmannøy,27,4578,1055,65344,4500,32010.23,0.16070099449867,0.9729491472244263,0.5324854000000414
thr_wing,7,6,Indre Kvarøy,28,5284,349,65344,4500,32010.23,0.3275227524343246,0.9729491472244263,0.567371699999967
thr_wing,8,7,Onøy og Lurøy,33,5377,256,65344,4500,32010.23,0.3853768256526943,0.9729491472244263,0.5639152999992803
thr_wing,9,8,Lovund,34,5482,151,65344,4500,32010.23,0.20113378037147345,0.9729491472244263,0.6321543000003658
thr_wing,10,9,Sleneset,35,5473,160,65344,4500,32010.23,0.18719201444267447,0.9729491472244263,0.6035492999999406
thr_wing,11,10,Aldra,38,5460,173,65344,4500,32010.23,0.16730003206385355,0.9729491472244263,0.6041682999994009
thr_wing,12,11,Leka,60,5052,581,65344,4500,32010.23,0.14325615113235646,0.9729491472244263,0.6671729999998206
thr_wing,13,12,Vega,61,5236,397,65344,4500,32010.23,0.056052361739372315,0.9729491472244263,0.5572605999996085
thr_wing,14,13,Vikna,63,5050,583,65344,4500,32010.23,0.0977640405726447,0.9729491472244263,0.5519304999997985
thr_wing,15,14,Lauvøya,67,4945,688,65344,4500,32010.23,0.10987768808246137,0.9729491472244263,0.5598794999996244
