trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,best_n_pcs,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed
body_mass,1,0,Nesøy,20,5578,119,65344,2500,96102.14509878113,0.18477860618050104,0.23594894773508676,0.8452488780021667,0.2890920718200505,602.8662128162105,100
body_mass,2,1,Myken,22,5605,92,65344,2500,78377.55835331503,0.16843601990267407,0.440663864352242,0.8452488780021667,0.23965308303013444,519.2725653061643,100
body_mass,3,2,Træna,23,5405,292,65344,2500,84745.91124991984,0.19301096147020375,0.16673809755677368,0.8452488780021667,0.301427235128358,278.72916605486535,100
body_mass,4,3,Selvær,24,5503,194,65344,2500,85639.80766922838,0.18622488104691662,0.20780324492798852,0.8452488780021667,0.25330934883095324,376.93448146106675,100
body_mass,5,4,Gjerøy,26,5139,558,65344,2500,161077.65110514266,0.1931406908697439,0.10581308791288987,0.8452488780021667,0.23437902191653848,286.73777998494916,100
body_mass,6,5,Hestmannøy,27,4619,1078,65344,2500,97312.94703412027,0.16968154650398581,0.16591295009908344,0.8452488780021667,0.2260844330303371,142.8054517430719,100
body_mass,7,6,Indre Kvarøy,28,5341,356,65344,2500,77556.11103459475,0.17374830763415366,0.27316562431402347,0.8452488780021667,0.25405341386795044,258.884579828009,100
body_mass,8,7,Onøy og Lurøy,33,5438,259,65344,2500,60481.27601797376,0.21428458044630877,-0.027763057081639203,0.8452488780021667,0.2616533942054957,309.2011842939537,100
body_mass,9,8,Lovund,34,5539,158,65344,2500,96463.770169887,0.16613569571632905,0.3922203142149141,0.8452488780021667,0.2445838339626789,295.2836361830123,100
body_mass,10,9,Sleneset,35,5531,166,65344,2500,102896.33019266077,0.18206680914144277,0.2194448769341066,0.8452488780021667,0.3548599099740386,306.33336323010735,100
body_mass,11,10,Aldra,38,5524,173,65344,2500,119379.86040558731,0.18843472910914158,0.20677501758367905,0.8452488780021667,0.33479428314603865,317.90252710389905,100
body_mass,12,11,Leka,60,5114,583,65344,2500,102855.90746563578,0.18752723116593764,0.16940011678837358,0.8452488780021667,0.3037531499285251,366.7146509771701,100
body_mass,13,12,Vega,61,5300,397,65344,2500,90113.3889301974,0.1991260798921864,0.1010070229234573,0.8452488780021667,0.22258456284180284,307.35953943803906,100
body_mass,14,13,Vikna,63,5113,584,65344,2500,83280.04717614724,0.18663900118736554,0.12321536668379053,0.8452488780021667,0.33015835704281926,372.27497949288227,100
body_mass,15,14,Lauvøya,67,5009,688,65344,2500,61024.08194993932,0.1936159589054054,0.05558228900949096,0.8452488780021667,0.30204827315174043,209.14149127411656,100
thr_tarsus,1,0,Nesøy,20,5533,117,65344,3500,97043.28162356444,0.24892891468376382,0.2974982454584661,0.9265527725219727,0.4524384569376707,611.853382385103,100
thr_tarsus,2,1,Myken,22,5558,92,65344,5000,113532.73900029188,0.24141223780771923,0.3420964780083433,0.9877876043319702,0.6977017880417407,656.3205143800005,100
thr_tarsus,3,2,Træna,23,5364,286,65344,5000,94976.50347044895,0.2504353235078712,0.23885341513878514,0.9877876043319702,0.7210722479503602,348.5516133320052,100
thr_tarsus,4,3,Selvær,24,5456,194,65344,4500,114078.82548740723,0.24492455688091758,0.2708717010049508,0.9735146164894104,0.6330027808435261,721.301232727943,100
thr_tarsus,5,4,Gjerøy,26,5095,555,65344,1000,182949.29562765817,0.24004037514840068,0.23042505260986715,0.6038804650306702,0.24549944000318646,190.39628886594437,100
thr_tarsus,6,5,Hestmannøy,27,4587,1063,65344,3000,124968.12597160289,0.24152266707574868,0.22245547061663906,0.8917708992958069,0.3221514420583844,522.4005979830399,100
thr_tarsus,7,6,Indre Kvarøy,28,5302,348,65344,3500,138064.26449912434,0.23888228406998185,0.3544066583698046,0.9265527725219727,0.4356806790456176,483.12001755600795,100
thr_tarsus,8,7,Onøy og Lurøy,33,5393,257,65344,4000,80461.58225149773,0.26099928806916134,0.21319837656673302,0.95331871509552,0.5162766389548779,408.1109021459706,100
thr_tarsus,9,8,Lovund,34,5498,152,65344,5000,110180.82135552034,0.2317765538873268,0.4356437885280031,0.9877876043319702,0.7024231338873506,459.719020545017,100
thr_tarsus,10,9,Sleneset,35,5487,163,65344,4500,107997.70758116756,0.2529515864164341,0.25893706974520875,0.9735146164894104,0.6099072189535946,231.20501367095858,100
thr_tarsus,11,10,Aldra,38,5477,173,65344,4000,154430.73195941473,0.2546442223902779,0.22124341918961138,0.95331871509552,0.6062069681938738,440.5617662749719,100
