trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,best_n_pcs,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,inner_top_k_requested,inner_top_k_used,n_inner_folds
body_mass,1,0,Nesøy,20,5578,119,65344,2500,82030.24929524044,0.21261314277318255,0.23704230178744126,0.8452488780021667,0.2198337810114026,243.36238230904564,100,10,10,10
body_mass,2,1,Myken,22,5605,92,65344,2500,59298.89407116731,0.18942216491655492,0.4325082437039906,0.8452488780021667,0.21097781788557768,265.75045559415594,100,10,10,10
body_mass,3,2,Træna,23,5405,292,65344,2500,95084.3374036485,0.2105372486314503,0.16750562311916695,0.8452488780021667,0.22162681305781007,130.70177078712732,100,10,10,10
body_mass,4,3,Selvær,24,5503,194,65344,2500,94490.57912541626,0.20531938891170914,0.20665065713893394,0.8452488780021667,0.21850485913455486,171.29833348235115,100,10,10,10
body_mass,5,4,Gjerøy,26,5139,558,65344,2500,155256.3935122327,0.22177395217036486,0.10590672739268399,0.8452488780021667,0.2090047230012715,172.19033714104444,100,10,10,10
body_mass,6,5,Hestmannøy,27,4619,1078,65344,1000,31869.23414012626,0.19314648716604235,0.1559046058984509,0.6029021739959717,0.11673486325889826,63.75620140321553,100,10,10,10
body_mass,7,6,Indre Kvarøy,28,5341,356,65344,2500,71772.47050904545,0.1988935265635125,0.2722312424939766,0.8452488780021667,0.22946926997974515,141.52223925292492,100,10,10,10
body_mass,8,7,Onøy og Lurøy,33,5438,259,65344,2500,52505.093256267406,0.25065394610443187,-0.028314832122684267,0.8452488780021667,0.22774109616875648,203.41388773359358,100,10,10,10
body_mass,9,8,Lovund,34,5539,158,65344,2500,107529.88023720347,0.17868007503042738,0.39150403101538306,0.8452488780021667,0.2359186583198607,133.44128879206255,100,10,10,10
body_mass,10,9,Sleneset,35,5531,166,65344,2500,106665.6934594714,0.19878968605952388,0.21931527765923953,0.8452488780021667,0.2246351707726717,176.5998439900577,100,10,10,10
body_mass,11,10,Aldra,38,5524,173,65344,2500,96772.12509566138,0.20917484221028423,0.21338964888338244,0.8452488780021667,0.22426837496459484,155.68116107722744,100,10,10,10
body_mass,12,11,Leka,60,5114,583,65344,2500,70740.88326418663,0.1650775738962661,0.1701095529839199,0.8452488780021667,0.2142958496697247,257.38884348608553,100,10,10,10
body_mass,13,12,Vega,61,5300,397,65344,2500,103890.98592057533,0.20069971430019926,0.10008065802263663,0.8452488780021667,0.2235412308946252,176.98980521177873,100,10,10,10
body_mass,14,13,Vikna,63,5113,584,65344,2500,89093.19844067557,0.1867131436104567,0.12318720851584464,0.8452488780021667,0.21984299691393971,144.2961069289595,100,10,10,10
body_mass,15,14,Lauvøya,67,5009,688,65344,2500,64912.3409132867,0.19126193372424197,0.056957396121304245,0.8452488780021667,0.21958824386820197,108.34430805919692,100,10,10,10
