trait,trait_label,fold,test_island_code,test_island,n_train,n_test,n_features_available,best_n_pcs,best_alpha,log10_alpha,mean_inner_r,pearson_r,outer_minus_inner_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,inner_top_k_requested,inner_top_k_used,n_inner_folds,inner_validation_n_samples,top_inner_avg_grm,source_file
body_mass,Body mass,1,0,Nesøy,5578,119,65344,2500,82030.24929524044,4.913974031402035,0.2126131427731825,0.2370423017874412,0.02442915901425871,0.8452488780021667,0.2198337810114026,243.36238230904564,100,10,10,10,3326,0.006709758384866434,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,2,1,Myken,5605,92,65344,2500,59298.89407116731,4.773046593815052,0.1894221649165549,0.4325082437039906,0.2430860787874357,0.8452488780021667,0.2109778178855776,265.75045559415594,100,10,10,10,3353,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,3,2,Træna,5405,292,65344,2500,95084.3374036485,4.978108984451869,0.2105372486314503,0.1675056231191669,-0.0430316255122834,0.8452488780021667,0.22162681305781,130.70177078712732,100,10,10,10,3377,0.01955742013566733,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,4,3,Selvær,5503,194,65344,2500,94490.57912541626,4.975388510754753,0.2053193889117091,0.2066506571389339,0.0013312682272248189,0.8452488780021667,0.2185048591345548,171.29833348235115,100,10,10,10,3475,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,5,4,Gjerøy,5139,558,65344,2500,155256.3935122327,5.191049493614543,0.2217739521703648,0.1059067273926839,-0.1158672247776809,0.8452488780021667,0.2090047230012715,172.19033714104444,100,10,10,10,2887,0.004662839239021407,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,6,5,Hestmannøy,4619,1078,65344,1000,31869.23414012626,4.503371626927967,0.1931464871660423,0.1559046058984509,-0.0372418812675914,0.6029021739959717,0.1167348632588982,63.75620140321553,100,10,10,10,2367,0.004662839239021405,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,7,6,Indre Kvarøy,5341,356,65344,2500,71772.47050904545,4.855957895514465,0.1988935265635125,0.2722312424939766,0.07333771593046412,0.8452488780021667,0.2294692699797451,141.52223925292492,100,10,10,10,3089,0.004430847037161113,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,8,7,Onøy og Lurøy,5438,259,65344,2500,52505.093256267406,4.720201434183141,0.2506539461044318,-0.0283148321226842,-0.278968778227116,0.8452488780021667,0.2277410961687564,203.4138877335936,100,10,10,10,3186,0.009088772220621457,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,9,8,Lovund,5539,158,65344,2500,107529.88023720348,5.031529162102589,0.1786800750304273,0.391504031015383,0.2128239559849557,0.8452488780021667,0.2359186583198607,133.44128879206255,100,10,10,10,3511,0.02253442554417144,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,10,9,Sleneset,5531,166,65344,2500,106665.6934594714,5.028024761158592,0.1987896860595238,0.2193152776592395,0.020525591599715703,0.8452488780021667,0.2246351707726717,176.5998439900577,100,10,10,10,3503,0.022534425544171444,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,11,10,Aldra,5524,173,65344,2500,96772.12509566138,4.985750278170935,0.2091748422102842,0.2133896488833824,0.004214806673098204,0.8452488780021667,0.2242683749645948,155.68116107722744,100,10,10,10,3377,0.0010978945658157585,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,12,11,Leka,5114,583,65344,2500,70740.88326418663,4.849670478073693,0.1650775738962661,0.1701095529839199,0.005031979087653793,0.8452488780021667,0.2142958496697247,257.38884348608553,100,10,10,10,3030,0.011693038304965452,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,13,12,Vega,5300,397,65344,2500,103890.98592057532,5.0165778677229085,0.2006997143001992,0.1000806580226366,-0.1006190562775626,0.8452488780021667,0.2235412308946252,176.98980521177873,100,10,10,10,3135,0.0006855971271691338,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,14,13,Vikna,5113,584,65344,2500,89093.19844067557,4.949844550361985,0.1867131436104567,0.1231872085158446,-0.06352593509461212,0.8452488780021667,0.2198429969139397,144.2961069289595,100,10,10,10,2948,0.011693038304965448,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
body_mass,Body mass,15,14,Lauvøya,5009,688,65344,2500,64912.3409132867,4.812327271238524,0.1912619337242419,0.0569573961213042,-0.1343045376029377,0.8452488780021667,0.2195882438682019,108.34430805919692,100,10,10,10,2844,0.0105060362817128,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\body_mass\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,1,0,Nesøy,5533,117,65344,3500,112786.34161889456,5.052256509942552,0.2826911637332495,0.3024051425023465,0.01971397876909703,0.9265527725219728,0.3763957130722701,364.1606906536035,100,10,10,10,3283,0.006603586947006324,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,2,1,Myken,5558,92,65344,5000,150465.52996025747,5.177437019114776,0.2717827499875803,0.3437082561129884,0.0719255061254081,0.9877876043319702,0.6671318970620632,425.31720532896,100,10,10,10,3308,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,3,2,Træna,5364,286,65344,2000,226458.4835198525,5.35498859473347,0.2778493732697412,0.2163324878049669,-0.061516885464774296,0.7877806425094604,0.1454054592177271,235.7475057388656,100,10,10,10,3337,0.019652195413326554,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,4,3,Selvær,5456,194,65344,1000,154886.006306203,5.190012181745455,0.2712496069273718,0.2357719530139639,-0.03547765391340793,0.6038804650306702,0.079817408695817,189.0373637559824,100,10,10,10,3429,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,5,4,Gjerøy,5095,555,65344,1000,249599.28360996745,5.39724333451726,0.2751684211149751,0.2270433370643909,-0.04812508405058419,0.6038804650306702,0.0813612039200961,97.17997892387211,100,10,10,10,2845,0.0046752792633685866,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,6,5,Hestmannøy,4587,1063,65344,3000,156723.8229846129,5.195135016917714,0.2705921170193547,0.2219334160580602,-0.048658700961294515,0.8917708992958069,0.2760955388657748,346.0219758339226,100,10,10,10,2337,0.004675279263368585,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,7,6,Indre Kvarøy,5302,348,65344,3500,138064.26449912434,5.140081283653436,0.2660110987763388,0.3544066583698046,0.08839555959346584,0.9265527725219728,0.3835596023127436,294.05217987205833,100,10,10,10,3052,0.004343204854231577,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,8,7,Onøy og Lurøy,5393,257,65344,4000,80461.58225149773,4.905588568582471,0.303546919126947,0.213198376566733,-0.09034854256021399,0.95331871509552,0.4742133012041449,238.3786956067197,100,10,10,10,3143,0.009144271519545595,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,9,8,Lovund,5498,152,65344,5000,110180.82135552034,5.0421060055472005,0.2540670045994539,0.4356437885280031,0.1815767839285492,0.9877876043319702,0.6978073711507022,159.57827330799773,100,10,10,10,3471,0.021955154951598516,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,10,9,Sleneset,5487,163,65344,1000,114590.26965859711,5.059147741427271,0.2812858948060244,0.2495940914713162,-0.031691803334708196,0.6038804650306702,0.0787181588821113,96.19379360880704,100,10,10,10,3460,0.02195515495159852,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,11,10,Aldra,5477,173,65344,3000,205399.5429268523,5.312599472832015,0.2828134687394891,0.2064929087002426,-0.0763205600392465,0.8917708992958069,0.3061859020963311,194.0524204382673,100,10,10,10,3337,0.00110744931795462,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,12,11,Leka,5067,583,65344,4000,156026.34200677826,5.193197926703213,0.2271202377684087,0.2403226746606421,0.01320243689223341,0.95331871509552,0.4561713398434222,314.6608399976976,100,10,10,10,3009,0.011677912618427669,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,13,12,Vega,5254,396,65344,5000,333056.05981689965,5.522517339872772,0.2580275064224133,0.1245123365713496,-0.1335151698510637,0.9877876043319702,0.6877254089340568,209.3697374979965,100,10,10,10,3115,0.0006882771963559604,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,14,13,Vikna,5067,583,65344,3500,196261.62941162483,5.292835400141662,0.2616946789472956,0.1145254178622,-0.1471692610850956,0.9265527725219728,0.3641954846680164,215.0918070198968,100,10,10,10,2928,0.011677912618427669,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_tarsus,Tarsus length,15,14,Lauvøya,4962,688,65344,1000,239049.36871858969,5.37848760114875,0.2421901699107333,0.1525226457599387,-0.0896675241507946,0.6038804650306702,0.0717284907586872,71.78397101303563,100,10,10,10,2823,0.010510304963582934,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_tarsus\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,1,0,Nesøy,5515,118,65344,4000,32010.226030350503,4.505288740791661,0.245582188584765,0.179623384320004,-0.065958804264761,0.953777551651001,0.5198212033137679,283.6695835464634,100,10,10,10,3266,0.006598441581212969,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,2,1,Myken,5541,92,65344,4500,43962.95538994254,4.643086879984421,0.2341629000537968,0.2588666278825122,0.024703727828715383,0.9739188551902772,0.573637324385345,213.8215297590941,100,10,10,10,3292,0.021240654531168274,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,3,2,Træna,5347,286,65344,2500,74330.10973468621,4.871164773959057,0.2030470153853888,0.2488119980953563,0.04576498270996751,0.8472139239311218,0.2035173997282982,142.19067437993365,100,10,10,10,3322,0.019410508141042157,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
