trait,fold,test_island_code,test_island,test_island_original_label,n_train,n_test,n_features_available,best_n_pcs,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,inner_top_k_requested,inner_top_k_used,n_inner_folds
thr_wing,1,0,Nesøy,20,5515,118,65344,4000,32010.226030350506,0.24558218858476505,0.17962338432000405,0.953777551651001,0.5198212033137679,283.6695835464634,100,10,10,10
thr_wing,2,1,Myken,22,5541,92,65344,4500,43962.95538994254,0.2341629000537968,0.2588666278825122,0.9739188551902771,0.573637324385345,213.82152975909412,100,10,10,10
thr_wing,3,2,Træna,23,5347,286,65344,2500,74330.10973468621,0.20304701538538888,0.24881199809535637,0.8472139239311218,0.2035173997282982,142.19067437993363,100,10,10,10
thr_wing,4,3,Selvær,24,5442,191,65344,4500,46645.46960661123,0.1940135045656948,0.3617618027151714,0.9739188551902771,0.5690242098644376,272.3614478530362,100,10,10,10
thr_wing,5,4,Gjerøy,26,5080,553,65344,4500,25340.08479329569,0.24372417772621144,0.09859775183976466,0.9739188551902771,0.5570839862339199,292.7505881562829,100,10,10,10
thr_wing,6,5,Hestmannøy,27,4578,1055,65344,4000,52516.90919384145,0.23211486284169552,0.15968357551715467,0.953777551651001,0.4441356430761516,212.55331248929724,100,10,10,10
thr_wing,7,6,Indre Kvarøy,28,5284,349,65344,4500,29025.96617591188,0.22067592118246596,0.32486764174468574,0.9739188551902771,0.5753776347264647,305.14025673270226,100,10,10,10
thr_wing,8,7,Onøy og Lurøy,33,5377,256,65344,4500,27788.6200547538,0.21722933406940942,0.37471882859032307,0.9739188551902771,0.5877546221017838,293.8052938990295,100,10,10,10
thr_wing,9,8,Lovund,34,5482,151,65344,4500,30638.507435762385,0.22433635247325773,0.20649874952189765,0.9739188551902771,0.5909413178451359,262.0284974211827,100,10,10,10
thr_wing,10,9,Sleneset,35,5473,160,65344,4500,44559.534870261625,0.22644435742305488,0.17766351911795633,0.9739188551902771,0.5832451111637056,280.0173155218363,100,10,10,10
thr_wing,11,10,Aldra,38,5460,173,65344,4500,35441.07561404237,0.22174722083331636,0.1638938319828518,0.9739188551902771,0.5793388038873672,145.93017108831555,100,10,10,10
thr_wing,12,11,Leka,60,5052,581,65344,5000,20023.65149165729,0.1973927732298871,0.12679349914194035,0.9881325364112854,0.6555623528547585,196.18499707896262,100,10,10,10
thr_wing,13,12,Vega,61,5236,397,65344,4500,27216.55585005111,0.22394308486756492,0.062033701324355026,0.9739188551902771,0.6055738003924489,256.0671174698509,100,10,10,10
thr_wing,14,13,Vikna,63,5050,583,65344,4500,32284.581036808828,0.21458597774636531,0.09740965972543732,0.9739188551902771,0.5332567058503628,232.84715654002503,100,10,10,10
thr_wing,15,14,Lauvøya,67,4945,688,65344,4500,28347.990840230093,0.20925939824431344,0.10552945629288024,0.9739188551902771,0.5029115779325366,261.2756109619513,100,10,10,10
