trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
body_mass,0,pevmean_ga,500,0.4758995493447218,0.0037199190115790558,255.6545459870249,5
body_mass,0,pevmean_ga,1000,0.3261758229557919,0.003715291458635145,305.82149971462786,5
body_mass,0,pevmean_ga,1500,0.25962372980106074,0.0022667198393527457,354.8183760358952,5
body_mass,0,pevmean_ga,2000,0.2198503787057841,0.0014577955216129865,406.7502095871605,5
body_mass,0,pevmean_ga,2500,0.1923559146536442,0.0014415979974270912,450.5814779289067,5
body_mass,0,pevmean_ga,3000,0.17428794986081872,0.0015095132738331156,503.0511700566858,5
body_mass,0,pevmean_ga,3500,0.1590318816070309,0.0007080994806214757,554.4003300811164,5
body_mass,0,pevmean_ga,4000,0.1479306703824683,0.00032677040011144164,601.4906554152258,5
body_mass,0,pevmean_ga,4500,0.13802996992218625,0.0001821801187894813,617.0898817875423,5
body_mass,1,pevmean_ga,500,0.08826001228654043,0.0010234944051903912,256.79997749859467,5
body_mass,1,pevmean_ga,1000,0.057564377429054556,0.0004364232378634639,306.3371892180294,5
body_mass,1,pevmean_ga,1500,0.04518022953070282,0.0004063683153729165,354.2352629327215,5
body_mass,1,pevmean_ga,2000,0.03853246117259086,0.0004063014507730419,407.01647112937644,5
body_mass,1,pevmean_ga,2500,0.034048984776256196,0.00021962381064907747,450.68946160702035,5
body_mass,1,pevmean_ga,3000,0.0307096848875363,0.0001845682120963298,505.14355789683754,5
body_mass,1,pevmean_ga,3500,0.02841293371743926,0.00016142362158523692,555.2301504230127,5
body_mass,1,pevmean_ga,4000,0.02652491578096954,5.632155061334621e-05,603.3132825884968,5
body_mass,1,pevmean_ga,4500,0.02510906916072962,5.5015775722778006e-05,631.0800779080018,5
body_mass,2,pevmean_ga,500,0.08615524084895318,0.0010553865247868053,268.68724920693785,5
body_mass,2,pevmean_ga,1000,0.0560822480914969,0.0007738737604348082,316.63782270485535,5
body_mass,2,pevmean_ga,1500,0.04390992363437612,0.0005429761596307419,366.64244300918654,5
body_mass,2,pevmean_ga,2000,0.03707894461354484,0.0003177117212404279,417.6795535958372,5
body_mass,2,pevmean_ga,2500,0.032841768168074936,0.00036885365176685694,461.6716208974831,5
body_mass,2,pevmean_ga,3000,0.029685719062394,7.59175929171996e-05,513.4220020906068,5
body_mass,2,pevmean_ga,3500,0.02749386266258964,0.00010215235527922197,562.5637319758534,5
