trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
thr_tarsus,0,pevmean_ga,500,0.5902655890363635,0.013518954418420166,254.96152086928487,5
thr_tarsus,0,pevmean_ga,1000,0.3868077925342771,0.0030834692054019547,304.4536215662956,5
thr_tarsus,0,pevmean_ga,1500,0.2995002942721231,0.0038354810133222127,353.61364176822826,5
thr_tarsus,0,pevmean_ga,2000,0.2507083622260133,0.0020573906742945166,406.06317754788324,5
thr_tarsus,0,pevmean_ga,2500,0.21789599744081448,0.001069759617139336,450.0842960672453,5
thr_tarsus,0,pevmean_ga,3000,0.19537066947837087,0.0007529493553520189,502.90005651907995,5
thr_tarsus,0,pevmean_ga,3500,0.1780161186678541,0.000704798896516157,553.3401377643459,5
thr_tarsus,0,pevmean_ga,4000,0.16428356287930446,0.0005318147288566308,601.7160466383211,5
thr_tarsus,0,pevmean_ga,4500,0.15407677214794574,0.00017400364571876646,577.3300984487869,5
thr_tarsus,1,pevmean_ga,500,0.09360036531839813,0.0010505145953684574,254.8433061526157,5
thr_tarsus,1,pevmean_ga,1000,0.06042855558960354,0.0005902895893084958,304.96487092087045,5
thr_tarsus,1,pevmean_ga,1500,0.047794973826052016,0.0002489996928635259,354.62749761529267,5
thr_tarsus,1,pevmean_ga,2000,0.04066615302904264,0.00030534304809636166,407.32698247767985,5
thr_tarsus,1,pevmean_ga,2500,0.036050639560280304,0.0002714764243355823,450.67840315867215,5
thr_tarsus,1,pevmean_ga,3000,0.03265358130788994,0.00014682905549144536,502.9181144325994,5
thr_tarsus,1,pevmean_ga,3500,0.030001765843525617,0.00010600937681766563,555.3091483036987,5
thr_tarsus,1,pevmean_ga,4000,0.028117246477751722,4.481095931774724e-05,603.5297452667728,5
thr_tarsus,1,pevmean_ga,4500,0.026619859941396477,6.614125910274665e-05,621.683225212153,5
thr_tarsus,2,pevmean_ga,500,0.09038838164381705,0.0031200529363554223,268.1979941786267,5
thr_tarsus,2,pevmean_ga,1000,0.057696900757552516,0.000786930453828419,316.13246233714744,5
thr_tarsus,2,pevmean_ga,1500,0.044709817011282536,0.00047826901237283027,367.1113803498447,5
thr_tarsus,2,pevmean_ga,2000,0.03808097135004852,0.00041114436784016697,418.7426580809988,5
thr_tarsus,2,pevmean_ga,2500,0.03355761223602456,0.00027218476158631736,463.4758062874899,5
thr_tarsus,2,pevmean_ga,3000,0.030276693867617898,8.425941929749989e-05,514.8078174754046,5
thr_tarsus,2,pevmean_ga,3500,0.02797191820360962,9.176448257243215e-05,565.610641725827,5
thr_tarsus,2,pevmean_ga,4000,0.02622141766586526,3.775356089264006e-05,611.4562534051947,5
thr_tarsus,2,pevmean_ga,4500,0.02482637317214326,2.655899923352981e-05,642.6179413730279,5
thr_tarsus,3,pevmean_ga,500,0.08130840856190605,0.0016358542598097121,263.2454569898546,5
