n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
500,pevmean_ga,-1,0.48171478467251,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26477,51.929295900976285
1000,pevmean_ga,-1,0.32634221060445684,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26582,62.175352185964584
1500,pevmean_ga,-1,0.26879902864691146,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26513,72.1949771118816
2000,pevmean_ga,-1,0.2294936881297822,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26406,82.72297843312845
2500,pevmean_ga,-1,0.2031940983735182,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26581,92.26609254698269
3000,pevmean_ga,-1,0.18345400420051738,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26623,103.07047262298875
3500,pevmean_ga,-1,0.16882645846823355,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26581,113.22947788704187
4000,pevmean_ga,-1,0.15793336230708163,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26553,122.8895063190721
4500,pevmean_ga,-1,0.1478432205535254,100,4110.253706993019,0,Nesøy,0,744452614,thr_wing,300,26543,129.29046432906762
500,pevmean_ga,-1,0.47524619099008364,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26349,51.898018008098006
1000,pevmean_ga,-1,0.32884235868522843,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26481,62.20599815715104
1500,pevmean_ga,-1,0.26688905911305344,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26475,72.22981172800064
2000,pevmean_ga,-1,0.22812378151503027,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26671,83.10295339603908
2500,pevmean_ga,-1,0.20355133206907933,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26509,91.68903915490955
3000,pevmean_ga,-1,0.18366258641449457,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26620,102.9157798809465
3500,pevmean_ga,-1,0.16988206557575958,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26546,113.24715601094067
4000,pevmean_ga,-1,0.157901553942683,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26693,123.21840998413973
4500,pevmean_ga,-1,0.14781895354054622,100,4110.253706993019,0,Nesøy,1,154263954,thr_wing,300,26571,130.6959461160004
500,pevmean_ga,-1,0.4693301917925815,100,4110.253706993019,0,Nesøy,2,1378078444,thr_wing,300,26674,51.86974894814193
