trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
body_mass,pevmean_ga_pc_ridge,0,Nesøy,0,744452614,500,500,2500,2500,89093.2,0.3192558224943743,1075.08447265625,0.16716843999893172,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,1,154263954,500,500,2500,2500,89093.2,0.24478068499098632,1067.2005615234375,0.011997460998827592,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,2,1378078444,500,500,2500,2500,89093.2,0.24000691750766756,1070.1663818359375,0.014368549000209896,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,3,1181729346,500,500,2500,2500,89093.2,0.155989606695612,1066.4361572265625,0.014549675001035212,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,4,555131593,500,500,2500,2500,89093.2,0.2781615731613805,1066.621337890625,0.014565831999789225,119
body_mass,pevmean_ga_pc_ridge,1,Myken,0,1714262082,500,500,2500,2500,89093.2,0.18758839363004323,1030.0196533203125,0.014105751000897726,92
body_mass,pevmean_ga_pc_ridge,1,Myken,1,2085454949,500,500,2500,2500,89093.2,0.2798730434444334,1032.64306640625,0.014069482000195421,92
body_mass,pevmean_ga_pc_ridge,1,Myken,2,2060266791,500,500,2500,2500,89093.2,0.3347443737500278,1034.630126953125,0.014516592000290984,92
body_mass,pevmean_ga_pc_ridge,1,Myken,3,464011987,500,500,2500,2500,89093.2,0.24949942860618154,1033.3797607421875,0.013990405001095496,92
body_mass,pevmean_ga_pc_ridge,1,Myken,4,131593733,500,500,2500,2500,89093.2,0.29636259981125995,1031.6549072265625,0.013761707999947248,92
body_mass,pevmean_ga_pc_ridge,2,Træna,0,405385771,500,500,2500,2500,89093.2,0.19604778951595786,975.9083862304688,0.014753367999219336,292
body_mass,pevmean_ga_pc_ridge,2,Træna,1,1256116569,500,500,2500,2500,89093.2,0.12965904274105133,972.9387817382812,0.014750745001947507,292
body_mass,pevmean_ga_pc_ridge,2,Træna,2,803481440,500,500,2500,2500,89093.2,0.12155826497144553,976.5941772460938,0.014618872999562882,292
body_mass,pevmean_ga_pc_ridge,2,Træna,3,1705764116,500,500,2500,2500,89093.2,0.2088428555751008,975.9893188476562,0.014783989998250036,292
body_mass,pevmean_ga_pc_ridge,2,Træna,4,2026676072,500,500,2500,2500,89093.2,0.2147525301510242,974.407958984375,0.014544608999131015,292
body_mass,pevmean_ga_pc_ridge,3,Selvær,0,261820732,500,500,2500,2500,89093.2,0.203667012547147,1004.2010498046875,0.014474735002295347,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,1,1117512274,500,500,2500,2500,89093.2,0.15931735196836086,1005.1249389648438,0.01540191800086177,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,2,1562338001,500,500,2500,2500,89093.2,0.11827520719390537,1009.4876098632812,0.01580049400217831,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,3,980813718,500,500,2500,2500,89093.2,0.13728421902457255,1006.6101684570312,0.01578730999972322,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,4,1849893988,500,500,2500,2500,89093.2,0.1223907449877503,1006.459228515625,0.017490988997451495,194
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,0,1623418790,500,500,2500,2500,89093.2,0.0841774848815285,1009.732421875,0.017721035997965373,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,1,1639125088,500,500,2500,2500,89093.2,0.13430449205924166,1011.179443359375,0.017264967002120102,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,2,1056172817,500,500,2500,2500,89093.2,0.07750821619217388,1013.9655151367188,0.017824836999352556,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,3,215651242,500,500,2500,2500,89093.2,0.14247894929395397,1011.8668212890625,0.017940411999006756,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,4,172047015,500,500,2500,2500,89093.2,0.17805312969456283,1017.274169921875,0.018644312000105856,558
body_mass,pevmean_ga_pc_ridge,5,Hestmannøy,0,713757009,500,500,2500,2500,89093.2,0.15290934670271927,1019.7166137695312,0.020304686997405952,1078
body_mass,pevmean_ga_pc_ridge,5,Hestmannøy,1,492972063,500,500,2500,2500,89093.2,0.09044481561113306,1021.69189453125,0.020444354999199277,1078
body_mass,pevmean_ga_pc_ridge,5,Hestmannøy,2,1445232612,500,500,2500,2500,89093.2,0.12933583218250658,1021.4243774414062,0.02002856699982658,1078
body_mass,pevmean_ga_pc_ridge,5,Hestmannøy,3,1177755176,500,500,2500,2500,89093.2,0.11911255149048851,1026.4013671875,0.020361545000923797,1078
body_mass,pevmean_ga_pc_ridge,5,Hestmannøy,4,1251151673,500,500,2500,2500,89093.2,0.09750792313121803,1026.564208984375,0.0341051490031532,1078
body_mass,pevmean_ga_pc_ridge,6,Indre Kvarøy,0,2036077539,500,500,2500,2500,89093.2,0.09683932846219612,1025.73291015625,0.03149498200218659,356
body_mass,pevmean_ga_pc_ridge,6,Indre Kvarøy,1,672890309,500,500,2500,2500,89093.2,0.1285557304225355,1026.913330078125,0.03254900899992208,356
body_mass,pevmean_ga_pc_ridge,6,Indre Kvarøy,2,441296936,500,500,2500,2500,89093.2,0.018739319366893034,1025.3336181640625,0.03275576200030628,356
body_mass,pevmean_ga_pc_ridge,6,Indre Kvarøy,3,1125825237,500,500,2500,2500,89093.2,0.1542156927871589,1022.7782592773438,0.0327214909993927,356
body_mass,pevmean_ga_pc_ridge,6,Indre Kvarøy,4,395063024,500,500,2500,2500,89093.2,0.07587869523763283,1026.5501708984375,0.032566546000452945,356
body_mass,pevmean_ga_pc_ridge,7,Onøy og Lurøy,0,546911525,500,500,2500,2500,89093.2,-0.07651733975343765,1005.4273681640625,0.03265433900014614,259
body_mass,pevmean_ga_pc_ridge,7,Onøy og Lurøy,1,474736456,500,500,2500,2500,89093.2,-0.025402491898848873,1009.07470703125,0.03253771099844016,259
body_mass,pevmean_ga_pc_ridge,7,Onøy og Lurøy,2,657790576,500,500,2500,2500,89093.2,0.08220450844543065,1003.8526611328125,0.015569500999845332,259
body_mass,pevmean_ga_pc_ridge,7,Onøy og Lurøy,3,86106131,500,500,2500,2500,89093.2,0.06432046959317736,1007.3946533203125,0.015825517002667766,259
body_mass,pevmean_ga_pc_ridge,7,Onøy og Lurøy,4,1471991796,500,500,2500,2500,89093.2,-0.0243923108447123,1002.2166748046875,0.015891643000941258,259
body_mass,pevmean_ga_pc_ridge,8,Lovund,0,1690148911,500,500,2500,2500,89093.2,0.16051809382975862,1003.8346557617188,0.015257641000061994,158
body_mass,pevmean_ga_pc_ridge,8,Lovund,1,1276499927,500,500,2500,2500,89093.2,0.1886852423142729,1001.9303588867188,0.015851396001380635,158
body_mass,pevmean_ga_pc_ridge,8,Lovund,2,454522896,500,500,2500,2500,89093.2,0.3104303041746106,1004.4256591796875,0.015757733999635093,158
body_mass,pevmean_ga_pc_ridge,8,Lovund,3,1603208544,500,500,2500,2500,89093.2,0.2896031550231837,1004.35009765625,0.015998823000700213,158
body_mass,pevmean_ga_pc_ridge,8,Lovund,4,853280976,500,500,2500,2500,89093.2,0.2966968392576067,998.5720825195312,0.01569403599933139,158
body_mass,pevmean_ga_pc_ridge,9,Sleneset,0,201727611,500,500,2500,2500,89093.2,0.14203519458646954,1020.8521118164062,0.015691184002207592,166
body_mass,pevmean_ga_pc_ridge,9,Sleneset,1,272273300,500,500,2500,2500,89093.2,0.1226669348727912,1021.6795654296875,0.015782881000632187,166
body_mass,pevmean_ga_pc_ridge,9,Sleneset,2,2058959408,500,500,2500,2500,89093.2,0.12478577939869161,1023.7256469726562,0.0158889000013005,166
body_mass,pevmean_ga_pc_ridge,9,Sleneset,3,2010177890,500,500,2500,2500,89093.2,0.052243580723457375,1019.1779174804688,0.015954561000398826,166
body_mass,pevmean_ga_pc_ridge,9,Sleneset,4,34284155,500,500,2500,2500,89093.2,0.09224401490883002,1023.9891967773438,0.015596201999869663,166
body_mass,pevmean_ga_pc_ridge,10,Aldra,0,2138453555,500,500,2500,2500,89093.2,0.12485208293885917,1007.1658325195312,0.015782159996888367,173
body_mass,pevmean_ga_pc_ridge,10,Aldra,1,1317260418,500,500,2500,2500,89093.2,0.060776692770725005,1007.9116821289062,0.015803921000042465,173
body_mass,pevmean_ga_pc_ridge,10,Aldra,2,384616272,500,500,2500,2500,89093.2,0.25212322660259384,1008.1012573242188,0.015882747000432573,173
body_mass,pevmean_ga_pc_ridge,10,Aldra,3,675535670,500,500,2500,2500,89093.2,0.23677940366863556,1004.224365234375,0.015897372002655175,173
body_mass,pevmean_ga_pc_ridge,10,Aldra,4,318666808,500,500,2500,2500,89093.2,0.2137633361868611,1005.925048828125,0.015590315000736155,173
body_mass,pevmean_ga_pc_ridge,11,Leka,0,707858893,500,500,2500,2500,89093.2,0.1268648502743114,954.5396728515625,0.016602838000835618,583
body_mass,pevmean_ga_pc_ridge,11,Leka,1,1546471740,500,500,2500,2500,89093.2,0.17421920255457155,961.3001708984375,0.015745992001029663,583
body_mass,pevmean_ga_pc_ridge,11,Leka,2,1116023779,500,500,2500,2500,89093.2,0.17021427385501567,959.5982055664062,0.015972386001521954,583
body_mass,pevmean_ga_pc_ridge,11,Leka,3,120389708,500,500,2500,2500,89093.2,0.1527619725741886,959.1782836914062,0.032831376000103774,583
