trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
thr_tarsus,pevmean_ga_pc_ridge,0,Nesøy,0,744452614,500,500,3500,3500,156026.34,0.12335971947359288,375.17578125,0.03615496199927293,117
thr_tarsus,pevmean_ga_pc_ridge,0,Nesøy,1,154263954,500,500,3500,3500,156026.34,0.2469401229307272,376.3019104003906,0.03356846200040309,117
thr_tarsus,pevmean_ga_pc_ridge,0,Nesøy,2,1378078444,500,500,3500,3500,156026.34,0.18136748253832793,377.743896484375,0.03267256300023291,117
thr_tarsus,pevmean_ga_pc_ridge,0,Nesøy,3,1181729346,500,500,3500,3500,156026.34,0.13279082007187548,374.4226989746094,0.032539387997530866,117
thr_tarsus,pevmean_ga_pc_ridge,0,Nesøy,4,555131593,500,500,3500,3500,156026.34,0.19990779658969937,375.5614318847656,0.04903837099845987,117
thr_tarsus,pevmean_ga_pc_ridge,1,Myken,0,1714262082,500,500,3500,3500,156026.34,0.07460345803575699,383.666015625,0.05046580899943365,92
thr_tarsus,pevmean_ga_pc_ridge,1,Myken,1,2085454949,500,500,3500,3500,156026.34,0.1365718093059763,382.7250061035156,0.049636007999652065,92
thr_tarsus,pevmean_ga_pc_ridge,1,Myken,2,2060266791,500,500,3500,3500,156026.34,0.16487736338433442,379.4152526855469,0.03254500300317886,92
thr_tarsus,pevmean_ga_pc_ridge,1,Myken,3,464011987,500,500,3500,3500,156026.34,0.19935611648142063,384.1144714355469,0.03283018000001903,92
thr_tarsus,pevmean_ga_pc_ridge,1,Myken,4,131593733,500,500,3500,3500,156026.34,0.20102917364106213,384.5975646972656,0.03269489000012982,92
thr_tarsus,pevmean_ga_pc_ridge,2,Træna,0,405385771,500,500,3500,3500,156026.34,0.3049442646015505,380.3447265625,0.03391435300000012,286
thr_tarsus,pevmean_ga_pc_ridge,2,Træna,1,1256116569,500,500,3500,3500,156026.34,0.22741772535809104,383.0133972167969,0.03226011099832249,286
thr_tarsus,pevmean_ga_pc_ridge,2,Træna,2,803481440,500,500,3500,3500,156026.34,0.2314210724899354,380.5167236328125,0.03280923599959351,286
thr_tarsus,pevmean_ga_pc_ridge,2,Træna,3,1705764116,500,500,3500,3500,156026.34,0.16565405645653106,378.7279968261719,0.03278157699969597,286
thr_tarsus,pevmean_ga_pc_ridge,2,Træna,4,2026676072,500,500,3500,3500,156026.34,0.2313502358178084,379.9653625488281,0.032558410999627085,286
thr_tarsus,pevmean_ga_pc_ridge,3,Selvær,0,261820732,500,500,3500,3500,156026.34,0.1828574358278572,378.47393798828125,0.03261378900060663,194
thr_tarsus,pevmean_ga_pc_ridge,3,Selvær,1,1117512274,500,500,3500,3500,156026.34,0.2598082253131169,379.1077575683594,0.032777891003206605,194
thr_tarsus,pevmean_ga_pc_ridge,3,Selvær,2,1562338001,500,500,3500,3500,156026.34,0.17264414729442354,379.6069641113281,0.03273065800021868,194
thr_tarsus,pevmean_ga_pc_ridge,3,Selvær,3,980813718,500,500,3500,3500,156026.34,0.2968115069200932,379.5308532714844,0.03273156499926699,194
thr_tarsus,pevmean_ga_pc_ridge,3,Selvær,4,1849893988,500,500,3500,3500,156026.34,0.1787068301155893,378.6833190917969,0.03279425700020511,194
thr_tarsus,pevmean_ga_pc_ridge,4,Gjerøy,0,1623418790,500,500,3500,3500,156026.34,0.19045555066567751,376.2377014160156,0.033780932000809116,555
thr_tarsus,pevmean_ga_pc_ridge,4,Gjerøy,1,1639125088,500,500,3500,3500,156026.34,0.22727683002980295,375.2577819824219,0.03369012199982535,555
thr_tarsus,pevmean_ga_pc_ridge,4,Gjerøy,2,1056172817,500,500,3500,3500,156026.34,0.22361097429233417,376.6158752441406,0.08364849699864862,555
thr_tarsus,pevmean_ga_pc_ridge,4,Gjerøy,3,215651242,500,500,3500,3500,156026.34,0.2497804344738645,377.7461242675781,0.10068501899877447,555
thr_tarsus,pevmean_ga_pc_ridge,4,Gjerøy,4,172047015,500,500,3500,3500,156026.34,0.23646247573514984,376.2444763183594,0.1006473380002717,555
thr_tarsus,pevmean_ga_pc_ridge,5,Hestmannøy,0,713757009,500,500,3500,3500,156026.34,0.17425773290527075,379.66534423828125,0.07305300799998804,1063
thr_tarsus,pevmean_ga_pc_ridge,5,Hestmannøy,1,492972063,500,500,3500,3500,156026.34,0.22013124888514035,381.5503845214844,0.03278147099990747,1063
thr_tarsus,pevmean_ga_pc_ridge,5,Hestmannøy,2,1445232612,500,500,3500,3500,156026.34,0.2083255362594756,379.1562805175781,0.03268819799995981,1063
thr_tarsus,pevmean_ga_pc_ridge,5,Hestmannøy,3,1177755176,500,500,3500,3500,156026.34,0.18877235564849992,381.4197082519531,0.03257483500055969,1063
thr_tarsus,pevmean_ga_pc_ridge,5,Hestmannøy,4,1251151673,500,500,3500,3500,156026.34,0.20871603137772696,381.7206726074219,0.032680046002496965,1063
