trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
thr_tarsus,random_pc_ridge,0,Nesøy,0,744452614,500,500,3500,3500,156026.34,-0.17596818639443998,379.3650207519531,0.03715973500220571,117
thr_tarsus,random_pc_ridge,0,Nesøy,1,154263954,500,500,3500,3500,156026.34,-0.0796806264512632,376.9232482910156,0.11778266499823076,117
thr_tarsus,random_pc_ridge,0,Nesøy,2,1378078444,500,500,3500,3500,156026.34,0.36936466491201964,378.8474426269531,0.018354263000219362,117
thr_tarsus,random_pc_ridge,0,Nesøy,3,1181729346,500,500,3500,3500,156026.34,0.23675980483419398,376.6668701171875,0.019589167000958696,117
thr_tarsus,random_pc_ridge,0,Nesøy,4,555131593,500,500,3500,3500,156026.34,0.16274237575837125,375.45050048828125,0.01917496299938648,117
thr_tarsus,random_pc_ridge,0,Nesøy,5,19,500,500,3500,3500,156026.34,0.1423595059707212,380.2831726074219,0.01885716600008891,117
thr_tarsus,random_pc_ridge,0,Nesøy,6,20,500,500,3500,3500,156026.34,-0.013861583418247022,376.3043518066406,0.019897191999916686,117
thr_tarsus,random_pc_ridge,0,Nesøy,7,21,500,500,3500,3500,156026.34,0.06693580422949828,377.212158203125,0.01910076499916613,117
thr_tarsus,random_pc_ridge,0,Nesøy,8,22,500,500,3500,3500,156026.34,0.3844199714904024,379.0740051269531,0.019692804999067448,117
thr_tarsus,random_pc_ridge,0,Nesøy,9,23,500,500,3500,3500,156026.34,0.1911400837387697,377.3208923339844,0.019228953002311755,117
thr_tarsus,random_pc_ridge,0,Nesøy,0,744452614,1000,1000,3500,3500,156026.34,0.2129588031216286,377.6371154785156,0.06447327900241362,117
thr_tarsus,random_pc_ridge,0,Nesøy,1,154263954,1000,1000,3500,3500,156026.34,0.42553336805249176,380.0292053222656,0.07700556999770924,117
thr_tarsus,random_pc_ridge,0,Nesøy,2,1378078444,1000,1000,3500,3500,156026.34,0.16135240733565426,377.72552490234375,0.06319805000021006,117
thr_tarsus,random_pc_ridge,0,Nesøy,3,1181729346,1000,1000,3500,3500,156026.34,0.26435292728988397,379.2502136230469,0.06125911100025405,117
thr_tarsus,random_pc_ridge,0,Nesøy,4,555131593,1000,1000,3500,3500,156026.34,0.25567848483640204,377.28814697265625,0.06300127700160374,117
thr_tarsus,random_pc_ridge,0,Nesøy,5,19,1000,1000,3500,3500,156026.34,0.3295765096412229,377.678466796875,0.06109414399907109,117
thr_tarsus,random_pc_ridge,0,Nesøy,6,20,1000,1000,3500,3500,156026.34,0.18288516652994513,377.10205078125,0.06440903299881029,117
thr_tarsus,random_pc_ridge,0,Nesøy,7,21,1000,1000,3500,3500,156026.34,0.19212016089444725,378.08544921875,0.07630865600003744,117
thr_tarsus,random_pc_ridge,0,Nesøy,8,22,1000,1000,3500,3500,156026.34,0.29337770927901774,377.27069091796875,0.08543438000197057,117
thr_tarsus,random_pc_ridge,0,Nesøy,9,23,1000,1000,3500,3500,156026.34,0.25622252533489887,376.78912353515625,0.059292574998835335,117
thr_tarsus,random_pc_ridge,0,Nesøy,0,744452614,1500,1500,3500,3500,156026.34,0.27364395319289564,378.5089111328125,0.1221965699987777,117
thr_tarsus,random_pc_ridge,0,Nesøy,1,154263954,1500,1500,3500,3500,156026.34,0.11894457476270487,377.1251220703125,0.2088727789996483,117
thr_tarsus,random_pc_ridge,0,Nesøy,2,1378078444,1500,1500,3500,3500,156026.34,0.15238688296524724,378.244873046875,0.21857780200298293,117
thr_tarsus,random_pc_ridge,0,Nesøy,3,1181729346,1500,1500,3500,3500,156026.34,0.21368103174733052,378.92681884765625,0.2091631490002328,117
thr_tarsus,random_pc_ridge,0,Nesøy,4,555131593,1500,1500,3500,3500,156026.34,0.18254234201628167,378.39666748046875,0.20992607400330598,117
thr_tarsus,random_pc_ridge,0,Nesøy,5,19,1500,1500,3500,3500,156026.34,0.3453353928884408,377.0201110839844,0.21575601600125083,117
thr_tarsus,random_pc_ridge,0,Nesøy,6,20,1500,1500,3500,3500,156026.34,0.1303441667217555,377.08770751953125,0.21586903200295637,117
thr_tarsus,random_pc_ridge,0,Nesøy,7,21,1500,1500,3500,3500,156026.34,0.26127272487257835,377.243896484375,0.22181000899945502,117
thr_tarsus,random_pc_ridge,0,Nesøy,8,22,1500,1500,3500,3500,156026.34,0.035283571456080354,376.18695068359375,0.2076544669980649,117
thr_tarsus,random_pc_ridge,0,Nesøy,9,23,1500,1500,3500,3500,156026.34,0.33337179756108637,378.4791259765625,0.2083443459996488,117
thr_tarsus,random_pc_ridge,0,Nesøy,0,744452614,2000,2000,3500,3500,156026.34,0.29197862743055175,378.81719970703125,0.2462961719975283,117
thr_tarsus,random_pc_ridge,0,Nesøy,1,154263954,2000,2000,3500,3500,156026.34,0.26623876916586,378.0425720214844,0.12782678700023098,117
thr_tarsus,random_pc_ridge,0,Nesøy,2,1378078444,2000,2000,3500,3500,156026.34,0.28338224871087103,377.9490661621094,0.2084431580005912,117
thr_tarsus,random_pc_ridge,0,Nesøy,3,1181729346,2000,2000,3500,3500,156026.34,0.26921641255837375,377.1253356933594,0.13299900399943,117
