trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
thr_wing,random_pc_ridge,0,Nesøy,0,744452614,500,500,4500,4500,32010.23,0.05456198310762046,6457.6298828125,0.037935798998660175,118
thr_wing,random_pc_ridge,0,Nesøy,1,154263954,500,500,4500,4500,32010.23,0.047983027115933934,6468.509765625,0.12832194599832292,118
thr_wing,random_pc_ridge,0,Nesøy,2,1378078444,500,500,4500,4500,32010.23,0.013978992284334501,6454.51123046875,0.026678283997171093,118
thr_wing,random_pc_ridge,0,Nesøy,3,1181729346,500,500,4500,4500,32010.23,-0.2596620254406485,6459.154296875,0.032048040000518085,118
thr_wing,random_pc_ridge,0,Nesøy,4,555131593,500,500,4500,4500,32010.23,-0.0480188762146925,6460.451171875,0.0320857500009879,118
thr_wing,random_pc_ridge,0,Nesøy,5,19,500,500,4500,4500,32010.23,0.14753878388267558,6433.96044921875,0.03214978100004373,118
thr_wing,random_pc_ridge,0,Nesøy,6,20,500,500,4500,4500,32010.23,0.04815721562437163,6451.3681640625,0.03221370699975523,118
thr_wing,random_pc_ridge,0,Nesøy,7,21,500,500,4500,4500,32010.23,0.09448854121893287,6471.224609375,0.03220271000100183,118
thr_wing,random_pc_ridge,0,Nesøy,8,22,500,500,4500,4500,32010.23,0.20664641748727144,6451.76171875,0.032207118998485385,118
thr_wing,random_pc_ridge,0,Nesøy,9,23,500,500,4500,4500,32010.23,0.19580531252289998,6440.1806640625,0.03220685499763931,118
thr_wing,random_pc_ridge,0,Nesøy,0,744452614,1000,1000,4500,4500,32010.23,0.134416346893146,6442.5625,0.08218427700194297,118
thr_wing,random_pc_ridge,0,Nesøy,1,154263954,1000,1000,4500,4500,32010.23,-0.007649022508411436,6477.70654296875,0.07159028699970804,118
thr_wing,random_pc_ridge,0,Nesøy,2,1378078444,1000,1000,4500,4500,32010.23,0.15857654088276144,6443.80419921875,0.11449012999946717,118
thr_wing,random_pc_ridge,0,Nesøy,3,1181729346,1000,1000,4500,4500,32010.23,0.10047856445092833,6465.67138671875,0.1316885829983221,118
thr_wing,random_pc_ridge,0,Nesøy,4,555131593,1000,1000,4500,4500,32010.23,0.1450283316427698,6449.9921875,0.1692500380013371,118
