trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
body_mass,avggrm_topk,0,Nesøy,0,14,500,500,2500,2500,89093.2,0.2081490561925941,1067.983154296875,0.02255280001554638,119
body_mass,avggrm_topk,0,Nesøy,0,14,1000,1000,2500,2500,89093.2,0.20967082218644467,1068.3502197265625,0.0214640999911353,119
body_mass,avggrm_topk,0,Nesøy,0,14,1500,1500,2500,2500,89093.2,0.2293368956103141,1068.4534912109375,0.04370929999276996,119
body_mass,avggrm_topk,0,Nesøy,0,14,2000,2000,2500,2500,89093.2,0.24941051559403438,1069.1982421875,0.07283420002204366,119
body_mass,avggrm_topk,0,Nesøy,0,14,2500,2500,2500,2500,89093.2,0.24811934742822514,1069.9620361328125,0.13278650000574999,119
body_mass,avggrm_topk,0,Nesøy,0,14,3000,3000,2500,2500,89093.2,0.23093762840329976,1070.2991943359375,0.1483021000167355,119
body_mass,avggrm_topk,0,Nesøy,0,14,3500,3500,2500,2500,89093.2,0.2202025148301819,1069.89404296875,0.14224690000992268,119
body_mass,avggrm_topk,0,Nesøy,0,14,4000,4000,2500,2500,89093.2,0.2265923377235324,1069.4949951171875,0.16749650001293048,119
body_mass,avggrm_topk,0,Nesøy,0,14,4500,4500,2500,2500,89093.2,0.23015994463186135,1069.763427734375,0.16369119999581017,119
body_mass,pca_target_topk,0,Nesøy,0,14,500,500,2500,2500,89093.2,0.16624720820806788,1059.6387939453125,0.006990499998209998,119
body_mass,pca_target_topk,0,Nesøy,0,14,1000,1000,2500,2500,89093.2,0.23432523786200324,1066.084228515625,0.020547499996609986,119
body_mass,pca_target_topk,0,Nesøy,0,14,1500,1500,2500,2500,89093.2,0.22873554480066485,1065.0570068359375,0.04810730001190677,119
body_mass,pca_target_topk,0,Nesøy,0,14,2000,2000,2500,2500,89093.2,0.24955135309915574,1067.0296630859375,0.07122230000095442,119
body_mass,pca_target_topk,0,Nesøy,0,14,2500,2500,2500,2500,89093.2,0.26418502763845264,1069.09228515625,0.1375599000020884,119
body_mass,pca_target_topk,0,Nesøy,0,14,3000,3000,2500,2500,89093.2,0.27107927548150146,1069.437744140625,0.14534640000783838,119
body_mass,pca_target_topk,0,Nesøy,0,14,3500,3500,2500,2500,89093.2,0.21883976481614978,1069.422119140625,0.16836149999289773,119
body_mass,pca_target_topk,0,Nesøy,0,14,4000,4000,2500,2500,89093.2,0.23285716566283923,1069.6959228515625,0.18122489997767843,119
body_mass,pca_target_topk,0,Nesøy,0,14,4500,4500,2500,2500,89093.2,0.22262150153721927,1069.777587890625,0.18811699998332188,119
body_mass,avggrm_diversity_lam0p25,0,Nesøy,0,14,500,500,2500,2500,89093.2,0.22245169382034422,1067.557373046875,0.01084239999181591,119
