trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
thr_wing,avggrm_diversity_lam0p25,500,0.18766587373291357,0.13566583946296806,6366.1279296875,83.01447474946562,15,4500,32010.23,0.3332092999480665
thr_wing,avggrm_diversity_lam0p25,1000,0.1953691720753366,0.12583522342389483,6364.7025390625,84.55751436515834,15,4500,32010.23,0.7350101000629365
thr_wing,avggrm_diversity_lam0p25,1500,0.19692685824206493,0.11786926233684666,6365.17373046875,84.69917116640275,15,4500,32010.23,1.3721013000176754
thr_wing,avggrm_diversity_lam0p25,2000,0.19549008060889975,0.11800845756182507,6365.828645833333,84.51751695048084,15,4500,32010.23,2.0435855999821797
thr_wing,avggrm_diversity_lam0p25,2500,0.19108396210962583,0.1143594940729921,6366.234342447917,84.36655372093354,15,4500,32010.23,3.236199599894462
thr_wing,avggrm_diversity_lam0p25,3000,0.19194566076584518,0.10991949486524917,6365.893522135417,84.90390583215203,15,4500,32010.23,4.602378800016595
thr_wing,avggrm_diversity_lam0p25,3500,0.1949612536604678,0.10277129094087517,6366.32041015625,84.91393226144348,15,4500,32010.23,6.8384460000670515
thr_wing,avggrm_diversity_lam0p25,4000,0.1994072501738713,0.10351010148807274,6366.1767578125,84.9092126571418,15,4500,32010.23,8.66564190009376
thr_wing,avggrm_diversity_lam0p25,4500,0.2011001741662053,0.10067284554450935,6366.624934895834,85.17206233992307,15,4500,32010.23,11.087288699985947
thr_wing,avggrm_diversity_lam0p5,500,0.18834393914748915,0.13111381443927378,6364.920475260416,83.44741821833617,15,4500,32010.23,0.3315339000255335
thr_wing,avggrm_diversity_lam0p5,1000,0.19569975538237852,0.12981053436225845,6366.33779296875,84.86954317547239,15,4500,32010.23,0.7386772000172641
thr_wing,avggrm_diversity_lam0p5,1500,0.19232041392840193,0.11813357130147045,6365.908984375,85.03299801118759,15,4500,32010.23,1.4268418000719976
thr_wing,avggrm_diversity_lam0p5,2000,0.19597517723162267,0.11187479220642478,6365.606282552083,84.7818055705743,15,4500,32010.23,2.1994634000293445
thr_wing,avggrm_diversity_lam0p5,2500,0.18720443625362101,0.10942914039758825,6366.012858072917,84.53653282934602,15,4500,32010.23,3.241478600044502
thr_wing,avggrm_diversity_lam0p5,3000,0.19139357641167692,0.10776371343237305,6366.048470052084,84.53895957053784,15,4500,32010.23,4.6940437000012025
thr_wing,avggrm_diversity_lam0p5,3500,0.19507442274354728,0.10404822868265327,6365.848893229167,84.70626971280154,15,4500,32010.23,6.924422499927459
thr_wing,avggrm_diversity_lam0p5,4000,0.19902701369924317,0.10380681227227133,6365.977701822917,84.71678475393826,15,4500,32010.23,8.605962300032843
thr_wing,avggrm_diversity_lam0p5,4500,0.2040255732786204,0.10196269576875283,6366.3587890625,85.04544039464643,15,4500,32010.23,10.960829000017839
thr_wing,avggrm_diversity_lam1,500,0.19232787286401776,0.12083851174319879,6367.28037109375,82.88923771570634,15,4500,32010.23,0.30972299992572516
thr_wing,avggrm_diversity_lam1,1000,0.1902568675378858,0.12841256382133842,6365.988997395833,84.15762969491057,15,4500,32010.23,0.7356706000864506
thr_wing,avggrm_diversity_lam1,1500,0.19708497196883398,0.12042021713025074,6365.713606770833,84.7581684903528,15,4500,32010.23,1.3368046998803038
thr_wing,avggrm_diversity_lam1,2000,0.1930897768310818,0.11572728289517707,6365.520930989584,84.83628966686686,15,4500,32010.23,2.082115500001237
thr_wing,avggrm_diversity_lam1,2500,0.19330504781869406,0.10967014790100771,6365.817350260417,84.96664114922756,15,4500,32010.23,3.1676379998680204
thr_wing,avggrm_diversity_lam1,3000,0.19118184535966745,0.10550339394842954,6365.758984375,84.58501522617046,15,4500,32010.23,4.497438799997326
thr_wing,avggrm_diversity_lam1,3500,0.19405042852284576,0.10546352047490404,6365.914029947917,84.95872265192838,15,4500,32010.23,6.8668437999731395
thr_wing,avggrm_diversity_lam1,4000,0.1996805006985455,0.10586205186264286,6365.723795572917,84.9487856728232,15,4500,32010.23,8.622998499980895
thr_wing,avggrm_diversity_lam1,4500,0.20356777420057856,0.10391398882295505,6366.195540364583,84.95858268230363,15,4500,32010.23,10.966637400066247
thr_wing,avggrm_diversity_lam2,500,0.1862114586261929,0.13917285183027164,6367.947623697916,84.31295599011082,15,4500,32010.23,0.32016870006918907
thr_wing,avggrm_diversity_lam2,1000,0.1912446401370789,0.1294818228435706,6366.39052734375,83.70333084471339,15,4500,32010.23,0.7019693999609444
thr_wing,avggrm_diversity_lam2,1500,0.19251860313406077,0.12734343341330107,6366.12783203125,84.47284504935904,15,4500,32010.23,1.3171569999831263
thr_wing,avggrm_diversity_lam2,2000,0.19756033119530148,0.11707571620295118,6365.694856770833,85.16699478705922,15,4500,32010.23,1.9923695000470616
thr_wing,avggrm_diversity_lam2,2500,0.19881914934871053,0.11002199173141045,6365.551595052083,85.07444745740787,15,4500,32010.23,3.1630829000205267
thr_wing,avggrm_diversity_lam2,3000,0.19523624150027144,0.10853199053377106,6365.3212890625,85.03517290436125,15,4500,32010.23,4.501019899995299
thr_wing,avggrm_diversity_lam2,3500,0.19894533146259458,0.10431847528413384,6365.45478515625,85.07398398690113,15,4500,32010.23,6.6559514999971725
thr_wing,avggrm_diversity_lam2,4000,0.19763657304715146,0.10760667127440353,6365.74521484375,85.21826604289771,15,4500,32010.23,8.71132259996375
thr_wing,avggrm_diversity_lam2,4500,0.20509236502405603,0.10583035345263148,6366.107454427083,84.78290923314522,15,4500,32010.23,10.982773299998371
thr_wing,avggrm_topk,500,0.19223386265729273,0.12453702608389271,6365.193522135417,81.51000263586573,15,4500,32010.23,0.34100909999688156
thr_wing,avggrm_topk,1000,0.18891294530480396,0.13157093087694668,6364.741276041666,83.35395418047575,15,4500,32010.23,0.8034954999457113
thr_wing,avggrm_topk,1500,0.19229949024651635,0.12374301003438062,6365.706510416667,84.04143459116854,15,4500,32010.23,1.3639299999922514
thr_wing,avggrm_topk,2000,0.18974763484362264,0.12174346061274874,6365.174641927083,83.96713260078126,15,4500,32010.23,2.1363923999888357
thr_wing,avggrm_topk,2500,0.1932902128694171,0.11520665977197009,6365.659309895834,84.55814451784155,15,4500,32010.23,3.318622299848357
thr_wing,avggrm_topk,3000,0.19991256850664035,0.11048253977268649,6366.518196614584,85.10127448868685,15,4500,32010.23,4.519604899978731
thr_wing,avggrm_topk,3500,0.19665165341982954,0.11204648764047913,6366.39306640625,84.9645396462001,15,4500,32010.23,6.610514400032116
thr_wing,avggrm_topk,4000,0.19622466933333868,0.10412557833543803,6366.472330729167,84.9767397455169,15,4500,32010.23,8.43327160004992
thr_wing,avggrm_topk,4500,0.19789372667879154,0.09985685764279424,6366.429557291666,84.75472653038908,15,4500,32010.23,10.738068100035889
thr_wing,pca_target_topk,500,0.15416996676491249,0.09574109808117874,6361.234537760417,81.05537325736994,15,4500,32010.23,0.34070150001207367
thr_wing,pca_target_topk,1000,0.1788530021535763,0.11200872068504426,6364.399674479167,81.55431152582541,15,4500,32010.23,0.7104202000482474
thr_wing,pca_target_topk,1500,0.19022632042135862,0.09236843033463904,6364.1154296875,82.77598609697391,15,4500,32010.23,1.3233290999778546
