n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,trait,target_island,repeat,split_seed
1,166,0.2201096098927645,1.3474310636520386,shapley_mean,-1,body_mass,0,0,14
2,258,0.1924081396894966,1.3438373804092407,shapley_mean,-1,body_mass,0,0,14
3,614,0.2361868514595184,1.309539794921875,shapley_mean,-1,body_mass,0,0,14
4,772,0.2336306760499713,1.3094428777694702,shapley_mean,-1,body_mass,0,0,14
5,1850,0.2292853170437341,1.3489488363265991,shapley_mean,-1,body_mass,0,0,14
6,2538,0.2190771610506962,1.3542678356170654,shapley_mean,-1,body_mass,0,0,14
7,3121,0.2019090848363166,1.3620798587799072,shapley_mean,-1,body_mass,0,0,14
8,3518,0.2107937378804388,1.3733478784561155,shapley_mean,-1,body_mass,0,0,14
9,4102,0.2093799908381075,1.3672428131103516,shapley_mean,-1,body_mass,0,0,14
10,4275,0.2242846100075835,1.3521586656570437,shapley_mean,-1,body_mass,0,0,14
11,4567,0.2074685963212446,1.3567194938659668,shapley_mean,-1,body_mass,0,0,14
12,5125,0.2606624743190284,1.3390467166900637,shapley_mean,-1,body_mass,0,0,14
13,5319,0.2667793809878751,1.3271492719650269,shapley_mean,-1,body_mass,0,0,14
14,5578,0.2484241419459582,1.3456082344055176,shapley_mean,-1,body_mass,0,0,14
1,173,-0.0023614498334047,1.32908034324646,shapley_mean,-1,body_mass,0,1,1014
2,265,0.1134329319929619,1.3305885791778564,shapley_mean,-1,body_mass,0,1,1014
3,459,0.0980161030483555,1.3272277116775513,shapley_mean,-1,body_mass,0,1,1014
4,1537,0.164772491613386,1.3361440896987915,shapley_mean,-1,body_mass,0,1,1014
5,1703,0.1976696448170638,1.3193594217300415,shapley_mean,-1,body_mass,0,1,1014
6,2287,0.1982428907083101,1.3106404542922974,shapley_mean,-1,body_mass,0,1,1014
7,2684,0.1991940601948359,1.3224972486495972,shapley_mean,-1,body_mass,0,1,1014
8,3242,0.2437851185953182,1.3092176914215088,shapley_mean,-1,body_mass,0,1,1014
9,3930,0.2346824059337441,1.312217116355896,shapley_mean,-1,body_mass,0,1,1014
10,4513,0.2186502512024632,1.317350149154663,shapley_mean,-1,body_mass,0,1,1014
11,4869,0.2660690555666109,1.2880452871322632,shapley_mean,-1,body_mass,0,1,1014
12,5161,0.255975760939417,1.2895021438598633,shapley_mean,-1,body_mass,0,1,1014
13,5319,0.2617727465188159,1.2874243259429932,shapley_mean,-1,body_mass,0,1,1014
14,5578,0.2247335793591955,1.310402512550354,shapley_mean,-1,body_mass,0,1,1014
1,356,0.160205074589833,1.3911136388778689,shapley_mean,-1,body_mass,0,2,2014
2,522,0.2377132980704561,1.3737632036209106,shapley_mean,-1,body_mass,0,2,2014
3,1080,0.302515675179795,1.3499138355255127,shapley_mean,-1,body_mass,0,2,2014
4,2158,0.1975145025074405,1.401248335838318,shapley_mean,-1,body_mass,0,2,2014
5,2316,0.2019099728417394,1.40149986743927,shapley_mean,-1,body_mass,0,2,2014
6,3004,0.188630671310534,1.4065157175064087,shapley_mean,-1,body_mass,0,2,2014
7,3401,0.1954995273256237,1.416149020195007,shapley_mean,-1,body_mass,0,2,2014
8,3984,0.1758786710903912,1.4227133989334106,shapley_mean,-1,body_mass,0,2,2014
9,4568,0.1674926953205816,1.422922968864441,shapley_mean,-1,body_mass,0,2,2014
10,4741,0.1807331111314019,1.4107764959335327,shapley_mean,-1,body_mass,0,2,2014
11,5033,0.1788863159234811,1.4124386310577393,shapley_mean,-1,body_mass,0,2,2014
12,5227,0.185002545971728,1.402915596961975,shapley_mean,-1,body_mass,0,2,2014
13,5486,0.1617385444232243,1.421713948249817,shapley_mean,-1,body_mass,0,2,2014
14,5578,0.1786117253633831,1.4154012203216553,shapley_mean,-1,body_mass,0,2,2014
1,92,0.1136284448856854,1.327621340751648,shapley_mean,-1,body_mass,0,3,3014
2,258,0.1604666471903656,1.3023847341537476,shapley_mean,-1,body_mass,0,3,3014
3,614,0.227165338646827,1.26537024974823,shapley_mean,-1,body_mass,0,3,3014
4,787,0.2395139881150897,1.2603156566619873,shapley_mean,-1,body_mass,0,3,3014
5,1345,0.3160814924019073,1.239559292793274,shapley_mean,-1,body_mass,0,3,3014
