trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
body_mass,0,Nesøy,0,14,1,166,0.21135504293449392,1.3412612676620483,random_individual,0
body_mass,0,Nesøy,0,14,2,258,0.23707689013414718,1.3192651271820068,random_individual,0
body_mass,0,Nesøy,0,14,3,614,0.2929079964004504,1.3126459121704102,random_individual,0
body_mass,0,Nesøy,0,14,4,772,0.26088349885818685,1.3385238647460938,random_individual,0
body_mass,0,Nesøy,0,14,5,1850,0.2164810730716419,1.3349720239639282,random_individual,0
body_mass,0,Nesøy,0,14,6,2538,0.15139166512454258,1.3461203575134277,random_individual,0
body_mass,0,Nesøy,0,14,7,3121,0.2131881000866257,1.3303476572036743,random_individual,0
body_mass,0,Nesøy,0,14,8,3518,0.1947429992957703,1.3417757749557495,random_individual,0
body_mass,0,Nesøy,0,14,9,4102,0.193374341624666,1.3410192728042603,random_individual,0
body_mass,0,Nesøy,0,14,10,4275,0.20645133482517167,1.3354992866516113,random_individual,0
body_mass,0,Nesøy,0,14,11,4567,0.22020895207357857,1.3295834064483643,random_individual,0
body_mass,0,Nesøy,0,14,12,5125,0.2522364462953795,1.3289819955825806,random_individual,0
body_mass,0,Nesøy,0,14,13,5319,0.23815429853964803,1.332466959953308,random_individual,0
body_mass,0,Nesøy,0,14,14,5578,0.2484241419459582,1.3456082344055176,random_individual,0
body_mass,0,Nesøy,0,14,1,166,-0.1617486544828182,1.3887323141098022,random_individual,1
body_mass,0,Nesøy,0,14,2,258,-0.20955444668553203,1.3792258501052856,random_individual,1
body_mass,0,Nesøy,0,14,3,614,-0.14273312476230726,1.3946404457092285,random_individual,1
body_mass,0,Nesøy,0,14,4,772,-0.07322448215365163,1.38418710231781,random_individual,1
body_mass,0,Nesøy,0,14,5,1850,0.045630977901195045,1.392417311668396,random_individual,1
body_mass,0,Nesøy,0,14,6,2538,0.0332218827891398,1.3836783170700073,random_individual,1
body_mass,0,Nesøy,0,14,7,3121,0.09955798589493432,1.3584532737731934,random_individual,1
body_mass,0,Nesøy,0,14,8,3518,0.10402646209114731,1.3771309852600098,random_individual,1
body_mass,0,Nesøy,0,14,9,4102,0.18126764455966138,1.366868257522583,random_individual,1
body_mass,0,Nesøy,0,14,10,4275,0.18384536198419485,1.3643447160720825,random_individual,1
body_mass,0,Nesøy,0,14,11,4567,0.222656910174154,1.359243392944336,random_individual,1
body_mass,0,Nesøy,0,14,12,5125,0.19195152481650551,1.3701173067092896,random_individual,1
body_mass,0,Nesøy,0,14,13,5319,0.1916629043984448,1.373283863067627,random_individual,1
body_mass,0,Nesøy,0,14,14,5578,0.2484241419459582,1.3456082344055176,random_individual,1
body_mass,0,Nesøy,0,14,1,166,0.06842552955500235,1.347049593925476,random_individual,2
body_mass,0,Nesøy,0,14,2,258,0.01698005279214243,1.349353551864624,random_individual,2
body_mass,0,Nesøy,0,14,3,614,0.14785077320546214,1.340181589126587,random_individual,2
body_mass,0,Nesøy,0,14,4,772,0.19679183511432488,1.3419197797775269,random_individual,2
body_mass,0,Nesøy,0,14,5,1850,0.16108187527538403,1.3247674703598022,random_individual,2
body_mass,0,Nesøy,0,14,6,2538,0.2026016276603118,1.3176653385162354,random_individual,2
body_mass,0,Nesøy,0,14,7,3121,0.17587203308963112,1.338700532913208,random_individual,2
body_mass,0,Nesøy,0,14,8,3518,0.1735134514810698,1.352076530456543,random_individual,2
body_mass,0,Nesøy,0,14,9,4102,0.18016492270804366,1.356889247894287,random_individual,2
body_mass,0,Nesøy,0,14,10,4275,0.20403389134489394,1.3376743793487549,random_individual,2
body_mass,0,Nesøy,0,14,11,4567,0.24173103579010916,1.3437427282333374,random_individual,2
body_mass,0,Nesøy,0,14,12,5125,0.26847150611706727,1.3406838178634644,random_individual,2
body_mass,0,Nesøy,0,14,13,5319,0.25745805062248034,1.3460986614227295,random_individual,2
body_mass,0,Nesøy,0,14,14,5578,0.2484241419459582,1.3456082344055176,random_individual,2
body_mass,0,Nesøy,1,1014,1,173,0.003021574625440242,1.3348743915557861,random_individual,0
body_mass,0,Nesøy,1,1014,2,265,0.05662967627382469,1.3509244918823242,random_individual,0
body_mass,0,Nesøy,1,1014,3,459,0.19100227552100046,1.3276630640029907,random_individual,0
body_mass,0,Nesøy,1,1014,4,1537,0.24805207117717218,1.2802269458770752,random_individual,0
body_mass,0,Nesøy,1,1014,5,1703,0.2653546773722523,1.2652950286865234,random_individual,0
body_mass,0,Nesøy,1,1014,6,2287,0.32422064860817024,1.2609565258026123,random_individual,0
body_mass,0,Nesøy,1,1014,7,2684,0.29404215882621243,1.2711577415466309,random_individual,0
body_mass,0,Nesøy,1,1014,8,3242,0.17281211931862586,1.317051887512207,random_individual,0
body_mass,0,Nesøy,1,1014,9,3930,0.18191071590999217,1.3104430437088013,random_individual,0
body_mass,0,Nesøy,1,1014,10,4513,0.22334353608218468,1.3060798645019531,random_individual,0
body_mass,0,Nesøy,1,1014,11,4869,0.23924871065634498,1.3019580841064453,random_individual,0
body_mass,0,Nesøy,1,1014,12,5161,0.23255357796473883,1.297035813331604,random_individual,0
body_mass,0,Nesøy,1,1014,13,5319,0.23161723162926717,1.2989708185195923,random_individual,0
body_mass,0,Nesøy,1,1014,14,5578,0.2247335793591955,1.310402512550354,random_individual,0
body_mass,0,Nesøy,1,1014,1,173,-0.13947843594115894,1.3862850666046143,random_individual,1
body_mass,0,Nesøy,1,1014,2,265,-0.029488335830584845,1.3464906215667725,random_individual,1
body_mass,0,Nesøy,1,1014,3,459,0.05349105150905807,1.3369020223617554,random_individual,1
body_mass,0,Nesøy,1,1014,4,1537,0.08753916860434696,1.3381688594818115,random_individual,1
body_mass,0,Nesøy,1,1014,5,1703,0.11439403535859394,1.3301995992660522,random_individual,1
body_mass,0,Nesøy,1,1014,6,2287,0.1912761220188309,1.3053449392318726,random_individual,1
body_mass,0,Nesøy,1,1014,7,2684,0.2240835930445577,1.2916569709777832,random_individual,1
body_mass,0,Nesøy,1,1014,8,3242,0.23998902795257346,1.2837952375411987,random_individual,1
body_mass,0,Nesøy,1,1014,9,3930,0.20402238359453045,1.3034100532531738,random_individual,1
body_mass,0,Nesøy,1,1014,10,4513,0.17568166388949644,1.3219220638275146,random_individual,1
body_mass,0,Nesøy,1,1014,11,4869,0.24308749570641602,1.2940306663513184,random_individual,1
body_mass,0,Nesøy,1,1014,12,5161,0.2419019713525526,1.3032408952713013,random_individual,1
