trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind,source_lat,source_lon,target_lat,target_lon,geo_distance_km,phi_per_ind_1e4,shapley_sign
body_mass,0,Nesøy,1,Myken,92,0.0191382608444503,0.0629246597483532,0.0002080245743961,0.0006839636929168,10,2,66.760027,12.478567,66.574584,12.646056,21.89997585625237,2.080245743961,Positive
body_mass,0,Nesøy,2,Træna,292,-0.0194734691938732,0.0652449420061847,-6.668996299271678e-05,0.0002234415822129,10,13,66.498248,12.082706,66.574584,12.646056,26.346499755857668,-0.6668996299271678,Negative
body_mass,0,Nesøy,3,Selvær,194,-0.0050524881633948,0.0341405375397452,-2.6043753419561048e-05,0.0001759821522667,10,11,66.586744,12.237925,66.574584,12.646056,18.088059525853904,-0.2604375341956105,Negative
body_mass,0,Nesøy,4,Gjerøy,558,0.0821790180046233,0.1113289215323298,0.0001472742258147,0.0001995141962944,10,4,66.615165,13.023725,66.574584,12.646056,17.281149760859467,1.472742258147,Positive
body_mass,0,Nesøy,5,Hestmannøy,1078,0.0571561724804966,0.1174592481425215,5.3020568163726025e-05,0.0001089603415051,10,7,66.536102,12.838656,66.574584,12.646056,9.534789809742941,0.5302056816372602,Positive
body_mass,0,Nesøy,6,Indre Kvarøy,356,0.0581611434559008,0.0926394115717603,0.0001633739984716,0.0002602230662128,10,3,66.484892,12.945714,66.574584,12.646056,16.600488854328603,1.633739984716,Positive
body_mass,0,Nesøy,7,Onøy og Lurøy,259,-0.1017540799745626,0.0567881186732385,-0.0003928728956546,0.0002192591454565,10,14,66.406531,12.863522,66.574584,12.646056,21.029337005170788,-3.928728956546,Negative
body_mass,0,Nesøy,8,Lovund,158,0.0041751317058629,0.0342687516178302,2.642488421432254e-05,0.0002168908330242,10,8,66.363291,12.339011,66.574584,12.646056,27.16254255064661,0.2642488421432254,Positive
body_mass,0,Nesøy,9,Sleneset,166,0.0638239013852684,0.0320872213157444,0.0003844813336461,0.0001932965139502,10,1,66.360922,12.595983,66.574584,12.646056,23.861940525088542,3.844813336461,Positive
body_mass,0,Nesøy,10,Aldra,173,0.0219418172863763,0.0348277973792633,0.000126831313794,0.000201316747857,10,5,66.408641,13.059615,66.574584,12.646056,26.017997290856243,1.26831313794,Positive
body_mass,0,Nesøy,11,Leka,583,-0.0180841616433062,0.0447482215231408,-3.101914518577398e-05,7.67550969522141e-05,10,12,65.08345,11.634547,66.574584,12.646056,172.07821192780375,-0.31019145185773983,Negative
body_mass,0,Nesøy,12,Vega,397,0.0282729573913812,0.0472106015101398,7.121651735864286e-05,0.0001189183917131,10,6,65.657315,11.910286,66.574584,12.646056,107.2382528330402,0.7121651735864285,Positive
body_mass,0,Nesøy,13,Vikna,584,-0.0029399934183043,0.02990630556948,-5.034235305315726e-06,5.1209427345000136e-05,10,10,64.905897,11.023292,66.574584,12.646056,199.79729199077198,-0.05034235305315726,Negative
body_mass,0,Nesøy,14,Lauvøya,688,0.010096031557302,0.0681994285407238,1.4674464472822768e-05,9.912707636733116e-05,10,9,63.928508,9.933058,66.574584,12.646056,320.11818234304565,0.14674464472822768,Positive
body_mass,1,Myken,0,Nesøy,119,0.0237801686402487,0.0434868795932593,0.000199833349918,0.0003654359629685,10,4,66.574584,12.646056,66.760027,12.478567,21.89997585625237,1.99833349918,Positive
