n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,trait,repeat,split_seed
1,194,0.0239672055256401,0.5597242712974548,shapley_mean,-1,0,thr_tarsus,0,14
2,346,0.2539024971135076,0.5496700406074524,shapley_mean,-1,0,thr_tarsus,0,14
3,632,0.3229787908630434,0.5409220457077026,shapley_mean,-1,0,thr_tarsus,0,14
4,980,0.3297191447857629,0.5377492308616638,shapley_mean,-1,0,thr_tarsus,0,14
5,1143,0.3304228044900148,0.5366919636726379,shapley_mean,-1,0,thr_tarsus,0,14
6,1726,0.3646068533232871,0.5336511731147766,shapley_mean,-1,0,thr_tarsus,0,14
7,2414,0.4180389886186065,0.5285230278968811,shapley_mean,-1,0,thr_tarsus,0,14
8,2969,0.3846709511875221,0.5316267609596252,shapley_mean,-1,0,thr_tarsus,0,14
9,3226,0.331016187494774,0.535402774810791,shapley_mean,-1,0,thr_tarsus,0,14
10,3622,0.3339985340395229,0.5352292060852051,shapley_mean,-1,0,thr_tarsus,0,14
11,3795,0.3286145938948818,0.5354014039039612,shapley_mean,-1,0,thr_tarsus,0,14
12,4378,0.3141947279808903,0.537045419216156,shapley_mean,-1,0,thr_tarsus,0,14
13,5441,0.3362370683707381,0.5259343385696411,shapley_mean,-1,0,thr_tarsus,0,14
14,5533,0.3500965590527218,0.5229050517082214,shapley_mean,-1,0,thr_tarsus,0,14
1,152,0.302604457361328,0.4376770555973053,shapley_mean,-1,0,thr_tarsus,1,1014
2,438,0.3168907855401527,0.4302186071872711,shapley_mean,-1,0,thr_tarsus,1,1014
3,786,0.3028622889506573,0.4287943542003631,shapley_mean,-1,0,thr_tarsus,1,1014
4,959,0.2676962908236733,0.4280378520488739,shapley_mean,-1,0,thr_tarsus,1,1014
5,1153,0.2617255378895579,0.4277103543281555,shapley_mean,-1,0,thr_tarsus,1,1014
6,1736,0.3053784772027435,0.4251952767372131,shapley_mean,-1,0,thr_tarsus,1,1014
7,2291,0.2571485995142619,0.4291737973690033,shapley_mean,-1,0,thr_tarsus,1,1014
8,2979,0.3197385478047678,0.4257614314556122,shapley_mean,-1,0,thr_tarsus,1,1014
9,3375,0.3242870445523292,0.4255399405956268,shapley_mean,-1,0,thr_tarsus,1,1014
10,3538,0.3395015226197499,0.4233790636062622,shapley_mean,-1,0,thr_tarsus,1,1014
11,4121,0.3138443438676948,0.4250567555427551,shapley_mean,-1,0,thr_tarsus,1,1014
12,5184,0.3234521659426024,0.4246201813220978,shapley_mean,-1,0,thr_tarsus,1,1014
13,5276,0.3364206317856295,0.421713262796402,shapley_mean,-1,0,thr_tarsus,1,1014
14,5533,0.3196920537136436,0.4230923950672149,shapley_mean,-1,0,thr_tarsus,1,1014
1,152,0.2971501232929481,0.5428613424301147,shapley_mean,-1,0,thr_tarsus,2,2014
2,438,0.3304045312475976,0.5352526307106018,shapley_mean,-1,0,thr_tarsus,2,2014
3,530,0.3063827807512303,0.531704843044281,shapley_mean,-1,0,thr_tarsus,2,2014
4,724,0.2853774847294493,0.5328192114830017,shapley_mean,-1,0,thr_tarsus,2,2014
5,1412,0.3142735233414975,0.5274760723114014,shapley_mean,-1,0,thr_tarsus,2,2014
6,1995,0.2656317143805361,0.5317253470420837,shapley_mean,-1,0,thr_tarsus,2,2014
7,2158,0.2834649376781234,0.5296614170074463,shapley_mean,-1,0,thr_tarsus,2,2014
8,2331,0.2687675926099529,0.5318928360939026,shapley_mean,-1,0,thr_tarsus,2,2014
9,2588,0.211401876600635,0.5368421077728271,shapley_mean,-1,0,thr_tarsus,2,2014
10,3171,0.2735750790372172,0.5309625864028931,shapley_mean,-1,0,thr_tarsus,2,2014
11,4234,0.3069429787413816,0.516998827457428,shapley_mean,-1,0,thr_tarsus,2,2014
12,4630,0.3172866747728904,0.515967845916748,shapley_mean,-1,0,thr_tarsus,2,2014
13,4978,0.3294690610540194,0.512313723564148,shapley_mean,-1,0,thr_tarsus,2,2014
14,5533,0.3605664554283179,0.5102099180221558,shapley_mean,-1,0,thr_tarsus,2,2014
1,286,0.3367700375142506,0.4795795977115631,shapley_mean,-1,0,thr_tarsus,3,3014
2,438,0.3831615601219171,0.4726158678531647,shapley_mean,-1,0,thr_tarsus,3,3014
3,1501,0.204400495313418,0.4774468839168548,shapley_mean,-1,0,thr_tarsus,3,3014
4,2189,0.2348565521621713,0.4749017357826233,shapley_mean,-1,0,thr_tarsus,3,3014
5,2772,0.2739367629580139,0.4715428948402405,shapley_mean,-1,0,thr_tarsus,3,3014
6,2935,0.2714633070685862,0.4705998301506042,shapley_mean,-1,0,thr_tarsus,3,3014
7,3490,0.2504203798129063,0.4727173149585724,shapley_mean,-1,0,thr_tarsus,3,3014
8,4073,0.2347602303559929,0.4747348725795746,shapley_mean,-1,0,thr_tarsus,3,3014
9,4267,0.2261404222543953,0.4756538271903991,shapley_mean,-1,0,thr_tarsus,3,3014
10,4663,0.2248167504319504,0.4753887355327606,shapley_mean,-1,0,thr_tarsus,3,3014
11,5011,0.2495437323542409,0.4718236625194549,shapley_mean,-1,0,thr_tarsus,3,3014
12,5184,0.2477533763825574,0.4717051386833191,shapley_mean,-1,0,thr_tarsus,3,3014
13,5441,0.2276728244124648,0.4741633534431457,shapley_mean,-1,0,thr_tarsus,3,3014
14,5533,0.2471135288777369,0.4712798595428467,shapley_mean,-1,0,thr_tarsus,3,3014
1,152,0.3135152272331015,0.5576828122138977,shapley_mean,-1,0,thr_tarsus,4,4014
2,244,0.203166430599712,0.5585994124412537,shapley_mean,-1,0,thr_tarsus,4,4014
3,438,0.1668795767073646,0.5585185289382935,shapley_mean,-1,0,thr_tarsus,4,4014
4,724,0.2643584972924457,0.5506013631820679,shapley_mean,-1,0,thr_tarsus,4,4014
5,1412,0.3018876220606292,0.5467931628227234,shapley_mean,-1,0,thr_tarsus,4,4014
6,1995,0.3569443866315206,0.5434906482696533,shapley_mean,-1,0,thr_tarsus,4,4014
7,2578,0.3117024943716506,0.5467470288276672,shapley_mean,-1,0,thr_tarsus,4,4014
8,2926,0.3346209329617078,0.5422359108924866,shapley_mean,-1,0,thr_tarsus,4,4014
9,3099,0.3197694277824128,0.542445182800293,shapley_mean,-1,0,thr_tarsus,4,4014
10,3654,0.3360011213073941,0.5428248643875122,shapley_mean,-1,0,thr_tarsus,4,4014
11,4717,0.3245818198173767,0.535416841506958,shapley_mean,-1,0,thr_tarsus,4,4014
12,4974,0.3021893314712433,0.5376943945884705,shapley_mean,-1,0,thr_tarsus,4,4014
13,5370,0.3122227245527409,0.5361112356185913,shapley_mean,-1,0,thr_tarsus,4,4014
14,5533,0.3204127991172658,0.5341532826423645,shapley_mean,-1,0,thr_tarsus,4,4014
1,92,0.0873866861353379,0.570254385471344,shapley_mean,-1,0,thr_tarsus,5,5014
2,244,0.2663506986507187,0.5585206151008606,shapley_mean,-1,0,thr_tarsus,5,5014
3,799,0.1595235215291387,0.5661622881889343,shapley_mean,-1,0,thr_tarsus,5,5014
4,1195,0.1388508317627521,0.5666000247001648,shapley_mean,-1,0,thr_tarsus,5,5014
5,1883,0.2194062718130063,0.561505138874054,shapley_mean,-1,0,thr_tarsus,5,5014
6,2231,0.269381797312471,0.5563834309577942,shapley_mean,-1,0,thr_tarsus,5,5014
7,2814,0.3114143455671121,0.5525357127189636,shapley_mean,-1,0,thr_tarsus,5,5014
8,3877,0.225063702715497,0.5510133504867554,shapley_mean,-1,0,thr_tarsus,5,5014
9,4134,0.1984462267132642,0.5539339184761047,shapley_mean,-1,0,thr_tarsus,5,5014
10,4420,0.2796477897801993,0.5441508293151855,shapley_mean,-1,0,thr_tarsus,5,5014
11,5003,0.2750457046320832,0.5457814931869507,shapley_mean,-1,0,thr_tarsus,5,5014
12,5176,0.2744873354764937,0.5461575984954834,shapley_mean,-1,0,thr_tarsus,5,5014
13,5339,0.278784106959508,0.5447582602500916,shapley_mean,-1,0,thr_tarsus,5,5014
14,5533,0.2732032620424987,0.5453448295593262,shapley_mean,-1,0,thr_tarsus,5,5014
1,152,0.3344991284216967,0.4967521131038666,shapley_mean,-1,0,thr_tarsus,6,6014
2,438,0.3658328601022189,0.4871141910552978,shapley_mean,-1,0,thr_tarsus,6,6014
3,611,0.3254937410854902,0.4872154295444488,shapley_mean,-1,0,thr_tarsus,6,6014
4,1007,0.2992086033057755,0.4902822375297546,shapley_mean,-1,0,thr_tarsus,6,6014
5,1201,0.2930620673621796,0.4892352223396301,shapley_mean,-1,0,thr_tarsus,6,6014
