trait,target_island,target_island_name,repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,v_full
thr_tarsus,0,Nesøy,0,14,1,Myken,92,-0.0599246185181335,-0.0006513545491101,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,2,Træna,286,0.1222663421359911,0.0004275046927831,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,3,Selvær,194,0.1228317382836505,0.0006331532901219,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,4,Gjerøy,555,0.0049878305834019,8.987082132255675e-06,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,5,Hestmannøy,1063,-0.1873411629683592,-0.0001762381589542,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,6,Indre Kvarøy,348,0.1094672540525415,0.0003145610748636,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,7,Onøy og Lurøy,257,-0.0088709948028724,-3.451748950534008e-05,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,8,Lovund,152,0.0701080643179667,0.0004612372652497,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,9,Sleneset,163,0.0345772922018326,0.0002121306270051,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,10,Aldra,173,-0.0178390969617435,-0.0001031161674089,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,11,Leka,583,0.0824523482666485,0.0001414276985705,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,12,Vega,396,-0.0226072639170728,-5.7089050295638383e-05,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,13,Vikna,583,-0.0653839263720059,-0.0001121508171046,0.2590409323875096
thr_tarsus,0,Nesøy,0,14,14,Lauvøya,688,0.0743171260856641,0.0001080190786128,0.2590409323875096
thr_tarsus,0,Nesøy,1,1014,1,Myken,92,-0.0386339572165018,-0.0004199343175706,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,2,Træna,286,0.1585708554232827,0.000554443550431,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,3,Selvær,194,0.0168595621380186,8.690495947432269e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,4,Gjerøy,555,0.0217058782095281,3.91096904676182e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,5,Hestmannøy,1063,-0.1175801379267977,-0.0001106116067044,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,6,Indre Kvarøy,348,0.1563569417243212,0.000449301556679,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,7,Onøy og Lurøy,257,-0.118325670061274,-0.0004604111675535,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,8,Lovund,152,0.0955768717610054,0.0006287952089539,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,9,Sleneset,163,-0.013175492458294,-8.083124207542332e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,10,Aldra,173,0.0156957383339876,9.072681117911909e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,11,Leka,583,0.040332317513553,6.91806475361115e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,12,Vega,396,-0.0002463405757611,-6.220721610128788e-07,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,13,Vikna,583,-0.0547826704320595,-9.396684465190308e-05,0.1892274361105525
thr_tarsus,0,Nesøy,1,1014,14,Lauvøya,688,0.0268735396775438,3.906037743829041e-05,0.1892274361105525
thr_tarsus,0,Nesøy,2,2014,1,Myken,92,0.0252734167320921,0.0002747110514357,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,2,Træna,286,0.1349143467734199,0.0004717284852217,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,3,Selvær,194,0.0414428961764332,0.0002136231761671,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,4,Gjerøy,555,-0.1187292649240707,-0.0002139266034667,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,5,Hestmannøy,1063,-0.0724794686246651,-6.818388393665579e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,6,Indre Kvarøy,348,-0.0633979704931139,-0.0001821780761296,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,7,Onøy og Lurøy,257,-0.0016771096773281,-6.525718588825292e-06,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,8,Lovund,152,0.1394013257672279,0.0009171139853107,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,9,Sleneset,163,0.0061779176382072,3.790133520372516e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,10,Aldra,173,0.0061005389146065,3.526323072026879e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,11,Leka,583,-0.0188815855046068,-3.2386939115963635e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,12,Vega,396,-0.0328667320072321,-8.299679799806086e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,13,Vikna,583,0.0253367144461816,4.3459201451426414e-05,0.1524926840229296
thr_tarsus,0,Nesøy,2,2014,14,Lauvøya,688,0.0818776588057778,0.0001190082250083,0.1524926840229296
thr_tarsus,0,Nesøy,3,3014,1,Myken,92,-0.0516530805097166,-0.0005614465272795,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,2,Træna,286,0.1208148363352693,0.0004224294976757,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,3,Selvær,194,0.0086238472855465,4.445282105951805e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,4,Gjerøy,555,0.0390832064062658,7.042019172300144e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,5,Hestmannøy,1063,0.2065291533513588,0.0001942889495309,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,6,Indre Kvarøy,348,0.0021200722585414,6.092161662475287e-06,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,7,Onøy og Lurøy,257,-0.075025354158642,-0.0002919274480881,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,8,Lovund,152,0.0619312679318442,0.0004074425521831,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,9,Sleneset,163,0.0161240227404884,9.892038491097178e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,10,Aldra,173,-0.0099230603858179,-5.735873055386069e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,11,Leka,583,0.0666119734544024,0.0001142572443471,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,12,Vega,396,0.0174141609083176,4.397515380888283e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,13,Vikna,583,0.0328277174636306,5.630826323092727e-05,0.5310343555151433
thr_tarsus,0,Nesøy,3,3014,14,Lauvøya,688,0.0955555924336545,0.0001388889424907,0.5310343555151433
thr_tarsus,0,Nesøy,4,4014,1,Myken,92,0.0679008035526773,0.0007380522125291,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,2,Træna,286,0.1393626845591787,0.0004872821138432,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,3,Selvær,194,0.0988871977181827,0.0005097278232896,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,4,Gjerøy,555,-0.05963782907221,-0.0001074555478778,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,5,Hestmannøy,1063,-0.1392627239260547,-0.0001310091476256,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,6,Indre Kvarøy,348,0.0173977496979238,4.999353361472356e-05,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,7,Onøy og Lurøy,257,-0.034668141319301,-0.0001348954915147,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,8,Lovund,152,0.1300204484344615,0.0008553976870688,0.3633387028701763
thr_tarsus,0,Nesøy,4,4014,9,Sleneset,163,-0.0530599729874226,-0.0003255213066713,0.3633387028701763
