permutation_index,source_island,phi_running,rank_running,source_island_name,target_island,trait,repeat,split_seed
1,1,-0.0195810234341167,11,Myken,0,thr_tarsus,0,14
1,2,0.0646316029839893,3,Træna,0,thr_tarsus,0,14
1,3,0.0259483503608044,5,Selvær,0,thr_tarsus,0,14
1,4,-0.0283116238868051,12,Gjerøy,0,thr_tarsus,0,14
1,5,-0.1761382718022354,14,Hestmannøy,0,thr_tarsus,0,14
1,6,0.2993915506070338,1,Indre Kvarøy,0,thr_tarsus,0,14
1,7,-0.0039506887230231,8,Onøy og Lurøy,0,thr_tarsus,0,14
1,8,0.0501946200742096,4,Lovund,0,thr_tarsus,0,14
1,9,0.0147612182204878,7,Sleneset,0,thr_tarsus,0,14
1,10,-0.0135055064584569,9,Aldra,0,thr_tarsus,0,14
1,11,0.1050546814663124,2,Leka,0,thr_tarsus,0,14
1,12,-0.0140516508314948,10,Vega,0,thr_tarsus,0,14
1,13,-0.0694641155806101,13,Vikna,0,thr_tarsus,0,14
1,14,0.0240617893914144,6,Lauvøya,0,thr_tarsus,0,14
2,1,-0.0215859141553523,12,Myken,0,thr_tarsus,0,14
2,2,0.0658803765958039,4,Træna,0,thr_tarsus,0,14
2,3,0.0415273481321813,5,Selvær,0,thr_tarsus,0,14
2,4,0.0071761092293604,8,Gjerøy,0,thr_tarsus,0,14
2,5,-0.1552494500049818,14,Hestmannøy,0,thr_tarsus,0,14
2,6,0.2319390558233414,1,Indre Kvarøy,0,thr_tarsus,0,14
2,7,-0.0107773859092941,9,Onøy og Lurøy,0,thr_tarsus,0,14
2,8,0.0394501802211736,6,Lovund,0,thr_tarsus,0,14
2,9,0.0119540638336451,7,Sleneset,0,thr_tarsus,0,14
2,10,-0.020986853978304,11,Aldra,0,thr_tarsus,0,14
2,11,0.069454780993151,3,Leka,0,thr_tarsus,0,14
2,12,-0.0130223259651757,10,Vega,0,thr_tarsus,0,14
2,13,-0.1545691718884348,13,Vikna,0,thr_tarsus,0,14
2,14,0.1678501194603955,2,Lauvøya,0,thr_tarsus,0,14
3,1,-0.0203588532543566,11,Myken,0,thr_tarsus,0,14
3,2,0.0676873959371473,4,Træna,0,thr_tarsus,0,14
3,3,0.035785731405139,6,Selvær,0,thr_tarsus,0,14
3,4,-0.036525353126907,12,Gjerøy,0,thr_tarsus,0,14
3,5,-0.1646974878492769,14,Hestmannøy,0,thr_tarsus,0,14
3,6,0.1757201298130382,2,Indre Kvarøy,0,thr_tarsus,0,14
3,7,-0.0095019459250471,8,Onøy og Lurøy,0,thr_tarsus,0,14
3,8,0.0410335771624554,5,Lovund,0,thr_tarsus,0,14
3,9,0.0162072387611713,7,Sleneset,0,thr_tarsus,0,14
3,10,-0.0149920408870013,10,Aldra,0,thr_tarsus,0,14
3,11,0.0763000455895363,3,Leka,0,thr_tarsus,0,14
3,12,-0.0127397590269295,9,Vega,0,thr_tarsus,0,14
3,13,-0.110657309028182,13,Vikna,0,thr_tarsus,0,14
3,14,0.2157795628167225,1,Lauvøya,0,thr_tarsus,0,14
4,1,-0.0216797128127136,12,Myken,0,thr_tarsus,0,14
4,2,0.1022771168347805,4,Træna,0,thr_tarsus,0,14
4,3,0.0317625228480674,6,Selvær,0,thr_tarsus,0,14
4,4,-0.019638259853057,11,Gjerøy,0,thr_tarsus,0,14
4,5,-0.2163369405941711,14,Hestmannøy,0,thr_tarsus,0,14
4,6,0.1475090030785786,2,Indre Kvarøy,0,thr_tarsus,0,14
4,7,-0.0057649348896125,8,Onøy og Lurøy,0,thr_tarsus,0,14
4,8,0.0375135323276815,5,Lovund,0,thr_tarsus,0,14
4,9,0.0130060436881868,7,Sleneset,0,thr_tarsus,0,14
4,10,-0.0136171799184046,10,Aldra,0,thr_tarsus,0,14
4,11,0.1379734614069038,3,Leka,0,thr_tarsus,0,14
4,12,-0.0134449885868264,9,Vega,0,thr_tarsus,0,14
4,13,-0.0883688506022994,13,Vikna,0,thr_tarsus,0,14
4,14,0.1678501194603955,1,Lauvøya,0,thr_tarsus,0,14
5,1,-0.0302114012108749,12,Myken,0,thr_tarsus,0,14
5,2,0.092888424960001,4,Træna,0,thr_tarsus,0,14
5,3,0.0358517135341806,6,Selvær,0,thr_tarsus,0,14
5,4,-0.0244864308186308,11,Gjerøy,0,thr_tarsus,0,14
5,5,-0.2058131186025089,14,Hestmannøy,0,thr_tarsus,0,14
5,6,0.1388440615407433,2,Indre Kvarøy,0,thr_tarsus,0,14
5,7,-0.0111726156154449,9,Onøy og Lurøy,0,thr_tarsus,0,14
5,8,0.09021393040732,5,Lovund,0,thr_tarsus,0,14
5,9,0.0162818960502977,7,Sleneset,0,thr_tarsus,0,14
5,10,-0.0173108208122684,10,Aldra,0,thr_tarsus,0,14
5,11,0.1213645859542301,3,Leka,0,thr_tarsus,0,14
5,12,-0.010656471790103,8,Vega,0,thr_tarsus,0,14
5,13,-0.0816508575531066,13,Vikna,0,thr_tarsus,0,14
5,14,0.1448980363436743,1,Lauvøya,0,thr_tarsus,0,14
6,1,-0.0294240004036161,12,Myken,0,thr_tarsus,0,14
6,2,0.0875950968427382,4,Træna,0,thr_tarsus,0,14
6,3,0.0576074936467552,6,Selvær,0,thr_tarsus,0,14
6,4,-0.0154049013363446,10,Gjerøy,0,thr_tarsus,0,14
6,5,-0.2310265147761611,14,Hestmannøy,0,thr_tarsus,0,14
6,6,0.1247190250665624,2,Indre Kvarøy,0,thr_tarsus,0,14
6,7,-0.0098985367351637,8,Onøy og Lurøy,0,thr_tarsus,0,14
6,8,0.070854824850129,5,Lovund,0,thr_tarsus,0,14
6,9,0.0176871781446187,7,Sleneset,0,thr_tarsus,0,14
6,10,-0.0153628174675238,9,Aldra,0,thr_tarsus,0,14
6,11,0.1158421127458682,3,Leka,0,thr_tarsus,0,14
6,12,-0.0156175634299197,11,Vega,0,thr_tarsus,0,14
6,13,-0.0712185699683912,13,Vikna,0,thr_tarsus,0,14
6,14,0.172688105207958,1,Lauvøya,0,thr_tarsus,0,14
7,1,-0.0320416918765087,12,Myken,0,thr_tarsus,0,14
7,2,0.0855478899643378,5,Træna,0,thr_tarsus,0,14
7,3,0.1074818374981985,3,Selvær,0,thr_tarsus,0,14
7,4,-0.0261084827179731,11,Gjerøy,0,thr_tarsus,0,14
7,5,-0.2195143495145509,14,Hestmannøy,0,thr_tarsus,0,14
7,6,0.1215952984947576,2,Indre Kvarøy,0,thr_tarsus,0,14
7,7,-0.0139606731335981,8,Onøy og Lurøy,0,thr_tarsus,0,14
7,8,0.064428191075417,6,Lovund,0,thr_tarsus,0,14
7,9,0.0161529614071107,7,Sleneset,0,thr_tarsus,0,14
7,10,-0.0147225165083882,9,Aldra,0,thr_tarsus,0,14
7,11,0.1046559830675013,4,Leka,0,thr_tarsus,0,14
7,12,-0.0155163988830468,10,Vega,0,thr_tarsus,0,14
7,13,-0.0714920023677528,13,Vikna,0,thr_tarsus,0,14
7,14,0.1525348858820052,1,Lauvøya,0,thr_tarsus,0,14
8,1,-0.0321649945284031,12,Myken,0,thr_tarsus,0,14
8,2,0.0793142911228533,5,Træna,0,thr_tarsus,0,14
8,3,0.1165596222323167,3,Selvær,0,thr_tarsus,0,14
8,4,-0.0079299463642367,8,Gjerøy,0,thr_tarsus,0,14
8,5,-0.2115607208343818,14,Hestmannøy,0,thr_tarsus,0,14
8,6,0.1244508848990354,2,Indre Kvarøy,0,thr_tarsus,0,14
8,7,-0.016835726858809,11,Onøy og Lurøy,0,thr_tarsus,0,14
8,8,0.0599574007501018,6,Lovund,0,thr_tarsus,0,14
8,9,0.0167136163086497,7,Sleneset,0,thr_tarsus,0,14
8,10,-0.0150324384232249,10,Aldra,0,thr_tarsus,0,14
8,11,0.0968992993430614,4,Leka,0,thr_tarsus,0,14
8,12,-0.0131137356636962,9,Vega,0,thr_tarsus,0,14
8,13,-0.0768832792433421,13,Vikna,0,thr_tarsus,0,14
8,14,0.1386666596475851,1,Lauvøya,0,thr_tarsus,0,14
9,1,-0.0352110833230821,12,Myken,0,thr_tarsus,0,14
9,2,0.0769689557484035,5,Træna,0,thr_tarsus,0,14
9,3,0.1101000049826582,4,Selvær,0,thr_tarsus,0,14
9,4,-0.0097438590972637,8,Gjerøy,0,thr_tarsus,0,14
9,5,-0.2078660240942857,14,Hestmannøy,0,thr_tarsus,0,14
9,6,0.1218295854021757,3,Indre Kvarøy,0,thr_tarsus,0,14
9,7,-0.0157374312030028,11,Onøy og Lurøy,0,thr_tarsus,0,14
9,8,0.0652779831078004,6,Lovund,0,thr_tarsus,0,14
9,9,0.0163662660138061,7,Sleneset,0,thr_tarsus,0,14
9,10,-0.0144180730071714,10,Aldra,0,thr_tarsus,0,14
9,11,0.1220209004003886,2,Leka,0,thr_tarsus,0,14
9,12,-0.0119170655732527,9,Vega,0,thr_tarsus,0,14
9,13,-0.0845671699521283,13,Vikna,0,thr_tarsus,0,14
9,14,0.1259379429824638,1,Lauvøya,0,thr_tarsus,0,14
10,1,-0.032893962855552,12,Myken,0,thr_tarsus,0,14
10,2,0.0780561285309448,5,Træna,0,thr_tarsus,0,14
10,3,0.1034018647515806,4,Selvær,0,thr_tarsus,0,14
10,4,-0.004770605429789,8,Gjerøy,0,thr_tarsus,0,14
10,5,-0.1905852941362527,14,Hestmannøy,0,thr_tarsus,0,14
10,6,0.1152470626188434,2,Indre Kvarøy,0,thr_tarsus,0,14
10,7,-0.0140441721559743,11,Onøy og Lurøy,0,thr_tarsus,0,14
10,8,0.0616667368273705,6,Lovund,0,thr_tarsus,0,14
10,9,0.0156078137378075,7,Sleneset,0,thr_tarsus,0,14
10,10,-0.0137657657528432,10,Aldra,0,thr_tarsus,0,14
10,11,0.11513927745495,3,Leka,0,thr_tarsus,0,14
10,12,-0.0121056009035679,9,Vega,0,thr_tarsus,0,14
10,13,-0.0785892119473929,13,Vikna,0,thr_tarsus,0,14
10,14,0.1166766616473847,1,Lauvøya,0,thr_tarsus,0,14
11,1,-0.0425141789403677,12,Myken,0,thr_tarsus,0,14
11,2,0.0759904493427574,5,Træna,0,thr_tarsus,0,14
11,3,0.1202545423324842,2,Selvær,0,thr_tarsus,0,14
11,4,-0.004357231967185,8,Gjerøy,0,thr_tarsus,0,14
11,5,-0.1884340845518753,14,Hestmannøy,0,thr_tarsus,0,14
11,6,0.1133467882101158,3,Indre Kvarøy,0,thr_tarsus,0,14
11,7,-0.0149884017470303,11,Onøy og Lurøy,0,thr_tarsus,0,14
11,8,0.0586279026251391,6,Lovund,0,thr_tarsus,0,14
11,9,0.0153845036025518,7,Sleneset,0,thr_tarsus,0,14
11,10,-0.0131483815081548,10,Aldra,0,thr_tarsus,0,14
11,11,0.1222654268439303,1,Leka,0,thr_tarsus,0,14
11,12,-0.0126939414311717,9,Vega,0,thr_tarsus,0,14
11,13,-0.0818649397133087,13,Vikna,0,thr_tarsus,0,14
11,14,0.1111724792896245,4,Lauvøya,0,thr_tarsus,0,14
12,1,-0.0424306086166079,12,Myken,0,thr_tarsus,0,14
12,2,0.1050516200749892,5,Træna,0,thr_tarsus,0,14
12,3,0.1130972012672428,2,Selvær,0,thr_tarsus,0,14
12,4,-0.0079155228647563,8,Gjerøy,0,thr_tarsus,0,14
12,5,-0.1864766649949079,14,Hestmannøy,0,thr_tarsus,0,14
12,6,0.1114207795277444,3,Indre Kvarøy,0,thr_tarsus,0,14
12,7,-0.0195748122341406,11,Onøy og Lurøy,0,thr_tarsus,0,14
12,8,0.0583362868757445,6,Lovund,0,thr_tarsus,0,14
12,9,0.0186396565187443,7,Sleneset,0,thr_tarsus,0,14
12,10,-0.0139705670194066,9,Aldra,0,thr_tarsus,0,14
12,11,0.1148978813169352,1,Leka,0,thr_tarsus,0,14
12,12,-0.0185408286112061,10,Vega,0,thr_tarsus,0,14
12,13,-0.0805405929406766,13,Vikna,0,thr_tarsus,0,14
12,14,0.107047104087811,4,Lauvøya,0,thr_tarsus,0,14
13,1,-0.0439164678335364,12,Myken,0,thr_tarsus,0,14
13,2,0.1296418414638007,1,Træna,0,thr_tarsus,0,14
13,3,0.1075403157777046,4,Selvær,0,thr_tarsus,0,14
13,4,-0.0081552740824681,8,Gjerøy,0,thr_tarsus,0,14
13,5,-0.1838778992897575,14,Hestmannøy,0,thr_tarsus,0,14
13,6,0.108208093696244,3,Indre Kvarøy,0,thr_tarsus,0,14
13,7,-0.018457636048595,11,Onøy og Lurøy,0,thr_tarsus,0,14
13,8,0.0583956746082389,6,Lovund,0,thr_tarsus,0,14
13,9,0.0178317128316881,7,Sleneset,0,thr_tarsus,0,14
13,10,-0.0134971909677274,9,Aldra,0,thr_tarsus,0,14
13,11,0.1087858786296312,2,Leka,0,thr_tarsus,0,14
13,12,-0.0183943320142747,10,Vega,0,thr_tarsus,0,14
13,13,-0.0877229113784592,13,Vikna,0,thr_tarsus,0,14
13,14,0.1026591269950205,5,Lauvøya,0,thr_tarsus,0,14
14,1,-0.0426000770145211,12,Myken,0,thr_tarsus,0,14
14,2,0.1248260499134494,2,Træna,0,thr_tarsus,0,14
14,3,0.1289108575512156,1,Selvær,0,thr_tarsus,0,14
14,4,-0.0047768896346762,8,Gjerøy,0,thr_tarsus,0,14
14,5,-0.1862180373288325,14,Hestmannøy,0,thr_tarsus,0,14
14,6,0.1048393449630414,4,Indre Kvarøy,0,thr_tarsus,0,14
