n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,trait,target_island,repeat,split_seed
1,397,0.1617721086584273,1.1608335971832275,shapley_mean,-1,thr_wing,0,0,14
2,548,0.0107487979667981,1.1944118738174438,shapley_mean,-1,thr_wing,0,0,14
3,834,0.140676946291105,1.1457463502883911,shapley_mean,-1,thr_wing,0,0,14
4,1415,0.1756604475250189,1.1169403791427612,shapley_mean,-1,thr_wing,0,0,14
5,2470,0.2128285972817066,1.0914539098739624,shapley_mean,-1,thr_wing,0,0,14
6,3023,0.177645383869558,1.1413462162017822,shapley_mean,-1,thr_wing,0,0,14
7,3711,0.1823205857180716,1.132410168647766,shapley_mean,-1,thr_wing,0,0,14
8,3902,0.1943104275601466,1.1151916980743408,shapley_mean,-1,thr_wing,0,0,14
9,4062,0.2133601369580965,1.1067702770233154,shapley_mean,-1,thr_wing,0,0,14
10,4645,0.2029369428892873,1.1202141046524048,shapley_mean,-1,thr_wing,0,0,14
11,4901,0.2005896181392536,1.1272728443145752,shapley_mean,-1,thr_wing,0,0,14
12,5074,0.1918156988469857,1.133255124092102,shapley_mean,-1,thr_wing,0,0,14
13,5423,0.1842209031784812,1.1431925296783447,shapley_mean,-1,thr_wing,0,0,14
14,5515,0.1671872789027457,1.1436022520065308,shapley_mean,-1,thr_wing,0,0,14
1,92,-0.1486404557956378,1.1739038228988647,shapley_mean,-1,thr_wing,0,1,1014
2,348,-0.0503829918716714,1.1685279607772827,shapley_mean,-1,thr_wing,0,1,1014
3,634,0.1180817577013824,1.1246050596237185,shapley_mean,-1,thr_wing,0,1,1014
4,1031,0.1619632352530789,1.106287121772766,shapley_mean,-1,thr_wing,0,1,1014
5,1222,0.151192645709941,1.1035943031311035,shapley_mean,-1,thr_wing,0,1,1014
6,1775,0.107362761380749,1.17527174949646,shapley_mean,-1,thr_wing,0,1,1014
7,1935,0.1251170501766004,1.1757183074951172,shapley_mean,-1,thr_wing,0,1,1014
8,2518,0.1149239840209939,1.1893733739852903,shapley_mean,-1,thr_wing,0,1,1014
9,3099,0.1550320362218631,1.1545827388763428,shapley_mean,-1,thr_wing,0,1,1014
10,4154,0.2195746094105173,1.1317167282104492,shapley_mean,-1,thr_wing,0,1,1014
11,4842,0.2324465239263541,1.1218857765197754,shapley_mean,-1,thr_wing,0,1,1014
12,5191,0.22638505904192,1.1355345249176023,shapley_mean,-1,thr_wing,0,1,1014
13,5364,0.2267124885927424,1.1369497776031494,shapley_mean,-1,thr_wing,0,1,1014
14,5515,0.2393327709826965,1.1411771774291992,shapley_mean,-1,thr_wing,0,1,1014
1,92,-0.1202229520588413,1.2555421590805054,shapley_mean,-1,thr_wing,0,2,2014
2,283,0.0613247911078014,1.2201703786849976,shapley_mean,-1,thr_wing,0,2,2014
3,456,-0.0106741530903228,1.2334272861480713,shapley_mean,-1,thr_wing,0,2,2014
4,742,0.0678573625961724,1.2146772146224976,shapley_mean,-1,thr_wing,0,2,2014
5,1139,0.1215656425094094,1.180845856666565,shapley_mean,-1,thr_wing,0,2,2014
6,1720,0.1604450053106827,1.1521097421646118,shapley_mean,-1,thr_wing,0,2,2014
7,2775,0.1988205467602669,1.1004908084869385,shapley_mean,-1,thr_wing,0,2,2014
8,3463,0.2056412227766159,1.1027336120605469,shapley_mean,-1,thr_wing,0,2,2014
9,4046,0.2003182664116114,1.111402988433838,shapley_mean,-1,thr_wing,0,2,2014
10,4302,0.1927095340379216,1.1264913082122805,shapley_mean,-1,thr_wing,0,2,2014
11,4462,0.2046650432663396,1.1234500408172607,shapley_mean,-1,thr_wing,0,2,2014
12,5015,0.2064323309161006,1.156763195991516,shapley_mean,-1,thr_wing,0,2,2014
13,5364,0.1910918846733844,1.171856164932251,shapley_mean,-1,thr_wing,0,2,2014
14,5515,0.1941355836876752,1.1792625188827517,shapley_mean,-1,thr_wing,0,2,2014
1,286,0.164270211733654,1.1636106967926023,shapley_mean,-1,thr_wing,0,3,3014
2,477,0.1329504270324862,1.1332390308380127,shapley_mean,-1,thr_wing,0,3,3014
3,1030,0.0043091686783819,1.2155883312225342,shapley_mean,-1,thr_wing,0,3,3014
4,1427,0.0451100806222957,1.1928156614303589,shapley_mean,-1,thr_wing,0,3,3014
5,1587,0.0543698139738711,1.1898934841156006,shapley_mean,-1,thr_wing,0,3,3014
6,1843,0.0444362063410152,1.1950254440307615,shapley_mean,-1,thr_wing,0,3,3014
7,1935,0.0223818114074685,1.189873218536377,shapley_mean,-1,thr_wing,0,3,3014
8,2623,0.0509547007791687,1.169686794281006,shapley_mean,-1,thr_wing,0,3,3014
9,3206,0.0315768136615073,1.1825848817825315,shapley_mean,-1,thr_wing,0,3,3014
10,3787,0.070928011364344,1.1561325788497925,shapley_mean,-1,thr_wing,0,3,3014
11,4842,0.1286673218299832,1.1588521003723145,shapley_mean,-1,thr_wing,0,3,3014
12,5191,0.1171721902717519,1.175035834312439,shapley_mean,-1,thr_wing,0,3,3014
13,5364,0.1108582300525884,1.1761586666107178,shapley_mean,-1,thr_wing,0,3,3014
14,5515,0.1195175657002963,1.1782796382904053,shapley_mean,-1,thr_wing,0,3,3014
1,151,-0.1621560333797127,1.421380639076233,shapley_mean,-1,thr_wing,0,4,4014
2,437,0.0684391012624236,1.3763033151626587,shapley_mean,-1,thr_wing,0,4,4014
3,597,0.1129637303865517,1.3733222484588623,shapley_mean,-1,thr_wing,0,4,4014
4,1285,0.1282092900771407,1.3675917387008667,shapley_mean,-1,thr_wing,0,4,4014
5,1866,0.1800713135901246,1.3336485624313354,shapley_mean,-1,thr_wing,0,4,4014
6,2449,0.1516840299138059,1.3421921730041504,shapley_mean,-1,thr_wing,0,4,4014
7,2798,0.0673413755181621,1.3875281810760498,shapley_mean,-1,thr_wing,0,4,4014
8,3853,0.2049282933343125,1.2984555959701538,shapley_mean,-1,thr_wing,0,4,4014
9,4109,0.2015006923785059,1.307410717010498,shapley_mean,-1,thr_wing,0,4,4014
10,4282,0.186704291875827,1.320165514945984,shapley_mean,-1,thr_wing,0,4,4014
11,4835,0.1717718293563857,1.3764830827713013,shapley_mean,-1,thr_wing,0,4,4014
12,5232,0.1926270662196307,1.3597259521484375,shapley_mean,-1,thr_wing,0,4,4014
13,5423,0.2104618268160613,1.3443399667739868,shapley_mean,-1,thr_wing,0,4,4014
14,5515,0.183882281619034,1.3538943529129028,shapley_mean,-1,thr_wing,0,4,4014
1,173,-0.1084654345279073,1.3381202220916748,shapley_mean,-1,thr_wing,0,5,5014
2,324,-0.121470010950025,1.3688937425613403,shapley_mean,-1,thr_wing,0,5,5014
3,484,-0.0561245032015049,1.3669874668121338,shapley_mean,-1,thr_wing,0,5,5014
4,1037,-0.0595116161391045,1.4232348203659058,shapley_mean,-1,thr_wing,0,5,5014
5,1620,-0.077152605097249,1.4436873197555542,shapley_mean,-1,thr_wing,0,5,5014
6,2201,-0.0196111272273569,1.3969085216522217,shapley_mean,-1,thr_wing,0,5,5014
7,3256,0.1203919934124736,1.3376858234405518,shapley_mean,-1,thr_wing,0,5,5014
8,3542,0.161807902716407,1.3052204847335815,shapley_mean,-1,thr_wing,0,5,5014
9,3891,0.1348811526193558,1.3273451328277588,shapley_mean,-1,thr_wing,0,5,5014
10,4288,0.1498141764411699,1.311373949050903,shapley_mean,-1,thr_wing,0,5,5014
11,4544,0.1572552349328342,1.313118577003479,shapley_mean,-1,thr_wing,0,5,5014
12,5232,0.1756910631337384,1.303638935089111,shapley_mean,-1,thr_wing,0,5,5014
13,5423,0.1856453359447761,1.2856289148330688,shapley_mean,-1,thr_wing,0,5,5014
14,5515,0.1701811652599922,1.2922320365905762,shapley_mean,-1,thr_wing,0,5,5014
1,256,-0.0068466128671077,1.346130132675171,shapley_mean,-1,thr_wing,0,6,6014
2,1311,0.1086768068374032,1.290996789932251,shapley_mean,-1,thr_wing,0,6,6014
3,1708,0.1214663046065774,1.271082639694214,shapley_mean,-1,thr_wing,0,6,6014
4,2289,0.1393050498353042,1.2422044277191162,shapley_mean,-1,thr_wing,0,6,6014
5,2449,0.1489870279508472,1.242564082145691,shapley_mean,-1,thr_wing,0,6,6014
6,3032,0.1319013717102242,1.2560460567474363,shapley_mean,-1,thr_wing,0,6,6014
7,3720,0.1383126819774707,1.2498366832733154,shapley_mean,-1,thr_wing,0,6,6014
8,4006,0.1665139960183506,1.229751706123352,shapley_mean,-1,thr_wing,0,6,6014
9,4098,0.1405049680288021,1.2395581007003784,shapley_mean,-1,thr_wing,0,6,6014
10,4651,0.1488462248983573,1.2836880683898926,shapley_mean,-1,thr_wing,0,6,6014
11,4824,0.1439448109122567,1.2903728485107422,shapley_mean,-1,thr_wing,0,6,6014
12,5173,0.1360855719145284,1.2996957302093506,shapley_mean,-1,thr_wing,0,6,6014
13,5364,0.1444420461806691,1.2879619598388672,shapley_mean,-1,thr_wing,0,6,6014
14,5515,0.1424953254938176,1.2936623096466064,shapley_mean,-1,thr_wing,0,6,6014
1,92,-0.1782778405986392,1.2109369039535522,shapley_mean,-1,thr_wing,0,7,7014
2,378,0.0827951956717889,1.1454806327819824,shapley_mean,-1,thr_wing,0,7,7014
3,538,0.099894625167737,1.1462011337280271,shapley_mean,-1,thr_wing,0,7,7014
4,1121,0.0397527736474307,1.1576826572418213,shapley_mean,-1,thr_wing,0,7,7014
5,1312,0.067565372863955,1.1412341594696045,shapley_mean,-1,thr_wing,0,7,7014
6,2000,0.0890058211331719,1.139855146408081,shapley_mean,-1,thr_wing,0,7,7014
7,2553,0.043354359109781,1.1828495264053345,shapley_mean,-1,thr_wing,0,7,7014
8,3608,0.165378506616641,1.1392629146575928,shapley_mean,-1,thr_wing,0,7,7014
9,4005,0.1847347355089463,1.1273196935653689,shapley_mean,-1,thr_wing,0,7,7014
10,4261,0.1768313300660799,1.129435658454895,shapley_mean,-1,thr_wing,0,7,7014
11,4842,0.2094181838027627,1.102620005607605,shapley_mean,-1,thr_wing,0,7,7014
12,5191,0.1976689397716798,1.1183228492736816,shapley_mean,-1,thr_wing,0,7,7014
13,5342,0.1990555363250812,1.120643973350525,shapley_mean,-1,thr_wing,0,7,7014
14,5515,0.1896508732160208,1.1243406534194946,shapley_mean,-1,thr_wing,0,7,7014
1,160,0.0413399232771651,1.151411533355713,shapley_mean,-1,thr_wing,0,8,8014
2,252,-0.0644798419673837,1.1647292375564575,shapley_mean,-1,thr_wing,0,8,8014
3,649,0.0896451480753476,1.1309421062469482,shapley_mean,-1,thr_wing,0,8,8014
4,998,-0.0418165026433851,1.159909725189209,shapley_mean,-1,thr_wing,0,8,8014
5,1579,0.0782331907440166,1.1164631843566897,shapley_mean,-1,thr_wing,0,8,8014
6,2162,0.061526715577104,1.1181716918945312,shapley_mean,-1,thr_wing,0,8,8014
7,2448,0.1933935965791559,1.0920958518981934,shapley_mean,-1,thr_wing,0,8,8014
8,2639,0.2132386001696639,1.0771136283874512,shapley_mean,-1,thr_wing,0,8,8014
9,3192,0.182574359963286,1.121365308761597,shapley_mean,-1,thr_wing,0,8,8014
10,4247,0.2701387634349817,1.0582332611083984,shapley_mean,-1,thr_wing,0,8,8014
11,4398,0.2585372037301753,1.0681531429290771,shapley_mean,-1,thr_wing,0,8,8014
