trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
thr_wing,0,Nesøy,0,14,1,397,0.18698241716519126,1.1141935586929321,random_individual,0
thr_wing,0,Nesøy,0,14,2,548,0.1833993522366264,1.1160579919815063,random_individual,0
thr_wing,0,Nesøy,0,14,3,834,0.15935640360024805,1.1270431280136108,random_individual,0
thr_wing,0,Nesøy,0,14,4,1415,0.1305957159121303,1.121285319328308,random_individual,0
thr_wing,0,Nesøy,0,14,5,2470,0.17845966128432775,1.1068894863128662,random_individual,0
thr_wing,0,Nesøy,0,14,6,3023,0.24333199869754205,1.0947493314743042,random_individual,0
thr_wing,0,Nesøy,0,14,7,3711,0.24120745300593333,1.0850696563720703,random_individual,0
thr_wing,0,Nesøy,0,14,8,3902,0.22423385136336166,1.0918421745300293,random_individual,0
thr_wing,0,Nesøy,0,14,9,4062,0.21763608860802666,1.09526526927948,random_individual,0
thr_wing,0,Nesøy,0,14,10,4645,0.19203670177105484,1.1248224973678589,random_individual,0
thr_wing,0,Nesøy,0,14,11,4901,0.1912482233942402,1.1256020069122314,random_individual,0
thr_wing,0,Nesøy,0,14,12,5074,0.18404174106213347,1.11943519115448,random_individual,0
thr_wing,0,Nesøy,0,14,13,5423,0.18051086847378672,1.1276841163635254,random_individual,0
thr_wing,0,Nesøy,0,14,14,5515,0.1671872789027457,1.1436022520065308,random_individual,0
thr_wing,0,Nesøy,0,14,1,397,-0.04392475206837231,1.2267364263534546,random_individual,1
thr_wing,0,Nesøy,0,14,2,548,-0.009978235204073886,1.2207581996917725,random_individual,1
thr_wing,0,Nesøy,0,14,3,834,-0.006235057971445627,1.2006586790084839,random_individual,1
thr_wing,0,Nesøy,0,14,4,1415,-0.030303513130147904,1.2740792036056519,random_individual,1
thr_wing,0,Nesøy,0,14,5,2470,0.025590483031097108,1.2245863676071167,random_individual,1
thr_wing,0,Nesøy,0,14,6,3023,0.05996789096549725,1.2268192768096924,random_individual,1
thr_wing,0,Nesøy,0,14,7,3711,0.08443735556139255,1.2066763639450073,random_individual,1
thr_wing,0,Nesøy,0,14,8,3902,0.07494708413248821,1.217682123184204,random_individual,1
thr_wing,0,Nesøy,0,14,9,4062,0.06982402360535434,1.2199628353118896,random_individual,1
thr_wing,0,Nesøy,0,14,10,4645,0.11046341427212247,1.1768734455108643,random_individual,1
thr_wing,0,Nesøy,0,14,11,4901,0.14391561822275523,1.162949800491333,random_individual,1
thr_wing,0,Nesøy,0,14,12,5074,0.1451576781273853,1.1595855951309204,random_individual,1
thr_wing,0,Nesøy,0,14,13,5423,0.16765421308658546,1.140199899673462,random_individual,1
thr_wing,0,Nesøy,0,14,14,5515,0.1671872789027457,1.1436022520065308,random_individual,1
thr_wing,0,Nesøy,0,14,1,397,0.01652010802281225,1.159857988357544,random_individual,2
thr_wing,0,Nesøy,0,14,2,548,0.03173774832719521,1.1680890321731567,random_individual,2
thr_wing,0,Nesøy,0,14,3,834,-0.040519747135159226,1.1876928806304932,random_individual,2
thr_wing,0,Nesøy,0,14,4,1415,0.024136863084903485,1.1778321266174316,random_individual,2
thr_wing,0,Nesøy,0,14,5,2470,0.11053156822310439,1.1749149560928345,random_individual,2
thr_wing,0,Nesøy,0,14,6,3023,0.09157703380051074,1.189368486404419,random_individual,2
thr_wing,0,Nesøy,0,14,7,3711,0.1380534858099318,1.1763525009155273,random_individual,2
thr_wing,0,Nesøy,0,14,8,3902,0.14223407480642203,1.1792658567428589,random_individual,2
thr_wing,0,Nesøy,0,14,9,4062,0.1416693653804124,1.1681560277938843,random_individual,2
thr_wing,0,Nesøy,0,14,10,4645,0.17182767909578342,1.1414740085601807,random_individual,2
thr_wing,0,Nesøy,0,14,11,4901,0.1674046181933121,1.1450080871582031,random_individual,2
thr_wing,0,Nesøy,0,14,12,5074,0.16936215638501892,1.1416562795639038,random_individual,2
thr_wing,0,Nesøy,0,14,13,5423,0.1537458741863137,1.1503773927688599,random_individual,2
thr_wing,0,Nesøy,0,14,14,5515,0.1671872789027457,1.1436022520065308,random_individual,2
thr_wing,0,Nesøy,1,1014,1,92,-0.034909287821539084,1.1847394704818726,random_individual,0
thr_wing,0,Nesøy,1,1014,2,348,-0.03268860989088999,1.1872745752334595,random_individual,0
thr_wing,0,Nesøy,1,1014,3,634,0.05577807376154782,1.1481108665466309,random_individual,0
thr_wing,0,Nesøy,1,1014,4,1031,0.21864345538033192,1.1016838550567627,random_individual,0
thr_wing,0,Nesøy,1,1014,5,1222,0.22689223806991102,1.1084420680999756,random_individual,0
thr_wing,0,Nesøy,1,1014,6,1775,0.29573060212082475,1.0876799821853638,random_individual,0
thr_wing,0,Nesøy,1,1014,7,1935,0.2865717025587372,1.1188768148422241,random_individual,0
thr_wing,0,Nesøy,1,1014,8,2518,0.2350419322200925,1.1722902059555054,random_individual,0
thr_wing,0,Nesøy,1,1014,9,3099,0.24824741033259184,1.1728459596633911,random_individual,0
thr_wing,0,Nesøy,1,1014,10,4154,0.2561837883943947,1.1475383043289185,random_individual,0
thr_wing,0,Nesøy,1,1014,11,4842,0.23136342726521214,1.156001329421997,random_individual,0
thr_wing,0,Nesøy,1,1014,12,5191,0.21442223755091258,1.1583011150360107,random_individual,0
thr_wing,0,Nesøy,1,1014,13,5364,0.23002678484170547,1.14509117603302,random_individual,0
thr_wing,0,Nesøy,1,1014,14,5515,0.2393327709826965,1.1411771774291992,random_individual,0
thr_wing,0,Nesøy,1,1014,1,92,-0.1968843047686258,1.2246500253677368,random_individual,1
thr_wing,0,Nesøy,1,1014,2,348,-0.06065316348393464,1.1685588359832764,random_individual,1
thr_wing,0,Nesøy,1,1014,3,634,-0.0592083159329158,1.1606512069702148,random_individual,1
thr_wing,0,Nesøy,1,1014,4,1031,0.03248060463357524,1.1754556894302368,random_individual,1
thr_wing,0,Nesøy,1,1014,5,1222,0.05046456861572712,1.1704163551330566,random_individual,1
thr_wing,0,Nesøy,1,1014,6,1775,0.049040385275747715,1.202968955039978,random_individual,1
thr_wing,0,Nesøy,1,1014,7,1935,0.026045264387141977,1.2224340438842773,random_individual,1
thr_wing,0,Nesøy,1,1014,8,2518,0.08547668681910582,1.1850972175598145,random_individual,1
thr_wing,0,Nesøy,1,1014,9,3099,0.09938996286398347,1.201940894126892,random_individual,1
thr_wing,0,Nesøy,1,1014,10,4154,0.21351624548393444,1.1425443887710571,random_individual,1
thr_wing,0,Nesøy,1,1014,11,4842,0.25779806568205865,1.1299445629119873,random_individual,1
thr_wing,0,Nesøy,1,1014,12,5191,0.2539021799272619,1.1209986209869385,random_individual,1
thr_wing,0,Nesøy,1,1014,13,5364,0.2393413912225005,1.128421664237976,random_individual,1
thr_wing,0,Nesøy,1,1014,14,5515,0.2393327709826965,1.1411771774291992,random_individual,1
thr_wing,0,Nesøy,1,1014,1,92,0.026859412870599002,1.1583948135375977,random_individual,2
thr_wing,0,Nesøy,1,1014,2,348,0.15599376826939765,1.1016745567321777,random_individual,2
thr_wing,0,Nesøy,1,1014,3,634,0.18786626837952025,1.1043726205825806,random_individual,2
thr_wing,0,Nesøy,1,1014,4,1031,0.1947366922560364,1.0824228525161743,random_individual,2
thr_wing,0,Nesøy,1,1014,5,1222,0.24325032528342863,1.0513145923614502,random_individual,2
thr_wing,0,Nesøy,1,1014,6,1775,0.19534184550988962,1.0923997163772583,random_individual,2
thr_wing,0,Nesøy,1,1014,7,1935,0.17581617770607763,1.098449468612671,random_individual,2
thr_wing,0,Nesøy,1,1014,8,2518,0.20614239668093343,1.093191385269165,random_individual,2
thr_wing,0,Nesøy,1,1014,9,3099,0.18185219805180045,1.127496600151062,random_individual,2
thr_wing,0,Nesøy,1,1014,10,4154,0.14885832262012505,1.169090986251831,random_individual,2
thr_wing,0,Nesøy,1,1014,11,4842,0.19568992868727494,1.1633111238479614,random_individual,2
thr_wing,0,Nesøy,1,1014,12,5191,0.22902827560037206,1.1392830610275269,random_individual,2
thr_wing,0,Nesøy,1,1014,13,5364,0.22472123474055278,1.145033359527588,random_individual,2
thr_wing,0,Nesøy,1,1014,14,5515,0.2393327709826965,1.1411771774291992,random_individual,2
thr_wing,0,Nesøy,2,2014,1,92,0.07351418447215839,1.2464871406555176,random_individual,0
thr_wing,0,Nesøy,2,2014,2,283,0.2191655603986899,1.1933493614196777,random_individual,0
thr_wing,0,Nesøy,2,2014,3,456,0.25187370820784233,1.1759681701660156,random_individual,0
thr_wing,0,Nesøy,2,2014,4,742,0.22925512573657023,1.1890350580215454,random_individual,0
thr_wing,0,Nesøy,2,2014,5,1139,0.1934750506991225,1.1752331256866455,random_individual,0
