trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,0,Nesøy,1,Myken,92,0.002939474023027,0.0627278354259076,3.195080459811985e-05,0.0006818242981076,10,11
thr_wing,0,Nesøy,2,Træna,286,0.0644528212529352,0.0596720001550904,0.0002253595148704,0.0002086433571856,10,1
thr_wing,0,Nesøy,3,Selvær,191,0.0131394013997842,0.0515322124688333,6.879267748578157e-05,0.0002698021595226,10,6
thr_wing,0,Nesøy,4,Gjerøy,553,0.0273612540426904,0.0851873413818052,4.9477855411736766e-05,0.0001540458252835,10,8
thr_wing,0,Nesøy,5,Hestmannøy,1055,0.0425368945514481,0.1088050502057071,4.031933132838684e-05,0.0001031327490101,10,9
thr_wing,0,Nesøy,6,Indre Kvarøy,349,-0.038513783308586,0.0422724089695303,-0.0001103546799672,0.0001211243810015,10,12
thr_wing,0,Nesøy,7,Onøy og Lurøy,256,0.0186423566651666,0.0441531007427039,7.282170572330737e-05,0.0001724730497761,10,4
thr_wing,0,Nesøy,8,Lovund,151,-0.0310406204239786,0.0641484071337968,-0.0002055670226753,0.0004248238883032,10,14
thr_wing,0,Nesøy,9,Sleneset,160,0.0259355526354573,0.0269729946813877,0.0001620972039716,0.0001685812167586,10,2
thr_wing,0,Nesøy,10,Aldra,173,-0.0207821690022569,0.0585918149599392,-0.0001201281445217,0.0003386810113291,10,13
thr_wing,0,Nesøy,11,Leka,581,0.0364083570003405,0.039883551558038,6.266498623122305e-05,6.864638822381768e-05,10,7
thr_wing,0,Nesøy,12,Vega,397,0.0313553547917229,0.0480695970443368,7.898074254842064e-05,0.000121082108424,10,3
thr_wing,0,Nesøy,13,Vikna,583,0.0406325956418913,0.0358827423380341,6.969570436001938e-05,6.154844311841189e-05,10,5
thr_wing,0,Nesøy,14,Lauvøya,688,0.0255208704010043,0.053474245515853,3.709428837355277e-05,7.772419406373985e-05,10,10
thr_wing,1,Myken,0,Nesøy,118,-0.0026257075288403,0.075531431312613,-2.2251758718985592e-05,0.0006400968755306,10,12
thr_wing,1,Myken,2,Træna,286,0.1049752149277065,0.0762620596999161,0.0003670462060409,0.0002666505583913,10,2
thr_wing,1,Myken,3,Selvær,191,0.0904694076501431,0.1419429030974428,0.0004736618201578,0.0007431565607195,10,1
thr_wing,1,Myken,4,Gjerøy,553,-0.0639860652657763,0.0673477183945174,-0.0001157071704625,0.0001217861092125,10,13
thr_wing,1,Myken,5,Hestmannøy,1055,0.0198415120371368,0.062279773028114,1.880712041434772e-05,5.903296021622183e-05,10,9
thr_wing,1,Myken,6,Indre Kvarøy,349,-0.0035942080187527,0.0663335473820689,-1.029859031161259e-05,0.0001900674710087,10,10
thr_wing,1,Myken,7,Onøy og Lurøy,256,0.0508266809744946,0.0671831096823228,0.0001985417225566,0.0002624340221965,10,3
thr_wing,1,Myken,8,Lovund,151,0.00738398666254,0.0522066835929613,4.890057392410649e-05,0.0003457396264434,10,7
thr_wing,1,Myken,9,Sleneset,160,0.0102642339644644,0.0425983891177502,6.415146227790292e-05,0.0002662399319859,10,6
thr_wing,1,Myken,10,Aldra,173,-0.0386148516861866,0.0377142205371284,-0.0002232072351802,0.000218001274781,10,14
thr_wing,1,Myken,11,Leka,581,-0.0063458798937871,0.0515353941223479,-1.0922340608927994e-05,8.87011947028364e-05,10,11
thr_wing,1,Myken,12,Vega,397,0.0328872938035608,0.03960895111763,8.283953099133704e-05,9.97706577270279e-05,10,4
thr_wing,1,Myken,13,Vikna,583,0.0450172883817781,0.0480572833093933,7.721661815056292e-05,8.243101768335059e-05,10,5
thr_wing,1,Myken,14,Lauvøya,688,0.0149685344607342,0.0564773715926153,2.1756590785950884e-05,8.208920289624319e-05,10,8
thr_wing,2,Træna,0,Nesøy,118,0.0335990276875292,0.0351086979439404,0.0002847375227756,0.0002975313385079,10,3
thr_wing,2,Træna,1,Myken,92,0.0205520954448535,0.041715520559991,0.0002233923417918,0.0004534295713042,10,4
thr_wing,2,Træna,3,Selvær,191,0.1871610326955007,0.0462914372915975,0.0009799006947408,0.0002423635460293,10,1
thr_wing,2,Træna,4,Gjerøy,553,-0.0717396820644918,0.0523354334177596,-0.0001297281773318,9.463912010444784e-05,10,14
thr_wing,2,Træna,5,Hestmannøy,1055,-0.0127273609667389,0.0860825411630302,-1.2063849257572448e-05,8.15948257469481e-05,10,11
thr_wing,2,Træna,6,Indre Kvarøy,349,0.0075564653540872,0.0454081613345687,2.165176319222705e-05,0.0001301093447981,10,9
thr_wing,2,Træna,7,Onøy og Lurøy,256,0.0401616498722723,0.0713103226978779,0.0001568814448135,0.0002785559480385,10,5
thr_wing,2,Træna,8,Lovund,151,0.0126618690964268,0.039830589608981,8.38534377246814e-05,0.0002637787391323,10,6
thr_wing,2,Træna,9,Sleneset,160,0.0861620955576973,0.0546413913128438,0.0005385130972356,0.0003415086957052,10,2
thr_wing,2,Træna,10,Aldra,173,-0.0124325147595994,0.0418409524705589,-7.186424716531454e-05,0.0002418552165928,10,13
thr_wing,2,Træna,11,Leka,581,0.0158884699038982,0.0361989487836823,2.7346764034248305e-05,6.230455900805921e-05,10,8
thr_wing,2,Træna,12,Vega,397,0.0056510041151314,0.0484976026463135,1.4234267292522444e-05,0.0001221602081771,10,10
thr_wing,2,Træna,13,Vikna,583,0.0179676168553916,0.0462510883361483,3.081923988917943e-05,7.933291309802463e-05,10,7
thr_wing,2,Træna,14,Lauvøya,688,-0.0095691635505684,0.0624838420734943,-1.3908667951407648e-05,9.08195378975209e-05,10,12
thr_wing,3,Selvær,0,Nesøy,118,0.0317911922520471,0.0297920541431932,0.0002694168834919,0.0002524750351118,10,3
thr_wing,3,Selvær,1,Myken,92,0.0004775016640283,0.0678030163386395,5.190235478568536e-06,0.0007369893080286,10,11
thr_wing,3,Selvær,2,Træna,286,0.1819646977900464,0.1412453565871325,0.000636240202063,0.0004938648831717,10,1
thr_wing,3,Selvær,4,Gjerøy,553,0.0057896263000114,0.046238854078919,1.0469486980129286e-05,8.361456433800917e-05,10,9
thr_wing,3,Selvær,5,Hestmannøy,1055,0.1262374406696116,0.0837215772135676,0.0001196563418669,7.93569452261305e-05,10,5
thr_wing,3,Selvær,6,Indre Kvarøy,349,0.0198484112756188,0.0827141425680916,5.687223861208848e-05,0.000237003273834,10,7
thr_wing,3,Selvær,7,Onøy og Lurøy,256,-0.0187913160946047,0.0828220986953301,-7.340357849454963e-05,0.0003235238230286,10,13
thr_wing,3,Selvær,8,Lovund,151,0.052026378363103,0.0323228289252724,0.0003445455520735,0.0002140584697037,10,2
thr_wing,3,Selvær,9,Sleneset,160,0.0380201358708343,0.0489220879842138,0.0002376258491927,0.0003057630499013,10,4
thr_wing,3,Selvær,10,Aldra,173,0.0041102731105441,0.027514892872102,2.3758804107191865e-05,0.0001590456235381,10,8
thr_wing,3,Selvær,11,Leka,581,0.0427148945932887,0.0454011290960526,7.351961203664158e-05,7.814307933916123e-05,10,6
thr_wing,3,Selvær,12,Vega,397,-0.0645063751267505,0.0576418187350742,-0.0001624845721076,0.0001451934980732,10,14
thr_wing,3,Selvær,13,Vikna,583,0.0044006193909197,0.0406529033893094,7.548232231423191e-06,6.973053754598527e-05,10,10
thr_wing,3,Selvær,14,Lauvøya,688,-0.0316774025688416,0.0392657204113577,-4.604273629192102e-05,5.707226803976414e-05,10,12
thr_wing,4,Gjerøy,0,Nesøy,118,0.0083163861891734,0.0678259830686016,7.047784906079157e-05,0.000574796466683,10,5
thr_wing,4,Gjerøy,1,Myken,92,0.0253178510571086,0.0523277688302528,0.0002751940332294,0.000568780095981,10,1
thr_wing,4,Gjerøy,2,Træna,286,0.0041231263198948,0.0875453250740003,1.4416525594037852e-05,0.0003061025352237,10,9
thr_wing,4,Gjerøy,3,Selvær,191,-0.0066710565699647,0.0694658057691578,-3.492699774850659e-05,0.0003636953181631,10,10
thr_wing,4,Gjerøy,5,Hestmannøy,1055,0.0883217096519247,0.1124477630270355,8.371726033357794e-05,0.0001065855573715,10,4
thr_wing,4,Gjerøy,6,Indre Kvarøy,349,0.0709045095019717,0.0925017384481049,0.0002031647836732,0.0002650479611693,10,2
thr_wing,4,Gjerøy,7,Onøy og Lurøy,256,0.0149278961831396,0.0748985166704956,5.831209446538936e-05,0.0002925723307441,10,6
thr_wing,4,Gjerøy,8,Lovund,151,0.0269111169542811,0.0371213675595311,0.000178219317578,0.0002458368712551,10,3
thr_wing,4,Gjerøy,9,Sleneset,160,-0.0141136306215605,0.0600765634616094,-8.821019138475347e-05,0.000375478521635,10,14
thr_wing,4,Gjerøy,10,Aldra,173,0.0031544573698636,0.0548575759568478,1.823385762926977e-05,0.0003170958147794,10,8
thr_wing,4,Gjerøy,11,Leka,581,0.0326398765123612,0.0492469523397038,5.6178789177902365e-05,8.476239645387922e-05,10,7
thr_wing,4,Gjerøy,12,Vega,397,-0.0231028424067588,0.050540935707389,-5.819355769964454e-05,0.0001273071428397,10,11
thr_wing,4,Gjerøy,13,Vikna,583,-0.0345275254256585,0.0541677901318014,-5.9223885807304594e-05,9.2912161461066e-05,10,12
