trait,trait_label,fold,test_island_code,test_island,test_size,n_train,pearson_r,mean_inner_r,outer_minus_inner_r,alpha,log10_alpha,n_pcs,num_snps,weighting_method,weighting_label,clip_max,prob_clip,n_components,n_components_used,logistic_c,rho,pca_fit,effective_sample_size,pre_shrink_effective_sample_size,ess_ratio,pre_shrink_ess_ratio,inner_validation_top_k_requested,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,source_file
body_mass,Body mass,1,0,Nesøy,119,5578,0.2255398816872154,0.21584702075332501,0.00969286093389038,130349.87513185048,5.1151106194738585,5000,5000,pc_logistic,PC logistic,2.5,0.0005885498309166748,80,80,5.778120670702597,0.3,combined,4579.488404624467,857.7502794214214,0.8209911087530418,0.15377380412718203,10,10,3326,0.006709758384866434,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,2,1,Myken,92,5605,0.34243354307439344,0.2024926827289412,0.13994086034545225,155358.01976288707,5.191333676959322,2500,2500,pc_logistic,PC logistic,4.0,0.006288493703925092,40,40,3.3593295600992064,0.5,combined,4057.9925533137166,2208.413607894204,0.7239951031781832,0.39400778017737803,10,10,3353,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,3,2,Træna,292,5405,0.16642043155355246,0.2157379787167554,-0.04931754716320294,190233.868109701,5.279287838698925,2000,2000,pc_logistic,PC logistic,1.5,0.0018515251405050099,40,40,9.755277994574085,0.7,combined,3993.7366916531296,1654.1697233292125,0.7388967052087196,0.306044352142315,10,10,3377,0.01955742013566733,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,4,3,Selvær,194,5503,0.20411379880912636,0.21144450193012232,-0.007330703120995957,155796.8731303772,5.192558737060229,2000,2000,pc_logistic,PC logistic,1.5,0.023858594392419226,20,20,5.738938818209866,0.85,combined,5192.316956368896,4157.07781879722,0.9435429686296377,0.7554202832631692,10,10,3475,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,5,4,Gjerøy,558,5139,0.10593674894023974,0.2217747119871622,-0.11583796304692245,153147.19753546143,5.185109053992603,2500,2500,uniform,Uniform,,,0,0,,,,5139.0,,1.0,,10,10,2887,0.004662839239021407,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,6,5,Hestmannøy,1078,4619,0.13015868444242532,0.20147245930115232,-0.071313774858727,31330.575421778933,4.495968371268825,1000,1000,pc_logistic,PC logistic,2.5,0.002413652850452136,60,60,9.546984241932531,0.7,combined,2511.5888689818767,648.7885597324955,0.5437516494873083,0.1404608269609213,10,10,2367,0.004662839239021405,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,7,6,Indre Kvarøy,356,5341,0.2659684487101938,0.2055410540899099,0.0604273946202839,132662.9303954414,5.122749586212124,2500,2500,pc_logistic,PC logistic,2.5,0.02711026591338211,20,20,0.0021071490897959706,0.5,combined,4635.46629559784,2686.5242243918897,0.8679023208383898,0.5030002292439412,10,10,3089,0.004430847037161113,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,8,7,Onøy og Lurøy,259,5438,-0.01131893472189206,0.26386245985314344,-0.2751813945750355,78067.43878761436,4.892469931399372,2500,2500,pc_logistic,PC logistic,7.0,0.030738415823054244,60,60,1.0192231669382596e-05,0.7,combined,4991.663686787353,4598.800208873301,0.9179227081256626,0.8456785967034389,10,10,3186,0.009088772220621457,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,9,8,Lovund,158,5539,0.38257974890890206,0.18387938865325335,0.19870036025564872,197217.47452262236,5.294945393123052,2500,2500,pc_logistic,PC logistic,1.5,0.01570304491695813,40,40,0.008108977189452549,1.0,combined,4133.668181022556,4133.668181022556,0.7462841994985658,0.7462841994985658,10,10,3511,0.02253442554417144,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,10,9,Sleneset,166,5531,0.1440582211293761,0.21432247895550827,-0.07026425782613216,333059.3869635244,5.5225216783442095,2000,2000,pc_logistic,PC logistic,7.0,0.03909362380662789,100,100,0.0003106175112433867,0.5,combined,4470.778906484574,2838.479557283301,0.8083129463902683,0.5131946406225458,10,10,3503,0.022534425544171444,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,11,10,Aldra,173,5524,0.22114434587602919,0.21580827344780312,0.005336072428226063,143639.18827026585,5.157272942188229,2500,2500,pc_logistic,PC logistic,1.5,0.032952037338143385,10,10,7.142039595968121,1.0,combined,5499.842346467095,5499.842346467095,0.9956267824886125,0.9956267824886125,10,10,3377,0.0010978945658157585,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,12,11,Leka,583,5114,0.1626313133212908,0.20472535804623906,-0.042094044724948265,1146333.673916561,6.0593110501341,2500,2500,pc_logistic,PC logistic,7.0,0.03403513572373829,20,20,3.022577433508623e-05,1.0,combined,3062.960403016912,3062.960403016912,0.598936332228571,0.598936332228571,10,10,3030,0.011693038304965452,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,13,12,Vega,397,5300,0.1599433589670719,0.214945663212462,-0.0550023042453901,2665647.1455956018,6.425802660883263,2500,2500,pc_logistic,PC logistic,7.0,0.03925710104131283,60,60,1.1859960788524083e-05,1.0,combined,4029.0178200190812,4029.0178200190812,0.7601920415130342,0.7601920415130342,10,10,3135,0.0006855971271691338,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,14,13,Vikna,584,5113,0.1619702325857697,0.20426181269445323,-0.04229158010868353,721206.9633092711,5.858059911217576,2000,2000,pc_logistic,PC logistic,7.0,0.03515027544399401,60,60,1.257617349771092e-05,0.7,combined,3832.855622304453,3040.525876869211,0.7496294978103761,0.5946657298785861,10,10,2948,0.011693038304965448,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
body_mass,Body mass,15,14,Lauvøya,688,5009,0.14244975552742642,0.20120613172263085,-0.058756376195204435,229450.40963338825,5.360688837368928,2500,2500,pc_logistic,PC logistic,1.5,0.0005229723677147956,20,20,6.532076313043513,0.85,combined,2804.0260690023397,962.3690591060354,0.5597975781597804,0.19212798145458881,10,10,2844,0.0105060362817128,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\body_mass\e6_pc_ridge_importance_body_mass_results.json
thr_tarsus,Tarsus length,1,0,Nesøy,117,5533,0.2589895286397835,0.2916565645264209,-0.03266703588663744,76210.0509604897,4.8820122520328,5000,5000,pc_logistic,PC logistic,4.0,0.009162389499336692,20,20,0.21734254316540716,0.3,combined,4902.849270096153,2278.7525905936054,0.886110477154555,0.4118475674306173,10,10,3283,0.006603586947006324,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,2,1,Myken,92,5558,0.3453684729229254,0.2820658669812134,0.063302605941712,280577.27255684766,5.448052489205166,4000,4000,pc_logistic,PC logistic,12.0,0.04533385144551228,80,80,6.386554865125742e-06,1.0,combined,5558.0,5558.0,1.0,1.0,10,10,3308,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,3,2,Træna,286,5364,0.23440788525519252,0.29224723601531954,-0.05783935076012703,167545.1168710032,5.224131774774205,3000,3000,pc_logistic,PC logistic,2.5,0.018385623798592467,60,60,0.14343918483476878,0.3,combined,4716.316776266626,2123.6258036640124,0.8792536868506015,0.3959033936733804,10,10,3337,0.019652195413326554,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,4,3,Selvær,194,5456,0.29839265580193924,0.27742972863481613,0.020962927167123113,270464.8244230915,5.432110790506136,3000,3000,pc_logistic,PC logistic,4.0,0.03921936664121013,60,60,6.402836117487112e-06,0.85,combined,5356.895731380199,5319.781800502107,0.9818357278922653,0.975033321206398,10,10,3429,0.021172577363718248,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,5,4,Gjerøy,555,5095,0.22350842902519197,0.29433763694773246,-0.0708292079225405,154180.02919870685,5.188028123582039,1000,1000,pc_logistic,PC logistic,4.0,0.011966569900649354,40,40,0.053451751790515104,0.7,combined,2840.007330366563,783.8232718103767,0.5574106634674314,0.15384166276945568,10,10,2845,0.0046752792633685866,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
