trait,trait_label,fold,test_island_code,test_island,rule_kind,rule_label,top_m,top_m_label,grm_threshold,n_inner_used,lambda,selected_trial,weighting_method,n_pcs,alpha,outer_r
body_mass,Body mass,1,0,Nesøy,top_m,3,3,3,,3,0.0,60,pc_logistic,1000,80167.70336117697,0.27061462903755124
body_mass,Body mass,1,0,Nesøy,top_m,3,3,3,,3,0.5,60,pc_logistic,1000,80167.70336117697,0.27061462903755124
body_mass,Body mass,1,0,Nesøy,top_m,3,3,3,,3,1.0,119,pc_logistic,3000,57788.679911413135,0.1913913749218649
body_mass,Body mass,1,0,Nesøy,top_m,3,3,3,,3,1.5,119,pc_logistic,3000,57788.679911413135,0.1913913749218649
body_mass,Body mass,1,0,Nesøy,top_m,5,5,5,,5,0.0,111,pc_logistic,2500,125836.0118553614,0.25105477306218915
body_mass,Body mass,1,0,Nesøy,top_m,5,5,5,,5,0.5,140,pc_logistic,3000,187366.09398942438,0.2080834008651501
body_mass,Body mass,1,0,Nesøy,top_m,5,5,5,,5,1.0,140,pc_logistic,3000,187366.09398942438,0.2080834008651501
body_mass,Body mass,1,0,Nesøy,top_m,5,5,5,,5,1.5,140,pc_logistic,3000,187366.09398942438,0.2080834008651501
body_mass,Body mass,1,0,Nesøy,top_m,8,8,8,,8,0.0,139,pc_logistic,2500,128123.5377546483,0.22180580829929264
body_mass,Body mass,1,0,Nesøy,top_m,8,8,8,,8,0.5,37,pc_logistic,1000,133194.6148929305,0.26059173640157934
body_mass,Body mass,1,0,Nesøy,top_m,8,8,8,,8,1.0,54,pc_logistic,1000,989148.4248005039,0.23497322135464707
body_mass,Body mass,1,0,Nesøy,top_m,8,8,8,,8,1.5,54,pc_logistic,1000,989148.4248005039,0.23497322135464707
body_mass,Body mass,1,0,Nesøy,top_m,10,10,10,,10,0.0,111,pc_logistic,2500,125836.0118553614,0.25105477306218915
body_mass,Body mass,1,0,Nesøy,top_m,10,10,10,,10,0.5,111,pc_logistic,2500,125836.0118553614,0.25105477306218915
body_mass,Body mass,1,0,Nesøy,top_m,10,10,10,,10,1.0,47,pc_logistic,1000,1049683.4332514561,0.2488441390607487
body_mass,Body mass,1,0,Nesøy,top_m,10,10,10,,10,1.5,54,pc_logistic,1000,989148.4248005039,0.23497322135464707
body_mass,Body mass,1,0,Nesøy,top_m,15,15,15,,14,0.0,132,pc_logistic,2500,125621.54044047948,0.2497360198801566
body_mass,Body mass,1,0,Nesøy,top_m,15,15,15,,14,0.5,107,pc_logistic,2500,159107.25753560843,0.2174305250653664
body_mass,Body mass,1,0,Nesøy,top_m,15,15,15,,14,1.0,165,pc_logistic,2500,251030.1240799261,0.21415692260792427
body_mass,Body mass,1,0,Nesøy,top_m,15,15,15,,14,1.5,165,pc_logistic,2500,251030.1240799261,0.21415692260792427
body_mass,Body mass,1,0,Nesøy,grm_threshold,grm>0.0011,-1,grm>0.0011,0.0010731491440366754,9,0.0,139,pc_logistic,2500,128123.5377546483,0.22180580829929264
body_mass,Body mass,1,0,Nesøy,grm_threshold,grm>0.0011,-1,grm>0.0011,0.0010731491440366754,9,0.5,139,pc_logistic,2500,128123.5377546483,0.22180580829929264
body_mass,Body mass,1,0,Nesøy,grm_threshold,grm>0.0011,-1,grm>0.0011,0.0010731491440366754,9,1.0,139,pc_logistic,2500,128123.5377546483,0.22180580829929264
body_mass,Body mass,1,0,Nesøy,grm_threshold,grm>0.0011,-1,grm>0.0011,0.0010731491440366754,9,1.5,54,pc_logistic,1000,989148.4248005039,0.23497322135464707
body_mass,Body mass,2,1,Myken,top_m,3,3,3,,3,0.0,112,pc_logistic,2500,434071.01566220913,0.35521217235881675
body_mass,Body mass,2,1,Myken,top_m,3,3,3,,3,0.5,53,pc_logistic,4000,1103804.662270076,0.31092192678281627
body_mass,Body mass,2,1,Myken,top_m,3,3,3,,3,1.0,24,pc_logistic,4500,2995529.6930071944,0.2633656840921477
body_mass,Body mass,2,1,Myken,top_m,3,3,3,,3,1.5,24,pc_logistic,4500,2995529.6930071944,0.2633656840921477
body_mass,Body mass,2,1,Myken,top_m,5,5,5,,5,0.0,103,pc_logistic,2500,458509.6335270852,0.35976792960133114
body_mass,Body mass,2,1,Myken,top_m,5,5,5,,5,0.5,103,pc_logistic,2500,458509.6335270852,0.35976792960133114
body_mass,Body mass,2,1,Myken,top_m,5,5,5,,5,1.0,113,pc_logistic,2500,432743.5412428679,0.39158876460544123
body_mass,Body mass,2,1,Myken,top_m,5,5,5,,5,1.5,113,pc_logistic,2500,432743.5412428679,0.39158876460544123
body_mass,Body mass,2,1,Myken,top_m,8,8,8,,8,0.0,169,pc_logistic,2000,223828.01918074585,0.3911102806946294
body_mass,Body mass,2,1,Myken,top_m,8,8,8,,8,0.5,169,pc_logistic,2000,223828.01918074585,0.3911102806946294
body_mass,Body mass,2,1,Myken,top_m,8,8,8,,8,1.0,25,pc_logistic,2500,748347.1703542441,0.3460842101445377
