trait,snp_experiment,snp_repeat,snp_seed,snp_selection_mode,num_snps_requested,n_features_available,n_features_fit,alpha,target_column,eval_target_column,standardize_features,min_count,fit_time_seconds,fold,pearson_r,test_island,test_island_code,test_island_original_label,n_train,n_test
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,8.600298400007887,1,0.2230770377362765,Nesøy,0,20,5578,119
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,8.996864200002165,2,0.4307553778992568,Myken,1,22,5605,92
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.973743000009563,3,0.1620853311744711,Træna,2,23,5405,292
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.027226500009419,4,0.19646628566837215,Selvær,3,24,5503,194
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.455460499986657,5,0.10724873987289384,Gjerøy,4,26,5139,558
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,5.270900899995468,6,0.17158575532013556,Hestmannøy,5,27,4619,1078
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.572141399999964,7,0.2825610509910371,Indre Kvarøy,6,28,5341,356
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.704656400004751,8,-0.019305712133617314,Onøy og Lurøy,7,33,5438,259
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.836409800002002,9,0.3988291050633126,Lovund,8,34,5539,158
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.779593999992358,10,0.1856390092523469,Sleneset,9,35,5531,166
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.692778900003759,11,0.21220169629540742,Aldra,10,38,5524,173
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.6371412000007695,12,0.15814670906563794,Leka,11,60,5114,583
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.163203300005989,13,0.09051196822904127,Vega,12,61,5300,397
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.13731469999766,14,0.12023531950637704,Vikna,13,63,5113,584
body_mass,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,5.949891600001138,15,0.0714053540159034,Lauvøya,14,67,5009,688
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.8008955999976024,1,0.199045854458413,Nesøy,0,20,5578,119
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.0051134999957867,2,0.2888632940230279,Myken,1,22,5605,92
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.9118068999960087,3,0.15769563075029017,Træna,2,23,5405,292
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.855811100002029,4,0.19003836169628818,Selvær,3,24,5503,194
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.6389755999989575,5,0.09635587532121748,Gjerøy,4,26,5139,558
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.2432623999920906,6,0.13372868370057708,Hestmannøy,5,27,4619,1078
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.794643300003372,7,0.31674609368413414,Indre Kvarøy,6,28,5341,356
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.0061055999976816,8,-0.02125049713776864,Onøy og Lurøy,7,33,5438,259
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.3440673999866704,9,0.37644012354586803,Lovund,8,34,5539,158
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.2915882999950554,10,0.17077519421778678,Sleneset,9,35,5531,166
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.0688266000070143,11,0.27871474676844565,Aldra,10,38,5524,173
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.8460132999898633,12,0.09323905735024103,Leka,11,60,5114,583
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.893238399992697,13,0.003419666857802674,Vega,12,61,5300,397
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.7613161000044784,14,0.1276090519354923,Vikna,13,63,5113,584
body_mass,random_20k_snps,0,14.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.722210499996436,15,0.08733275429206963,Lauvøya,14,67,5009,688
body_mass,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.036646499997005,1,0.1519588226771104,Nesøy,0,20,5578,119
body_mass,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,3.395270900000469,2,0.31203162827873315,Myken,1,22,5605,92
body_mass,random_20k_snps,1,1014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.8847279000037815,3,0.16073094714495384,Træna,2,23,5405,292
