trait,snp_experiment,snp_repeat,pearson_r_mean,pearson_r_std,n_folds,n_features_fit,fit_time_total_s
body_mass,all_snps,0,0.18609620186379014,0.11746695709927425,15,65344,101.79762480001955
body_mass,random_20k_snps,0,0.16658359276425902,0.11241167063957987,15,20000,43.18387459995574
body_mass,random_20k_snps,1,0.15340251439360283,0.1015458162059663,15,20000,42.22383990003436
body_mass,random_20k_snps,2,0.15985940261474876,0.1203404259471642,15,20000,41.58090929999889
body_mass,random_20k_snps,3,0.16597205820761604,0.10888902463411883,15,20000,42.29729550004413
body_mass,random_20k_snps,4,0.15435904427420657,0.11932985360232258,15,20000,42.47446079994552
thr_tarsus,all_snps,0,0.2551087721887058,0.08329308657395243,15,65344,99.72576369998569
thr_tarsus,random_20k_snps,0,0.2389173396453153,0.08549195258784847,15,20000,43.565004200005205
thr_tarsus,random_20k_snps,1,0.24193833675235718,0.09254812244700568,15,20000,54.24019789999875
thr_tarsus,random_20k_snps,2,0.2338367188741228,0.08884668781287072,15,20000,55.56891769998765
thr_tarsus,random_20k_snps,3,0.22709219495432598,0.09287353681726378,15,20000,53.54857899999479
thr_tarsus,random_20k_snps,4,0.2439108147474712,0.08947008832067979,15,20000,54.68671909999102
thr_wing,all_snps,0,0.19722503600692187,0.1057946097929435,15,65344,116.24821409999277
thr_wing,random_20k_snps,0,0.1777950894829417,0.10543289706244353,15,20000,53.57812510001531
thr_wing,random_20k_snps,1,0.16993810175020457,0.09530074547981639,15,20000,53.722342399996705
thr_wing,random_20k_snps,2,0.1737927226876296,0.10929934774214854,15,20000,52.894980000011856
thr_wing,random_20k_snps,3,0.17423536854391486,0.08878504879290465,15,20000,54.164789800022845
thr_wing,random_20k_snps,4,0.16437911488702506,0.10817270327305803,15,20000,53.31914789999428
