trait,fold,cv_strategy,n_train,n_test,n_features_available,n_pcs_available,best_n_pcs,best_n_pcs_fit,best_alpha,mean_inner_pearson_r,pearson_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,n_inner_folds,test_locality_codes,test_locality_original_labels,test_localities
thr_wing,1,within_population_kfold,5069,564,65344,5000,3500,3500,43099.57109434624,0.31947264555988564,0.28738747941493537,0.9270532131195068,0.34282952919602394,101.45716043910943,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,2,within_population_kfold,5069,564,65344,5000,5000,5000,40046.609261813384,0.3131957731597005,0.3754776933730353,0.9881325364112854,0.6097940530162305,120.56187251699157,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,3,within_population_kfold,5069,564,65344,5000,4000,4000,42836.524146242875,0.3082349734742574,0.337471409933134,0.953777551651001,0.45141996210440993,115.59291005297564,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,4,within_population_kfold,5070,563,65344,5000,5000,5000,23794.632975848835,0.3263860642702134,0.32155566047752654,0.9881325364112854,0.651522128842771,137.28482563397847,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,5,within_population_kfold,5070,563,65344,5000,2500,2500,50126.89344813528,0.31550380482405316,0.3487846841627269,0.8472139239311218,0.2169646460097283,116.80766238085926,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,6,within_population_kfold,5070,563,65344,5000,5000,5000,37075.268498146885,0.310118873864656,0.3130179935487227,0.9881325364112854,0.6563951128628105,157.98375823907554,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,7,within_population_kfold,5070,563,65344,5000,3500,3500,32890.81206764145,0.30495902398941876,0.3279234131048846,0.9270532131195068,0.3782541500404477,118.2743717120029,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,8,within_population_kfold,5070,563,65344,5000,4500,4500,44803.736341094525,0.3229946116901202,0.31180339311361915,0.9739188551902771,0.5598139958456159,129.08275903994218,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,9,within_population_kfold,5070,563,65344,5000,5000,5000,32241.777221040044,0.3247067088419754,0.34676589971515337,0.9881325364112854,0.6536373370327055,108.97323302715085,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
thr_wing,10,within_population_kfold,5070,563,65344,5000,4500,4500,41301.02795211508,0.29886918858118705,0.38275518769132766,0.9739188551902771,0.5610022859182209,147.7278182739392,100,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[""20"", ""22"", ""23"", ""24"", ""26"", ""27"", ""28"", ""33"", ""34"", ""35"", ""38"", ""60"", ""61"", ""63"", ""67""]","[""Nes\u00f8y"", ""Myken"", ""Tr\u00e6na"", ""Selv\u00e6r"", ""Gjer\u00f8y"", ""Hestmann\u00f8y"", ""Indre Kvar\u00f8y"", ""On\u00f8y og Lur\u00f8y"", ""Lovund"", ""Sleneset"", ""Aldra"", ""Leka"", ""Vega"", ""Vikna"", ""Lauv\u00f8ya""]"
