trait,method,selection_method,lambda_div,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,500,0.20052480433084136,0.030997702575568897,1.2244321584701539,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1000,0.24235876851939384,0.043713495875391126,1.1939721286296845,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1500,0.26204749605547784,0.04093718838082417,1.1790639102458953,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2000,0.26929633952542015,0.043451935607494545,1.168236392736435,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2500,0.28345333623797914,0.04414913122648553,1.1574650645256042,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3000,0.2946858781178995,0.043064028190478054,1.146040713787079,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3500,0.2947068405391764,0.04437895104974566,1.1430756092071532,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4000,0.3017419276274139,0.04461081009977313,1.1379330635070801,10
body_mass,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4500,0.3035820468543478,0.04246791051781398,1.13636856675148,10
body_mass,avggrm_pc_ridge,avggrm,0.0,500,0.15877725373020676,0.0738041348928113,1.2299280524253846,10
body_mass,avggrm_pc_ridge,avggrm,0.0,1000,0.21416155520167268,0.05326990015807845,1.199489164352417,10
body_mass,avggrm_pc_ridge,avggrm,0.0,1500,0.23767412569924667,0.05052031300737414,1.1869278490543365,10
body_mass,avggrm_pc_ridge,avggrm,0.0,2000,0.2581797700204449,0.04060484706927991,1.1728428483009339,10
body_mass,avggrm_pc_ridge,avggrm,0.0,2500,0.27202390642502217,0.04550372078380309,1.1628811657428741,10
body_mass,avggrm_pc_ridge,avggrm,0.0,3000,0.2839192660512094,0.04309407880969562,1.154153037071228,10
body_mass,avggrm_pc_ridge,avggrm,0.0,3500,0.2947483565737582,0.04661020949410329,1.1450965523719787,10
body_mass,avggrm_pc_ridge,avggrm,0.0,4000,0.2997393515656164,0.04428426154156743,1.1410875082015992,10
body_mass,avggrm_pc_ridge,avggrm,0.0,4500,0.30465449652306853,0.04026362311930231,1.1370802879333497,10
body_mass,full_train_pc_ridge,full_train,,5127,0.3187984392025131,0.044229892307597427,1.1107640607016427,7
body_mass,full_train_pc_ridge,full_train,,5128,0.2838833758521362,0.03840718508881442,1.185555338859558,3
body_mass,random_pc_ridge,random,,500,0.12660062539023723,0.06293684390954109,1.2497831165790558,100
body_mass,random_pc_ridge,random,,1000,0.17624721958032347,0.04844109045081084,1.227187352180481,100
body_mass,random_pc_ridge,random,,1500,0.21125671614171268,0.04367661760835804,1.2085484963655473,100
body_mass,random_pc_ridge,random,,2000,0.23370641155444616,0.04025793744463775,1.1943298536539078,100
body_mass,random_pc_ridge,random,,2500,0.2502945967525016,0.040821524907808375,1.1820763540267945,100
body_mass,random_pc_ridge,random,,3000,0.26480653762487927,0.04107056471340565,1.1711067849397658,100
body_mass,random_pc_ridge,random,,3500,0.2751790803781126,0.04037587525938359,1.1624301993846893,100
body_mass,random_pc_ridge,random,,4000,0.2861920028333578,0.04056684235395479,1.1529977703094483,100
body_mass,random_pc_ridge,random,,4500,0.29688061888881323,0.040414767186789574,1.1438399291038512,100
