trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_tarsus,1,full_train_pc_ridge,full_train,,,-1,-1,5085,5085,565,3250,3250,107097.74831514445,0.4738381383928111,0.4930773079395294,-0.00017754175918736074,2.4573411715201055e-05,,0.0,0.43504194892011583
thr_tarsus,1,random_pc_ridge,random,,,0,100014,500,5085,565,3250,3250,107097.74831514445,0.29896242093971986,0.5605286359786987,-0.0001300415325789835,,,0.0,0.03851123200729489
thr_tarsus,1,random_pc_ridge,random,,,0,100014,1000,5085,565,3250,3250,107097.74831514445,0.3470637255368969,0.5460360646247864,-0.00015766172571217134,,,0.0,0.1556637641042471
thr_tarsus,1,random_pc_ridge,random,,,0,100014,1500,5085,565,3250,3250,107097.74831514445,0.3992500508008597,0.5337040424346924,-0.00016939194169445792,,,0.0,0.2191172249149531
thr_tarsus,1,random_pc_ridge,random,,,0,100014,2000,5085,565,3250,3250,107097.74831514445,0.41274645803703314,0.5280973315238953,-0.00016590223296168355,,,0.0,0.23155974806286395
thr_tarsus,1,random_pc_ridge,random,,,0,100014,2500,5085,565,3250,3250,107097.74831514445,0.4157888927714143,0.5247974395751953,-0.00015881379920049043,,,0.0,0.2635278250090778
thr_tarsus,1,random_pc_ridge,random,,,0,100014,3000,5085,565,3250,3250,107097.74831514445,0.425619921466051,0.5175510048866272,-0.00016260541809019166,,,0.0,0.2515661020297557
thr_tarsus,1,random_pc_ridge,random,,,0,100014,3500,5085,565,3250,3250,107097.74831514445,0.44380934693546753,0.5094925165176392,-0.00016977355558330995,,,0.0,0.2949366408865899
thr_tarsus,1,random_pc_ridge,random,,,0,100014,4000,5085,565,3250,3250,107097.74831514445,0.47301398859211646,0.49908334016799927,-0.00017759176101275832,,,0.0,0.3018619860522449
thr_tarsus,1,random_pc_ridge,random,,,0,100014,4500,5085,565,3250,3250,107097.74831514445,0.48243852975276974,0.49238649010658264,-0.00017721562084500845,,,0.0,0.3133146711625159
thr_tarsus,1,random_pc_ridge,random,,,1,100015,500,5085,565,3250,3250,107097.74831514445,0.23886179853321327,0.5675176382064819,-0.00014447988237304793,,,0.0,0.018597126007080078
thr_tarsus,1,random_pc_ridge,random,,,1,100015,1000,5085,565,3250,3250,107097.74831514445,0.3468736576240202,0.5461938381195068,-0.000162043929623316,,,0.0,0.03459444991312921
thr_tarsus,1,random_pc_ridge,random,,,1,100015,1500,5085,565,3250,3250,107097.74831514445,0.3866273477721053,0.534336507320404,-0.00015097127778869216,,,0.0,0.07307970803231001
thr_tarsus,1,random_pc_ridge,random,,,1,100015,2000,5085,565,3250,3250,107097.74831514445,0.3921279066157711,0.5275779366493225,-0.00016998576865509624,,,0.0,0.19160805689170957
thr_tarsus,1,random_pc_ridge,random,,,1,100015,2500,5085,565,3250,3250,107097.74831514445,0.4089753747222861,0.5195382833480835,-0.0001725500681867201,,,0.0,0.1868899401742965
thr_tarsus,1,random_pc_ridge,random,,,1,100015,3000,5085,565,3250,3250,107097.74831514445,0.4299237246978469,0.5123097896575928,-0.0001727769712804253,,,0.0,0.23300035391002893
thr_tarsus,1,random_pc_ridge,random,,,1,100015,3500,5085,565,3250,3250,107097.74831514445,0.4384194902178653,0.5082728862762451,-0.0001691827931313429,,,0.0,0.2920174209866673
thr_tarsus,1,random_pc_ridge,random,,,1,100015,4000,5085,565,3250,3250,107097.74831514445,0.45254883703224624,0.5028247237205505,-0.0001753852341406287,,,0.0,0.2978954759892076
thr_tarsus,1,random_pc_ridge,random,,,1,100015,4500,5085,565,3250,3250,107097.74831514445,0.46620931369713836,0.49820882081985474,-0.0001749048139043147,,,0.0,0.30943729379214346
thr_tarsus,1,random_pc_ridge,random,,,2,100016,500,5085,565,3250,3250,107097.74831514445,0.23830546986000234,0.5699108839035034,-0.00014905611314443417,,,0.0,0.018215907039120793
thr_tarsus,1,random_pc_ridge,random,,,2,100016,1000,5085,565,3250,3250,107097.74831514445,0.3040158483122664,0.5548079013824463,-0.00015205507220695348,,,0.0,0.03375926008448005
thr_tarsus,1,random_pc_ridge,random,,,2,100016,1500,5085,565,3250,3250,107097.74831514445,0.3510600993146178,0.5422425866127014,-0.00017577285195861846,,,0.0,0.07186735305003822
thr_tarsus,1,random_pc_ridge,random,,,2,100016,2000,5085,565,3250,3250,107097.74831514445,0.3809862307572234,0.5321986079216003,-0.0001696722768129301,,,0.0,0.13672012696042657
thr_tarsus,1,random_pc_ridge,random,,,2,100016,2500,5085,565,3250,3250,107097.74831514445,0.3982756650347967,0.525577187538147,-0.0001820356848148067,,,0.0,0.18177001597359776
thr_tarsus,1,random_pc_ridge,random,,,2,100016,3000,5085,565,3250,3250,107097.74831514445,0.4187821147953138,0.5175326466560364,-0.00017312661099791135,,,0.0,0.2340578071307391
thr_tarsus,1,random_pc_ridge,random,,,2,100016,3500,5085,565,3250,3250,107097.74831514445,0.44358501890502383,0.5085638761520386,-0.0001826389285413368,,,0.0,0.2938452251255512
thr_tarsus,1,random_pc_ridge,random,,,2,100016,4000,5085,565,3250,3250,107097.74831514445,0.46926265060891054,0.49777480959892273,-0.0001766587861923543,,,0.0,0.3020334111060947
thr_tarsus,1,random_pc_ridge,random,,,2,100016,4500,5085,565,3250,3250,107097.74831514445,0.48043455963672194,0.4925616979598999,-0.00017876194574396016,,,0.0,0.3132213060744107
thr_tarsus,1,random_pc_ridge,random,,,3,100017,500,5085,565,3250,3250,107097.74831514445,0.28298535194207936,0.5653953552246094,-0.00011265347807629302,,,0.0,0.018613029969856143
thr_tarsus,1,random_pc_ridge,random,,,3,100017,1000,5085,565,3250,3250,107097.74831514445,0.33339598057041253,0.5507580637931824,-0.0001769322302245582,,,0.0,0.033450559014454484
thr_tarsus,1,random_pc_ridge,random,,,3,100017,1500,5085,565,3250,3250,107097.74831514445,0.3625102355217226,0.5402506589889526,-0.000171771463837654,,,0.0,0.08901556418277323
thr_tarsus,1,random_pc_ridge,random,,,3,100017,2000,5085,565,3250,3250,107097.74831514445,0.3823155977698574,0.5321041345596313,-0.0001791090782209846,,,0.0,0.13749358500353992
thr_tarsus,1,random_pc_ridge,random,,,3,100017,2500,5085,565,3250,3250,107097.74831514445,0.4165943473392743,0.5189719796180725,-0.00016881838691715535,,,0.0,0.17992776003666222
thr_tarsus,1,random_pc_ridge,random,,,3,100017,3000,5085,565,3250,3250,107097.74831514445,0.4347046084100453,0.5125266909599304,-0.0001744409029157869,,,0.0,0.2404766259714961
thr_tarsus,1,random_pc_ridge,random,,,3,100017,3500,5085,565,3250,3250,107097.74831514445,0.45390777632404455,0.5055809020996094,-0.00018612824289677298,,,0.0,0.29577715089544654
thr_tarsus,1,random_pc_ridge,random,,,3,100017,4000,5085,565,3250,3250,107097.74831514445,0.4657905479636615,0.5005269050598145,-0.0001847275104196573,,,0.0,0.3036095399875194
thr_tarsus,1,random_pc_ridge,random,,,3,100017,4500,5085,565,3250,3250,107097.74831514445,0.4664683323827711,0.49804386496543884,-0.0001868204267569348,,,0.0,0.31062567606568336
thr_tarsus,1,random_pc_ridge,random,,,4,100018,500,5085,565,3250,3250,107097.74831514445,0.2556217046194077,0.5701066851615906,-0.00021641620792676726,,,0.0,0.018553480971604586
