trait,method,selection_method,lambda_div,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,500,0.26730543179429017,0.04769256512923942,0.5612915456295013,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1000,0.30559459498560926,0.034142296500701025,0.5490148425102234,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1500,0.3434467834438154,0.038340710716868,0.5375673025846481,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2000,0.36261993537120385,0.0433628673244623,0.529930803179741,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2500,0.3775631027907095,0.03757155655059254,0.5239076465368271,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3000,0.3860753910002025,0.036942739881114496,0.5200802773237229,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3500,0.39095478769945613,0.03406424377141636,0.5175511687994003,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4000,0.3960572514429188,0.03449773236617454,0.5148455381393433,10
thr_tarsus,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4500,0.399890586459772,0.03399801155766247,0.5130289763212204,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,500,0.27070946339101853,0.0538004430282342,0.5575876593589782,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,1000,0.31788078953266813,0.04832084959006391,0.544656103849411,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,1500,0.3434367692303749,0.04925592171136517,0.5369029223918915,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,2000,0.3648758298125894,0.0437234285321992,0.5300179570913315,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,2500,0.37524638145945355,0.0376193547075899,0.5250366479158401,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,3000,0.38485722510782255,0.03818071499168441,0.5210717767477036,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,3500,0.3921051394567902,0.0381772816773576,0.5174886673688889,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,4000,0.39798534698172927,0.038115636638689526,0.5148177027702332,10
thr_tarsus,avggrm_pc_ridge,avggrm,0.0,4500,0.3998790687894947,0.036001166088615325,0.5131712764501571,10
thr_tarsus,full_train_pc_ridge,full_train,,5085,0.4006798959079075,0.03619336135571858,0.51199711561203,10
thr_tarsus,random_pc_ridge,random,,500,0.21803126367955483,0.04647397277945633,0.5702105098962784,100
thr_tarsus,random_pc_ridge,random,,1000,0.27907099585207024,0.04186075174402765,0.5577777767181397,100
thr_tarsus,random_pc_ridge,random,,1500,0.3096113170511894,0.03754485343569036,0.5493375706672669,100
thr_tarsus,random_pc_ridge,random,,2000,0.3319369194001366,0.03505067285854135,0.5418686503171921,100
thr_tarsus,random_pc_ridge,random,,2500,0.34963582637734264,0.035970493732773806,0.5352722522616387,100
thr_tarsus,random_pc_ridge,random,,3000,0.3623767122087389,0.035716460896405185,0.5297593775391579,100
thr_tarsus,random_pc_ridge,random,,3500,0.3755847888286831,0.03655275404100743,0.5242978209257125,100
thr_tarsus,random_pc_ridge,random,,4000,0.3847707390278604,0.03746361848760203,0.5198769640922546,100
thr_tarsus,random_pc_ridge,random,,4500,0.393405249809778,0.036343018156833114,0.5159977728128433,100
