trait,method,selection_method,lambda_div,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,500,0.2090822063213178,0.02481539421833733,1.0611367881298066,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1000,0.27152740981132023,0.0338882666459175,1.005530160665512,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,1500,0.30085795763387496,0.038555412919293076,0.9762700974941254,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2000,0.3176378718548345,0.0323847320757987,0.9541690289974213,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,2500,0.3262311642868242,0.03135866841087022,0.943808776140213,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3000,0.33396477850491607,0.030497960862329445,0.9339135587215424,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,3500,0.3355749361815946,0.03451386791862988,0.9307361781597138,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4000,0.3387831800165445,0.033981767583225374,0.9275042772293091,10
thr_wing,avggrm_diversity_pc_ridge,avggrm_diversity,1.0,4500,0.3395316243217824,0.03225198000981107,0.9242307722568512,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,500,0.21909914603763575,0.0281239476325551,1.06337109208107,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,1000,0.25854065235927276,0.04216232166895258,1.0178434193134307,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,1500,0.28427402092025017,0.042143125113085406,0.9918289065361023,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,2000,0.29970102761989625,0.04134959568338856,0.9760791540145874,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,2500,0.3116432063395703,0.03685277258677995,0.959608656167984,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,3000,0.32194003833927043,0.03974734219867294,0.9484380543231964,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,3500,0.32704985466658976,0.03725577180139804,0.9402830600738525,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,4000,0.33181860402779867,0.03520732689975546,0.9334659576416016,10
thr_wing,avggrm_pc_ridge,avggrm,0.0,4500,0.3356523824764581,0.03243815256646783,0.9268253743648529,10
thr_wing,full_train_pc_ridge,full_train,,5069,0.3380124129878285,0.0410983181814563,0.8647945324579874,3
thr_wing,full_train_pc_ridge,full_train,,5070,0.339150974121445,0.02631688424647663,0.9472805176462445,7
thr_wing,random_pc_ridge,random,,500,0.1689641634871951,0.04100165408124032,1.1050841224193573,100
thr_wing,random_pc_ridge,random,,1000,0.21724293450933146,0.034109245499280134,1.067529467344284,100
thr_wing,random_pc_ridge,random,,1500,0.24801637052872255,0.033562612708659637,1.0390245407819747,100
thr_wing,random_pc_ridge,random,,2000,0.2706788222182095,0.03108033417682774,1.0139421850442887,100
thr_wing,random_pc_ridge,random,,2500,0.28708852776554733,0.030518041713160013,0.9936196672916412,100
thr_wing,random_pc_ridge,random,,3000,0.30135913383820984,0.03079363772840298,0.9761864149570465,100
thr_wing,random_pc_ridge,random,,3500,0.312367687327899,0.030234117528770015,0.9607502448558808,100
thr_wing,random_pc_ridge,random,,4000,0.323668887535318,0.029878852480632562,0.9467474067211151,100
thr_wing,random_pc_ridge,random,,4500,0.330639092703051,0.02700946287075928,0.9351844412088394,100
