trait,method,selection_method,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_wing,full_train_pc_ridge,full_train,5069,0.3413421035938149,,0.920680046081543,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,500,0.1620946995935956,,1.0787793397903442,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1000,0.2226385307650785,,1.0573017597198486,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1500,0.2436275869679706,,1.0235779285430908,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2000,0.2740510583748206,,1.0070713758468628,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2500,0.2967589246351512,,0.9831740856170654,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3000,0.305057063248657,,0.9708561301231384,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3500,0.3251194040286972,,0.9415162205696106,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4000,0.3330471603446948,,0.9372790455818176,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4500,0.3295307103361752,,0.9365469217300416,1
