trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
thr_wing,6,full_train_pc_ridge,full_train,-1,-1,5070,5070,563,4500,100,4500,40673.818606964225,0.3115427670244732,0.9511348009109497,0.017127804458141327,0,0,0.0,1.1954229469411075
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6000514,500,5070,563,4500,100,4500,40673.818606964225,0.19405614160473425,1.1159803867340088,0.05364055186510086,300,26539,52.21754042501561,0.021237574983388186
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6001014,1000,5070,563,4500,100,4500,40673.818606964225,0.24160152594376388,1.0677318572998047,0.04028460010886192,300,26573,61.26003709016368,0.06326486100442708
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6001514,1500,5070,563,4500,100,4500,40673.818606964225,0.22558544130006658,1.0544936656951904,0.033277761191129684,300,26746,69.92357507604174,0.1271055219694972
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6002014,2000,5070,563,4500,100,4500,40673.818606964225,0.2739815568971088,1.0255500078201294,0.028383171185851097,300,26572,80.01601073215716,0.23044603504240513
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6002514,2500,5070,563,4500,100,4500,40673.818606964225,0.2699320987044689,1.0436371564865112,0.02499210648238659,300,26580,88.15936459600925,0.3791581408586353
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6003014,3000,5070,563,4500,100,4500,40673.818606964225,0.2741757221421335,1.0245100259780884,0.022797761484980583,300,26590,97.14123403001577,0.5425635990686715
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6003514,3500,5070,563,4500,100,4500,40673.818606964225,0.27506496160079563,0.9942932724952698,0.020749999210238457,300,26573,107.68380075111054,0.653953944100067
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6004014,4000,5070,563,4500,100,4500,40673.818606964225,0.30242343463584015,0.9635216593742371,0.01911505125463009,300,26697,117.10655257385224,0.9768588931765407
thr_wing,6,pevmean_ga_pc_ridge,pevmean_ga,0,6004514,4500,5070,563,4500,100,4500,40673.818606964225,0.30464947303718776,0.9623932242393494,0.017905015498399734,300,26432,123.65492494497448,1.1049765241332352
